Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,CLEC11A,ITGA11,CAF,0.7524244152880776,1.306535583282969,0.5174115010139916,0.2304620650313748,0.38950323841927,0.8378986369353376,0.5088998407987264,0.4335383914342906
CAF,FGF7,FGFR1,CAF,0.4940102681118083,0.8401176980560253,0.7753437840790347,0.4928693667997718,0.8411767957292597,0.3936045255523151,0.7066875132862092,0.3051788222723651
CAF,PDGFC,PDGFRB,CAF,0.4403879064460924,0.7414391600634811,0.431833416145505,0.6018254420992584,1.04607053367982,0.6367127460640034,0.7755976578587231,0.27495384023620395
CAF,COL1A2,ITGA11,CAF,0.982316029663434,1.788921402615606,0.3218448004674254,0.2304620650313748,0.38950323841927,0.8378986369353376,0.6967906795963213,0.2696733196163815
CAF,POSTN,PTK7,CAF,0.576155162578437,1.0166110461821372,0.5150405238239222,0.4386765544780377,0.7426424993224952,0.4716957408514352,0.7549785681755591,0.2429424214536363
CAF,COL1A1,ITGA11,CAF,0.9726183685111238,1.774610301600321,0.2873988268877706,0.2304620650313748,0.38950323841927,0.8378986369353376,0.6912164594055225,0.2408110853060781
CAF,SLIT2,GPC1,CAF,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.3525385054192812,0.5888562532555762,0.2960206775967599,0.243586926326032,0.2214548956519404
CAF,MFGE8,PDGFRB,CAF,0.7387335995436395,1.2633678254884928,0.3475123207419317,0.6018254420992584,1.04607053367982,0.6367127460640034,1.321571855442661,0.22126552403067
CAF,PDGFC,PDGFRA,CAF,0.4403879064460924,0.7414391600634811,0.431833416145505,0.42156303479749,0.7101141498101483,0.4748562116275727,0.5265064387844294,0.2050587800450476
CAF,COL3A1,DDR2,CAF,0.9612093553907588,1.751847783544767,0.3460643279998826,0.4831717056474615,0.8155238547796062,0.5842846024478334,1.4286736574235368,0.20220005830678797
CAF,SLIT2,SDC1,CAF,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.383342840844267,0.675959351194531,0.2688966107561264,0.2796180897604409,0.2011632138660107
CAF,THBS2,NOTCH3,CAF,0.7632629777524245,1.3655955329591092,0.5057492785572271,0.2932116371933828,0.5033056384746055,0.3599796122250077,0.6873119316140535,0.18205942917810802
CAF,COL8A1,ITGA1,CAF,0.5561893896177981,0.9545689094420162,0.6086327065354166,0.4101540216771249,0.6882957577756998,0.2964742422067876,0.657025730873516,0.1804439204523538
CAF,COL1A1,DDR2,CAF,0.9726183685111238,1.774610301600321,0.2873988268877706,0.4831717056474615,0.8155238547796062,0.5842846024478334,1.4472370338926932,0.1679227093120948
CAF,LAMA2,ITGB1,CAF,0.2076440387906446,0.3470623554526234,0.8590796235923822,0.8813462635482031,1.56105546480237,0.1948860641933811,0.5417835866065006,0.1674226466706507
CAF,MMP2,SDC2,CAF,0.8157444381061039,1.465081433837266,0.3886172474001449,0.6252139189960069,1.057524624607136,0.3971301918094151,1.5493596933376392,0.1543316420004665
CAF,SLIT2,APP,CAF,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.7421563034797489,1.272425739912192,0.2024121544669635,0.5263530331040139,0.1514257818409118
CAF,LTBP1,ITGB5,CAF,0.5607529948659441,0.96149133244343,0.4907334757874957,0.5037079292641187,0.8641798387847487,0.2881802756253972,0.8309014246638965,0.1414197083110497
CAF,FGF7,NRP1,CAF,0.4940102681118083,0.8401176980560253,0.7753437840790347,0.3257273245864233,0.5484279942976252,0.1775618599349925,0.4607440641188039,0.1376714843901086
CAF,SERPINF1,PLXDC1,CAF,0.8938961779806047,1.6024105633848718,0.3025632273993829,0.2789503707929264,0.4681278480376421,0.44071522839897,0.7501330087101457,0.1333442218684485
CAF,GPC3,CD81,CAF,0.2470051340559042,0.4145890604961592,0.7307260715948575,0.6634341129492299,1.1452215553963079,0.1769808785863817,0.4747963287117054,0.1293245421568331
CAF,FBLN1,ITGB1,CAF,0.7992013690815745,1.431683250480231,0.641578476012599,0.8813462635482031,1.56105546480237,0.1948860641933811,2.234936962028186,0.125034704061283
CAF,TGFB3,ENG,CAF,0.2857957786651454,0.477540523165996,0.561658322109718,0.488876212207644,0.8206079395579124,0.2222823656466161,0.3918735447706555,0.1248467405236572
CAF,ITGAV,THY1,CAF,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.8043354249857387,1.410227352802349,0.5736486167990407,1.1048919618524782,0.12290664410347699
CAF,SERPING1,LRP1,CAF,0.8881916714204221,1.5754418233588359,0.3230851549010874,0.7056474614945807,1.233206563415127,0.3744910905535125,1.942845196844811,0.1209925120005587
CAF,THBS1,LRP1,CAF,0.5904164289788933,1.0376236938313421,0.3151286404179969,0.7056474614945807,1.233206563415127,0.3744910905535125,1.279604349587859,0.1180128682147814
CAF,LAMA2,RPSA,CAF,0.2076440387906446,0.3470623554526234,0.8590796235923822,0.9013120365088421,1.588046821236478,0.1357496314292172,0.5511512703473833,0.1166197422710165
CAF,FBN1,ITGAV,CAF,0.6109526525955505,1.053207720229478,0.5376067114666202,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.8251724389901405,0.115184513339489
CAF,PLAT,LRP1,CAF,0.5499144324015972,0.9366130221032052,0.288995721877022,0.7056474614945807,1.233206563415127,0.3744910905535125,1.15503732623775,0.1082263230510256
CAF,COL4A1,ITGA1,CAF,0.5795778665145465,1.0003601793698198,0.3552540209346289,0.4101540216771249,0.6882957577756998,0.2964742422067876,0.6885436677079853,0.1053236666475084
CAF,FBN1,ITGB1,CAF,0.6109526525955505,1.053207720229478,0.5376067114666202,0.8813462635482031,1.56105546480237,0.1948860641933811,1.644115667236272,0.1047720560816763
CAF,C3,LRP1,CAF,0.4911580148317171,0.8704169212825268,0.275063267341026,0.7056474614945807,1.233206563415127,0.3744910905535125,1.0734038602332,0.1030087429577532
CAF,CXCL12,ITGAV,CAF,0.2783799201369082,0.4811271765538773,0.4731086699239549,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.37695592058031996,0.1013655349525287
CAF,INHBA,ENG,CAF,0.6988020536223617,1.228536461193799,0.4554504958908958,0.488876212207644,0.8206079395579124,0.2222823656466161,1.008146774092013,0.1012386136615527
CAF,CLEC11A,ITGB1,CAF,0.7524244152880776,1.306535583282969,0.5174115010139916,0.8813462635482031,1.56105546480237,0.1948860641933811,2.039574512242632,0.1008362910010065
CAF,THBS2,ITGB1,CAF,0.7632629777524245,1.3655955329591092,0.5057492785572271,0.8813462635482031,1.56105546480237,0.1948860641933811,2.131770369435522,0.09856348636665993
CAF,SPON2,ITGB1,CAF,0.6976611523103251,1.20126389040548,0.5046619202349797,0.8813462635482031,1.56105546480237,0.1948860641933811,1.8752395607872299,0.09835157538286923
CAF,TFPI,LRP1,CAF,0.4415288077581289,0.7421660948599125,0.2604604035042458,0.7056474614945807,1.233206563415127,0.3744910905535125,0.9152440993254176,0.0975401005543129
CAF,FN1,SDC2,CAF,0.9132915002852252,1.6489405783599842,0.245092599980625,0.6252139189960069,1.057524624607136,0.3971301918094151,1.743795266129615,0.09733367124137383
CAF,A2M,LRP1,CAF,0.5607529948659441,0.9703532640188643,0.2586517022085308,0.7056474614945807,1.233206563415127,0.3744910905535125,1.196646014019355,0.09686275803359506
CAF,COL18A1,GPC1,CAF,0.5322304620650313,0.9194609104756136,0.3223347705880897,0.3525385054192812,0.5888562532555762,0.2960206775967599,0.5414303067576306,0.09541775720248244
CAF,SERPINF1,PLXDC2,CAF,0.8938961779806047,1.6024105633848718,0.3025632273993829,0.5305191100969766,0.8981588836002861,0.3130500396666812,1.439219282679062,0.09471743033905587
CAF,MDK,LRP1,CAF,0.7176269252709641,1.244546217594612,0.2469573505531864,0.7056474614945807,1.233206563415127,0.3744910905535125,1.534782564011146,0.09248332752886887
CAF,CXCL12,ITGB1,CAF,0.2783799201369082,0.4811271765538773,0.4731086699239549,0.8813462635482031,1.56105546480237,0.1948860641933811,0.7510662082243651,0.09220228661724504
CAF,PTN,PLXNB2,CAF,0.2669709070165431,0.4500989401499191,0.5358223441406499,0.2926411865373645,0.4922092996492602,0.1719286531110979,0.221542884104066,0.09212321393493313
CAF,PLAU,LRP1,CAF,0.5037079292641187,0.8654708077285345,0.2428177101534306,0.7056474614945807,1.233206563415127,0.3744910905535125,1.0673042805350201,0.09093306908106492
CAF,THBS1,SDC1,CAF,0.5904164289788933,1.0376236938313421,0.3151286404179969,0.383342840844267,0.675959351194531,0.2688966107561264,0.7013914388663065,0.08473702336058543
CAF,ADAM12,ITGB1,CAF,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.8813462635482031,1.56105546480237,0.1948860641933811,0.5832677394775116,0.08456939537183343
CAF,SERPINE2,LRP1,CAF,0.3616657159155733,0.6056808445186308,0.2171134470415999,0.7056474614945807,1.233206563415127,0.3744910905535125,0.7469295927951924,0.08130705155644102
CAF,VCAM1,ITGB1,CAF,0.2926411865373645,0.4884224039768121,0.4134761295611449,0.8813462635482031,1.56105546480237,0.1948860641933811,0.7624544628599136,0.08058073552808406
CAF,COL4A1,ITGAV,CAF,0.5795778665145465,1.0003601793698198,0.3552540209346289,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.7837671840264822,0.07611467758953484
CAF,APP,LRP1,CAF,0.7421563034797489,1.272425739912192,0.2024121544669635,0.7056474614945807,1.233206563415127,0.3744910905535125,1.569163773918064,0.07580154846761918
CAF,VCAN,ITGB1,CAF,0.7877923559612093,1.398877447989268,0.385816803096147,0.8813462635482031,1.56105546480237,0.1948860641933811,2.1837252847724407,0.0751903182550808
CAF,MFGE8,ITGAV,CAF,0.7387335995436395,1.2633678254884928,0.3475123207419317,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.9898297267255748,0.07445598555668542
CAF,JAG1,NOTCH3,CAF,0.2629777524244153,0.4382340648498813,0.2056214012347757,0.2932116371933828,0.5033056384746055,0.3599796122250077,0.2205656758105912,0.07401951228165726
CAF,NID1,ITGAV,CAF,0.3200228180262407,0.5364762702049786,0.3450035083442647,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.4203211046050075,0.0739184618819958
CAF,LTBP3,ITGB5,CAF,0.4883057615516258,0.8520786042301797,0.2532890757925685,0.5037079292641187,0.8641798387847487,0.2881802756253972,0.7363491508355704,0.07299291567480451
CAF,TGFB3,TGFBR2,CAF,0.2857957786651454,0.477540523165996,0.561658322109718,0.3314318311466058,0.5528317325874986,0.1284357529356905,0.2639995548025981,0.07213700949275821
CAF,GNAI2,EDNRA,CAF,0.4318311466058186,0.7104281358325363,0.10308838777946001,0.3998859098687964,0.6679683021586668,0.695721042023305,0.474543475697806,0.07172076056642845
CAF,COL4A1,ITGB1,CAF,0.5795778665145465,1.0003601793698198,0.3552540209346289,0.8813462635482031,1.56105546480237,0.1948860641933811,1.5616177247759369,0.06923405792882288
CAF,MDK,SDC1,CAF,0.7176269252709641,1.244546217594612,0.2469573505531864,0.383342840844267,0.675959351194531,0.2688966107561264,0.8412626537768614,0.06640599456506441
CAF,SERPINE1,LRP1,CAF,0.3017683970336566,0.5139766342239487,0.1712613777733999,0.7056474614945807,1.233206563415127,0.3744910905535125,0.6338393587669894,0.06413586013205763
CAF,COMP,CD47,CAF,0.4272675413576726,0.7612142426053613,0.5906764248086219,0.3953223046206503,0.6494080541639654,0.1064023573285488,0.4943386600922444,0.0628493640180367
CAF,COL18A1,ITGB1,CAF,0.5322304620650313,0.9194609104756136,0.3223347705880897,0.8813462635482031,1.56105546480237,0.1948860641933811,1.4353294789701203,0.06281855479258923
CAF,COL1A2,ITGB1,CAF,0.982316029663434,1.788921402615606,0.3218448004674254,0.8813462635482031,1.56105546480237,0.1948860641933811,2.7926055316550142,0.06272306644420061
CAF,THBS1,ITGB1,CAF,0.5904164289788933,1.0376236938313421,0.3151286404179969,0.8813462635482031,1.56105546480237,0.1948860641933811,1.6197881376638383,0.061414180445674676
CAF,ANGPTL2,ITGB1,CAF,0.2498573873359954,0.407636127942343,0.3130837747598373,0.8813462635482031,1.56105546480237,0.1948860641933811,0.6363426051752727,0.06101566462575174
CAF,PSAP,LRP1,CAF,0.9024529378208784,1.5983407698683407,0.1627353406016184,0.7056474614945807,1.233206563415127,0.3744910905535125,1.9710843279756252,0.06094293517349739
CAF,APP,GPC1,CAF,0.7421563034797489,1.272425739912192,0.2024121544669635,0.3525385054192812,0.5888562532555762,0.2960206775967599,0.7492758537506476,0.05991818311913055
