Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,SPON2,ITGB2,DC,0.6976611523103251,1.20126389040548,0.5046619202349797,0.6372549019607843,1.1627803699882118,0.29528195700939197,1.396806070939163,0.1490175594351025
CAF,CXCL12,CD4,DC,0.2783799201369082,0.4811271765538773,0.4731086699239549,0.446078431372549,0.7946358926763486,0.3081952489461864,0.3823209234317415,0.1458098443058124
CAF,LAMA2,RPSA,DC,0.2076440387906446,0.3470623554526234,0.8590796235923822,0.9901960784313726,1.90906828097657,0.1631912309197509,0.6625657343156189,0.1401942612321171
CAF,B2M,CD1A,DC,0.9971477467199088,1.8203223801328001,0.1431344658882595,0.2450980392156863,0.4354781490747039,0.9609434328543878,0.7927106208194912,0.1375441250104433
CAF,VCAM1,ITGB2,DC,0.2926411865373645,0.4884224039768121,0.4134761295611449,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.5679279836066897,0.1220920407134838
CAF,COL14A1,CD44,DC,0.32515687393040504,0.5516571497712469,0.6681604989435571,0.7647058823529411,1.450323837565292,0.1778706018538992,0.8000815144765662,0.1188461100820921
CAF,CXCL14,CXCR4,DC,0.5116942384483743,0.9144872399532904,0.4974292087803659,0.6715686274509803,1.255455313638425,0.2074557806326925,1.148097864653896,0.1031945648170334
CAF,MYL9,CD69,DC,0.9229891614375356,1.643929161874645,0.3685345633835492,0.2990196078431372,0.5898234035816418,0.2756965995029955,0.9696278935040192,0.1016037259241657
CAF,CXCL12,CXCR4,DC,0.2783799201369082,0.4811271765538773,0.4731086699239549,0.6715686274509803,1.255455313638425,0.2074557806326925,0.6040336703404178,0.09814912844316892
CAF,LAMA2,ITGB1,DC,0.2076440387906446,0.3470623554526234,0.8590796235923822,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.2947541221024075,0.09108529025134757
CAF,COMP,CD47,DC,0.4272675413576726,0.7612142426053613,0.5906764248086219,0.4901960784313725,0.8997550809247707,0.1474205024327631,0.6849063824564751,0.08707781532047526
CAF,GPC3,CD81,DC,0.2470051340559042,0.4145890604961592,0.7307260715948575,0.4068627450980392,0.7368110630620882,0.1138657133010113,0.3054738063980875,0.08320464536979433
CAF,C3,ITGB2,DC,0.4911580148317171,0.8704169212825268,0.275063267341026,0.6372549019607843,1.1627803699882118,0.29528195700939197,1.0121037097728969,0.08122121988185574
CAF,THBS2,CD47,DC,0.7632629777524245,1.3655955329591092,0.5057492785572271,0.4901960784313725,0.8997550809247707,0.1474205024327631,1.2287015192681279,0.07455781274991387
CAF,VCAN,CD44,DC,0.7877923559612093,1.398877447989268,0.385816803096147,0.7647058823529411,1.450323837565292,0.1778706018538992,2.028825308651339,0.068625466972059
CAF,FBLN1,ITGB1,DC,0.7992013690815745,1.431683250480231,0.641578476012599,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.215904096177977,0.06802438342357048
CAF,COL1A2,CD44,DC,0.982316029663434,1.788921402615606,0.3218448004674254,0.7647058823529411,1.450323837565292,0.1778706018538992,2.594515353744152,0.05724672836268906
CAF,FBN1,ITGB1,DC,0.6109526525955505,1.053207720229478,0.5376067114666202,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.8944713020311842,0.05700061089825596
CAF,SLIT2,APP,DC,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.2598039215686275,0.4743668544051038,0.07546029131293704,0.1962271154915232,0.05645230959620778
CAF,HEBP1,FPR3,DC,0.3245864232743867,0.5256159567596814,0.20401182170055102,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.2256616737952778,0.05558527397822671
CAF,CLEC11A,ITGB1,DC,0.7524244152880776,1.306535583282969,0.5174115010139916,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.1096183230356091,0.054859381429824834
CAF,THBS2,ITGB1,DC,0.7632629777524245,1.3655955329591092,0.5057492785572271,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.15977692809521,0.05362287565285367
CAF,SPON2,ITGB1,DC,0.6976611523103251,1.20126389040548,0.5046619202349797,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.020212874911246,0.05350758674869489
CAF,SERPINF1,PLXDC2,DC,0.8938961779806047,1.6024105633848718,0.3025632273993829,0.2843137254901961,0.4988781323818582,0.1738821738364987,0.7994075891704059,0.05261035170319157
CAF,HMGB1,HAVCR2,DC,0.8916143753565317,1.5688672478560868,0.1434563043645453,0.4166666666666667,0.7637846199080331,0.3579823680075803,1.198276674589923,0.0513548275420361
CAF,COL1A1,CD44,DC,0.9726183685111238,1.774610301600321,0.2873988268877706,0.7647058823529411,1.450323837565292,0.1778706018538992,2.573759622799879,0.05111980231063235
CAF,ANXA1,FPR1,DC,0.7586993725042784,1.309786866280061,0.1397819921918425,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.6399570900306776,0.05075117091489427
CAF,CXCL12,ITGB1,DC,0.2783799201369082,0.4811271765538773,0.4731086699239549,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.4086130815305517,0.0501621029494926
CAF,CD99,PILRA,DC,0.8978893325727325,1.590107313628294,0.1875792354982412,0.2058823529411765,0.3792674903330665,0.2603497369381658,0.6030760102000575,0.04883620461702936
CAF,GAS6,AXL,DC,0.5681688533941814,0.9793521815656364,0.2575025526751102,0.3725490196078431,0.6578609398174617,0.1861332686285452,0.644277546577051,0.04792979180961239
CAF,PROS1,AXL,DC,0.2629777524244153,0.4311467640234754,0.2571545474302704,0.3725490196078431,0.6578609398174617,0.1861332686285452,0.2836346153797409,0.04786501645589047
CAF,THBS1,CD47,DC,0.5904164289788933,1.0376236938313421,0.3151286404179969,0.4901960784313725,0.8997550809247707,0.1474205024327631,0.9336071906126786,0.04645642250137465
CAF,LAMB2,RPSA,DC,0.4255561893896178,0.7200404978930206,0.2836224372044744,0.9901960784313726,1.90906828097657,0.1631912309197509,1.3746064755461422,0.046284694643857933
CAF,FN1,PLAUR,DC,0.9132915002852252,1.6489405783599842,0.245092599980625,0.6764705882352942,1.2616562707388173,0.1882961604648539,2.080396220763565,0.04614999553470001
CAF,ADAM12,ITGB1,DC,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3173233275249001,0.04600947408851806
CAF,LGALS1,CD69,DC,0.9897318881916716,1.801254982509489,0.166878867981361,0.2990196078431372,0.5898234035816418,0.2756965995029955,1.0624223445021372,0.046007936431370536
CAF,PLAU,PLAUR,DC,0.5037079292641187,0.8654708077285345,0.2428177101534306,0.6764705882352942,1.2616562707388173,0.1882961604648539,1.0919266717120941,0.04572164251475876
CAF,VCAM1,ITGB1,DC,0.2926411865373645,0.4884224039768121,0.4134761295611449,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.4148087933984673,0.043839467540380664
CAF,FN1,CD44,DC,0.9132915002852252,1.6489405783599842,0.245092599980625,0.7647058823529411,1.450323837565292,0.1778706018538992,2.391497827524184,0.04359476826849073
CAF,LGALS1,PTPRC,DC,0.9897318881916716,1.801254982509489,0.166878867981361,0.5686274509803921,1.0301235021139408,0.2545634009128851,1.8555150907828601,0.042481252173827616
CAF,VCAN,ITGB1,DC,0.7877923559612093,1.398877447989268,0.385816803096147,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.188042689254492,0.040906843241033414
CAF,ICAM1,SPN,DC,0.2104962920707359,0.3515426126770181,0.1163153086201239,0.2990196078431372,0.5413477402983359,0.3365204479734946,0.1903067989912769,0.039142479763019364
CAF,ANXA1,FPR3,DC,0.7586993725042784,1.309786866280061,0.1397819921918425,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.5623282412922789,0.03808514755880407
CAF,COL4A1,ITGB1,DC,0.5795778665145465,1.0003601793698198,0.3552540209346289,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.8495887895182824,0.037666375410555036
CAF,GNAI2,FPR1,DC,0.4318311466058186,0.7104281358325363,0.10308838777946001,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.3471125983836947,0.03742868666770654
CAF,APP,CD74,DC,0.7421563034797489,1.272425739912192,0.2024121544669635,0.9411764705882352,1.8044993597897399,0.1799265541748914,2.296091433051537,0.0364193214763566
CAF,ICAM1,ITGB2,DC,0.2104962920707359,0.3515426126770181,0.1163153086201239,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.408766849235206,0.03434581195950158
CAF,COL18A1,ITGB1,DC,0.5322304620650313,0.9194609104756136,0.3223347705880897,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.780882424200902,0.03417605927416159
CAF,COL1A2,ITGB1,DC,0.982316029663434,1.788921402615606,0.3218448004674254,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.5193003483495047,0.03412410940894587
CAF,THBS1,ITGB1,DC,0.5904164289788933,1.0376236938313421,0.3151286404179969,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.8812360549707166,0.033412017804539534
CAF,ANGPTL2,ITGB1,DC,0.2498573873359954,0.407636127942343,0.3130837747598373,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3461983909841575,0.033195207654603
CAF,MIF,CXCR4,DC,0.8009127210496292,1.3852266794583312,0.1527261406044225,0.6715686274509803,1.255455313638425,0.2074557806326925,1.7390901953196731,0.03168392072210883
CAF,COL1A1,ITGB1,DC,0.9726183685111238,1.774610301600321,0.2873988268877706,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.5071461750437367,0.030471920001434318
CAF,C3,CD46,DC,0.4911580148317171,0.8704169212825268,0.275063267341026,0.2794117647058824,0.49926712075288104,0.1075677236072623,0.4345705501433142,0.029587929515849987
CAF,GRN,TNFRSF1B,DC,0.6446092413006275,1.082842467940858,0.1307312298357612,0.3970588235294117,0.7120584175299303,0.2200182903185108,0.7710470941561713,0.028763261679700468
CAF,VIM,CD44,DC,0.973188819167142,1.7592559429906152,0.1614326894932883,0.7647058823529411,1.450323837565292,0.1778706018538992,2.5514908304976966,0.02871412963906483
CAF,TIMP2,ITGB1,DC,0.8379920136908158,1.4897380592199942,0.2605623074615999,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.265209052232906,0.027626535133560292
CAF,LAMB1,ITGB1,DC,0.3405590416428979,0.5708122655019918,0.26004432843444697,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.4847810935412533,0.02757161557926445
CAF,MIF,CD74,DC,0.8009127210496292,1.3852266794583312,0.1527261406044225,0.9411764705882352,1.8044993597897399,0.1799265541748914,2.499640656246227,0.02747948821138371
CAF,MDK,ITGB1,DC,0.7176269252709641,1.244546217594612,0.2469573505531864,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.056971815063496,0.02618404783107026
CAF,FN1,ITGB1,DC,0.9132915002852252,1.6489405783599842,0.245092599980625,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.400417028633576,0.025986334670981718
CAF,TIMP1,CD63,DC,0.9788933257273246,1.7762628985251052,0.1690131236178415,0.8627450980392157,1.632429678721487,0.1532197233833496,2.899624272764234,0.02589614404888154
CAF,HSPG2,ITGB1,DC,0.5978322875071307,1.057212151248728,0.2427590701322023,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.8978721968014031,0.025738918438869333
