Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,SLIT2,GPC1,EMT,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.5672396359959555,0.8375127895971638,0.4210214328231001,0.346446463035471,0.3149687320156672
CAF,CLEC11A,ITGA10,EMT,0.7524244152880776,1.306535583282969,0.5174115010139916,0.4994944388270981,0.7651667526293808,0.5562910382642149,0.9997175894553636,0.2878313811089193
CAF,EFEMP1,EGFR,EMT,0.4346833998859099,0.7322784649740923,0.6897986093512999,0.2386248736097068,0.3184169220074171,0.367846706804034,0.2331698548693667,0.25374014680787804
CAF,GPC3,IGF1R,EMT,0.2470051340559042,0.4145890604961592,0.7307260715948575,0.3083923154701719,0.4458271981031567,0.3218255951396559,0.1848350792052228,0.2351663528750778
CAF,NID1,COL13A1,EMT,0.3200228180262407,0.5364762702049786,0.3450035083442647,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.2350958638614623,0.2103883797180424
CAF,COL8A1,ITGA2,EMT,0.5561893896177981,0.9545689094420162,0.6086327065354166,0.4853387259858443,0.7144431153883449,0.3443558975851486,0.6819851855146091,0.2095862619586817
CAF,LAMA2,DAG1,EMT,0.2076440387906446,0.3470623554526234,0.8590796235923822,0.3215369059656218,0.4377960063796453,0.2386623485941535,0.1519425131818714,0.2050299605959393
CAF,COL5A1,SDC3,EMT,0.7027952082144895,1.253010944095477,0.6604506635794136,0.2790697674418605,0.3829173697053497,0.3017563101440314,0.4797996549250569,0.1992951552739009
CAF,FGF7,NRP1,EMT,0.4940102681118083,0.8401176980560253,0.7753437840790347,0.5308392315470172,0.7740290481401578,0.2506036140760756,0.6502755021520058,0.1943039544416265
CAF,COL11A1,DDR1,EMT,0.4791785510553337,0.8658057732043907,0.7531140379721759,0.2679474216380182,0.3604256996201139,0.23431234448046104,0.3120586515423261,0.1764639158984075
CAF,COMP,ITGA5,EMT,0.4272675413576726,0.7612142426053613,0.5906764248086219,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.7065187237656979,0.171545260957525
CAF,SLIT2,SDC1,EMT,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.3923154701718908,0.5654301408415704,0.2249280940088689,0.2338964548618203,0.1682700951579374
CAF,PTN,SDC3,EMT,0.2669709070165431,0.4500989401499191,0.5358223441406499,0.2790697674418605,0.3829173697053497,0.3017563101440314,0.1723507022693726,0.1616877734606079
CAF,FBN1,ITGA5,EMT,0.6109526525955505,1.053207720229478,0.5376067114666202,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.9775315971623022,0.1561326637353752
CAF,LTBP1,ITGB5,EMT,0.5607529948659441,0.96149133244343,0.4907334757874957,0.6248736097067745,0.9281075175092379,0.3094984032281217,0.8923673336607212,0.151881227166816
CAF,PDGFC,PDGFRA,EMT,0.4403879064460924,0.7414391600634811,0.431833416145505,0.3670374115267948,0.5210860246640827,0.34845233779697604,0.3863535844477559,0.1504733633947556
CAF,FN1,COL13A1,EMT,0.9132915002852252,1.6489405783599842,0.245092599980625,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.7226025292370185,0.1494611902304245
CAF,DCN,EGFR,EMT,0.968625213918996,1.7654306843869791,0.4027220723782581,0.2386248736097068,0.3184169220074171,0.367846706804034,0.5621430045399498,0.1481399880816381
CAF,HSPG2,COL13A1,EMT,0.5978322875071307,1.057212151248728,0.2427590701322023,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.4632939382159239,0.1480381682843884
CAF,SPON2,ITGA5,EMT,0.6976611523103251,1.20126389040548,0.5046619202349797,0.6198179979777553,0.9281470106859008,0.2904217161081133,1.114949488924762,0.1465647809290586
CAF,CD9,L1CAM,EMT,0.6902452937820879,1.188480588926557,0.1641554944470171,0.3609706774519717,0.500407209182616,0.8754042962135278,0.5947242546724505,0.1437024250859747
CAF,VCAN,EGFR,EMT,0.7877923559612093,1.398877447989268,0.385816803096147,0.2386248736097068,0.3184169220074171,0.367846706804034,0.4454262512543335,0.1419214404485781
