Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,COL11A1,DDR1,ETC,0.4791785510553337,0.8658057732043907,0.7531140379721759,0.5504840940525588,0.8095867361470149,0.5263114323058258,0.7009448700657853,0.39637252801476003
CAF,SFRP2,FZD5,ETC,0.8397033656588705,1.529713277631002,0.5073889911032669,0.2365145228215768,0.3314668778912314,0.5451246524080801,0.5070492842051109,0.2765902474108547
CAF,LAMA2,DAG1,ETC,0.2076440387906446,0.3470623554526234,0.8590796235923822,0.4047026279391425,0.5754680120133565,0.3137135681608213,0.1997232837369941,0.2695049340514215
CAF,COL5A2,DDR1,ETC,0.7701083856246435,1.3662624869725613,0.5010100180342956,0.5504840940525588,0.8095867361470149,0.5263114323058258,1.106107987548219,0.2636873001911977
CAF,SLIT2,SDC1,ETC,0.2487164860239589,0.41366110146462204,0.7481061709939291,0.5280774550484094,0.7853489303746237,0.3124117822551014,0.3248683035728296,0.233717182196253
CAF,COL8A1,ITGA2,ETC,0.5561893896177981,0.9545689094420162,0.6086327065354166,0.4879668049792531,0.7240254421090907,0.3489745028285947,0.6911321766823484,0.212397296168419
CAF,DCN,MET,ETC,0.968625213918996,1.7654306843869791,0.4027220723782581,0.3784232365145228,0.5400497883102091,0.4572336504911379,0.9534204673795356,0.1841380832868672
CAF,COL3A1,DDR1,ETC,0.9612093553907588,1.751847783544767,0.3460643279998826,0.5504840940525588,0.8095867361470149,0.5263114323058258,1.41827272930639,0.1821376121395713
CAF,CTHRC1,FZD5,ETC,0.8317170564746149,1.4991635475791882,0.3279482901761049,0.2365145228215768,0.3314668778912314,0.5451246524080801,0.4969230605644161,0.1787726976900733
CAF,FN1,ITGB6,ETC,0.9132915002852252,1.6489405783599842,0.245092599980625,0.4589211618257261,0.687053190553333,0.6948221565084813,1.132909885395085,0.1702957688628084
CAF,COL4A1,ITGB8,ETC,0.5795778665145465,1.0003601793698198,0.3552540209346289,0.3806362378976487,0.5505066550219346,0.4774089455131688,0.5507049361620222,0.1696014475237144
CAF,NID1,PTPRF,ETC,0.3200228180262407,0.5364762702049786,0.3450035083442647,0.5341632088520055,0.7968545833642561,0.4829191135977745,0.4274935747789982,0.1666087884377347
CAF,COL1A1,DDR1,ETC,0.9726183685111238,1.774610301600321,0.2873988268877706,0.5504840940525588,0.8095867361470149,0.5263114323058258,1.4367009620054743,0.1512612882223166
CAF,GPC3,IGF1R,ETC,0.2470051340559042,0.4145890604961592,0.7307260715948575,0.2013831258644537,0.281173720626979,0.2029685500647076,0.1165715486709488,0.1483144112460879
CAF,THBS2,ITGA6,ETC,0.7632629777524245,1.3655955329591092,0.5057492785572271,0.616597510373444,0.9306841922698366,0.2820786424672969,1.270938175559345,0.1426610699242374
