Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,SPON2,ITGAM,TAM,0.6976611523103251,1.20126389040548,0.5046619202349797,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.8652580106730721,0.2858796735949907
CAF,BGN,TLR2,TAM,0.9515116942384484,1.7181885085479918,0.4945896560100354,0.2473404255319149,0.435436825422358,0.5015092529612579,0.7481625496393137,0.2480412889079584
CAF,RARRES2,CCRL2,TAM,0.8973188819167142,1.6050601351070142,0.4587555942533364,0.3421985815602837,0.6111949604466281,0.5317999878681849,0.9810046657911912,0.2439662194583863
CAF,CFH,ITGAM,TAM,0.5869937250427838,0.9970447785856692,0.3703292018736176,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.7181610873026489,0.2097831976405678
CAF,DCN,TLR2,TAM,0.968625213918996,1.7654306843869791,0.4027220723782581,0.2473404255319149,0.435436825422358,0.5015092529612579,0.768733532712687,0.2019688456694299
CAF,ANGPTL2,LILRB2,TAM,0.2498573873359954,0.407636127942343,0.3130837747598373,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.16518519966569298,0.1962555467710419
CAF,VCAN,TLR2,TAM,0.7877923559612093,1.398877447989268,0.385816803096147,0.2473404255319149,0.435436825422358,0.5015092529612579,0.6091227551073767,0.1934906967006494
CAF,C3,C3AR1,TAM,0.4911580148317171,0.8704169212825268,0.275063267341026,0.4290780141843972,0.7383494448907533,0.70196914869801,0.6426718506524721,0.1930859276134732
CAF,SPON2,ITGB2,TAM,0.6976611523103251,1.20126389040548,0.5046619202349797,0.8297872340425532,1.4882818191181961,0.3779413373956201,1.787819208053669,0.19073260106624998
CAF,CXCL12,CD4,TAM,0.2783799201369082,0.4811271765538773,0.4731086699239549,0.5390070921985816,0.9406313083824424,0.3648187842070935,0.452563285580224,0.1725989297594923
CAF,TGFB3,TGFBR1,TAM,0.2857957786651454,0.477540523165996,0.561658322109718,0.3563829787234042,0.6113093984629462,0.3054446360288813,0.2919250099582856,0.17155552176939498
CAF,C3,ITGAX,TAM,0.4911580148317171,0.8704169212825268,0.275063267341026,0.3953900709219858,0.7007695469450071,0.6151951028761605,0.6099616715804242,0.1692175750493153
CAF,GPC3,CD81,TAM,0.2470051340559042,0.4145890604961592,0.7307260715948575,0.8031914893617021,1.428498325355166,0.2207580598612153,0.592239778629335,0.1613136698552882
CAF,VCAM1,ITGB2,TAM,0.2926411865373645,0.4884224039768121,0.4134761295611449,0.8297872340425532,1.4882818191181961,0.3779413373956201,0.7269101838886926,0.1562697213875038
CAF,C3,ITGAM,TAM,0.4911580148317171,0.8704169212825268,0.275063267341026,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.6269523455923431,0.155817179645356
CAF,TNFSF12,CD163,TAM,0.2247575584711922,0.3571451278229056,0.1720733262998536,0.5390070921985816,0.9565239659815762,0.8652821073124836,0.3416178740961627,0.1488919703930059
CAF,HEBP1,FPR3,TAM,0.3245864232743867,0.5256159567596814,0.20401182170055102,0.625,1.0996822723970372,0.6978826103506952,0.5780105497376291,0.1423763026707811
CAF,CCL2,CCR1,TAM,0.2823730747290359,0.4770444960572283,0.1978794778982954,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.2601817420985588,0.1412084877038593
CAF,FGF7,NRP1,TAM,0.4940102681118083,0.8401176980560253,0.7753437840790347,0.3031914893617021,0.5290710094942707,0.171294743266707,0.4444819186045042,0.1328123144372554
CAF,COL14A1,CD44,TAM,0.32515687393040504,0.5516571497712469,0.6681604989435571,0.8847517730496454,1.6080286315584633,0.1972118316511704,0.8870804916361004,0.1317691558336188
