Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
DC,ITGB2,THY1,CAF,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.8043354249857387,1.410227352802349,0.5736486167990407,1.6397846830590133,0.1693880862041515
DC,GNAI2,EDNRA,CAF,0.6372549019607843,1.161828108988447,0.1685898693920963,0.3998859098687964,0.6679683021586668,0.695721042023305,0.7760643493612273,0.1172915196080421
DC,IL1B,IL1R1,CAF,0.2549019607843137,0.4414933349759333,0.2555442901722204,0.3616657159155733,0.5935066966695427,0.3567426130727749,0.2620292508431861,0.09116353783186533
DC,C1QB,LRP1,CAF,0.4215686274509804,0.7678537091922242,0.2177076440446979,0.7056474614945807,1.233206563415127,0.3744910905535125,0.9469222339185008,0.08152957304013485
DC,COL1A2,ITGA11,CAF,0.2843137254901961,0.5321337011492538,0.09573615957524242,0.2304620650313748,0.38950323841927,0.8378986369353376,0.2072677998696664,0.0802171976135196
DC,IL1RN,IL1R1,CAF,0.2303921568627451,0.4278096062450747,0.21055057754779502,0.3616657159155733,0.5935066966695427,0.3567426130727749,0.253907866206012,0.0751123632183823
DC,SERPINF1,PLXDC1,CAF,0.4411764705882353,0.8148827382478246,0.1538641574575606,0.2789503707929264,0.4681278480376421,0.44071522839897,0.3814693026589753,0.06781027729632391
DC,COL1A1,ITGA11,CAF,0.2549019607843137,0.4817060601905782,0.07801248334840442,0.2304620650313748,0.38950323841927,0.8378986369353376,0.18762607041041798,0.06536655346156879
DC,TGFB1,VASN,CAF,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.3017683970336566,0.4939258178440993,0.4639682843431399,0.3225069455284788,0.06309174568048961
DC,PTGS2,CAV1,CAF,0.2107843137254902,0.3911075054953073,0.2874974740765113,0.5196805476326298,0.8727100217517023,0.2169869632044365,0.3413234396280637,0.0623832038288084
DC,SERPINA1,LRP1,CAF,0.5196078431372549,0.9352432346389764,0.1633120112552857,0.7056474614945807,1.233206563415127,0.3744910905535125,1.153348095346379,0.06115889319547944
DC,PSAP,LRP1,CAF,0.7990196078431373,1.505991559411161,0.1533327898431355,0.7056474614945807,1.233206563415127,0.3744910905535125,1.857198675513626,0.05742176368596836
DC,C3,LRP1,CAF,0.2647058823529412,0.4735292472890621,0.14964150943773802,0.7056474614945807,1.233206563415127,0.3744910905535125,0.5839593757258961,0.05603941206141224
DC,COL3A1,DDR2,CAF,0.2549019607843137,0.483819201408372,0.0955748372555734,0.4831717056474615,0.8155238547796062,0.5842846024478334,0.3945661001489462,0.05584290578988908
