Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
DC,B2M,CD1A,DC,1.0,1.933187144837631,0.1520091784061881,0.2450980392156863,0.4354781490747039,0.9609434328543878,0.8418607596489031,0.1460722217230174
DC,C1QA,CD33,DC,0.4656862745098039,0.8400169956854542,0.2379701357618862,0.2009803921568628,0.3788309382727658,0.4802165499028737,0.3182244266405905,0.1142771975754915
DC,C1QB,CD33,DC,0.4215686274509804,0.7678537091922242,0.2177076440446979,0.2009803921568628,0.3788309382727658,0.4802165499028737,0.2908867411095137,0.1045468137106278
DC,CD84,CD84,DC,0.2107843137254902,0.4122177767679812,0.2981569023587336,0.2107843137254902,0.4122177767679812,0.2981569023587336,0.1699234954835372,0.0888975384241554
DC,ICAM3,ITGB2,DC,0.4215686274509804,0.7891141858813484,0.2979413538784386,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.9175664850220614,0.08797670604725318
DC,LGALS9,HAVCR2,DC,0.4215686274509804,0.7611153455451838,0.2119348861757225,0.4166666666666667,0.7637846199080331,0.3579823680075803,0.5813281949033995,0.07586895241660213
DC,GNAI2,FPR1,DC,0.6372549019607843,1.161828108988447,0.1685898693920963,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.5676649803763649,0.0612105546778529
DC,LTB,CD40,DC,0.446078431372549,0.8262844114783258,0.2894743510514441,0.2941176470588235,0.5290819727428996,0.2049642605393466,0.4371721864716584,0.05933189630836649
DC,ANXA1,FPR1,DC,0.7401960784313726,1.3863963096680951,0.1479578419374589,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.6773881849069895,0.05371960727288237
DC,HMGB1,HAVCR2,DC,0.8676470588235294,1.641064041020971,0.1500579369428015,0.4166666666666667,0.7637846199080331,0.3579823680075803,1.2534194748159428,0.053718095605116235
DC,ICAM1,SPN,DC,0.2352941176470588,0.4356552376670622,0.1441457496015546,0.2990196078431372,0.5413477402983359,0.3365204479734946,0.2358409784601986,0.04850799222939033
DC,LGALS1,CD69,DC,0.9215686274509804,1.753991409561835,0.1625000922795053,0.2990196078431372,0.5898234035816418,0.2756965995029955,1.034545183040723,0.04480072286038258
DC,C3,ITGB2,DC,0.2647058823529412,0.4735292472890621,0.14964150943773802,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.5506105133630155,0.04418643775661469
DC,ICAM1,ITGB2,DC,0.2352941176470588,0.4356552376670622,0.1441457496015546,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.5065713584418091,0.04256363903693283
DC,LGALS1,PTPRC,DC,0.9215686274509804,1.753991409561835,0.1625000922795053,0.5686274509803921,1.0301235021139408,0.2545634009128851,1.8068277734956042,0.04136657613932853
DC,ANXA1,FPR3,DC,0.7401960784313726,1.3863963096680951,0.1479578419374589,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.5952188242381322,0.04031274811805968
DC,GRN,TNFRSF1B,DC,0.7941176470588235,1.474674234620018,0.1780369555191055,0.3970588235294117,0.7120584175299303,0.2200182903185108,1.0500542018756909,0.03917138656682635
DC,LGALS9,CD44,DC,0.4215686274509804,0.7611153455451838,0.2119348861757225,0.7647058823529411,1.450323837565292,0.1778706018538992,1.103863728780925,0.03769698575791338
DC,TFF2,CXCR4,DC,0.3431372549019608,0.6471705415767876,0.1602181998357824,0.6715686274509803,1.255455313638425,0.2074557806326925,0.8124936952528349,0.033238191718496964
