Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
DC,ALCAM,L1CAM,EMT,0.2794117647058824,0.4841510848120396,0.2030311341030161,0.3609706774519717,0.500407209182616,0.8754042962135278,0.2422726931735288,0.1777343270588852
DC,OSM,OSMR,EMT,0.25,0.4577740137181252,0.2889346820013066,0.3832153690596562,0.5399954841169934,0.3586055784971743,0.2471959001538982,0.1036135887869756
DC,CD9,L1CAM,EMT,0.4558823529411765,0.8541055047323005,0.11797088883537,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4274005519706002,0.1032722229146114
DC,PTGS2,CAV1,EMT,0.2107843137254902,0.3911075054953073,0.2874974740765113,0.8179979777553084,1.264084753867124,0.3142967367603966,0.4943930348196204,0.09035951792910422
DC,AREG,EGFR,EMT,0.2254901960784314,0.4249563370367156,0.2118301923479246,0.2386248736097068,0.3184169220074171,0.367846706804034,0.1353132888267775,0.07792103865684917
DC,VEGFA,GPC1,EMT,0.3578431372549021,0.6500724017659124,0.16461266822724,0.5672396359959555,0.8375127895971638,0.4210214328231001,0.5444439506430976,0.06930546143786619
DC,IL1B,IL1RAP,EMT,0.2549019607843137,0.4414933349759333,0.2555442901722204,0.2780586450960566,0.3874111303474886,0.2547909024338383,0.1710394319439087,0.06511036030479468
DC,LTB,TNFRSF1A,EMT,0.446078431372549,0.8262844114783258,0.2894743510514441,0.7229524772497472,1.085042571245197,0.2206567614434622,0.8965537624102672,0.06387447282395953
DC,GNAI2,EGFR,EMT,0.6372549019607843,1.161828108988447,0.1685898693920963,0.2386248736097068,0.3184169220074171,0.367846706804034,0.3699457303657992,0.06201522825640483
DC,CALR,ITGA3,EMT,0.75,1.3963346112935242,0.1449736062009836,0.7259858442871587,1.129576103128108,0.4163849433571546,1.5772662088878409,0.06036482680627901
DC,SPINK1,EGFR,EMT,0.3186274509803921,0.5809706633785674,0.1596840706448936,0.2386248736097068,0.3184169220074171,0.367846706804034,0.1849908904096107,0.05873925951578685
DC,HSP90AA1,EGFR,EMT,0.9950980392156864,1.924029435449268,0.1576117726679216,0.2386248736097068,0.3184169220074171,0.367846706804034,0.6126435306874245,0.05797697152944103
DC,LTB,LTBR,EMT,0.446078431372549,0.8262844114783258,0.2894743510514441,0.4378159757330637,0.6217403112740796,0.1950009529828613,0.5137343271934539,0.05644777431912695
DC,ANXA1,EGFR,EMT,0.7401960784313726,1.3863963096680951,0.1479578419374589,0.2386248736097068,0.3184169220074171,0.367846706804034,0.4414520456069567,0.05442580490252606
DC,GNAI2,IGF1R,EMT,0.6372549019607843,1.161828108988447,0.1685898693920963,0.3083923154701719,0.4458271981031567,0.3218255951396559,0.5179745705078082,0.05425653505162824
DC,GNAI2,CAV1,EMT,0.6372549019607843,1.161828108988447,0.1685898693920963,0.8179979777553084,1.264084753867124,0.3142967367603966,1.4686491991865667,0.052987245800797333
DC,TNFSF12,TNFRSF12A,EMT,0.2205882352941176,0.3770243681794694,0.1816511890396315,0.8998988877654196,1.415295814527992,0.2878121648161074,0.5336010102594637,0.052281421958916316
DC,OSM,IL6ST,EMT,0.25,0.4577740137181252,0.2889346820013066,0.4964610717896866,0.7108798718101953,0.1797565837260766,0.3254223321899794,0.05193791135653519
DC,ALCAM,NRP1,EMT,0.2794117647058824,0.4841510848120396,0.2030311341030161,0.5308392315470172,0.7740290481401578,0.2506036140760756,0.3747470033330878,0.050880335976180184
DC,HBEGF,EGFR,EMT,0.2990196078431372,0.5426368436706129,0.137981208984535,0.2386248736097068,0.3184169220074171,0.367846706804034,0.1727847535294166,0.05075593332580038
DC,GNAI2,F2R,EMT,0.6372549019607843,1.161828108988447,0.1685898693920963,0.435793731041456,0.6230668591062298,0.2613059933484363,0.7238965906887621,0.04405354328998486
DC,SEMA4A,PLXNB2,EMT,0.2450980392156863,0.4258395370946971,0.2125949800797943,0.4115267947421638,0.5844074611093636,0.2041334605587642,0.2488638027134986,0.04339774898110995
DC,C1QB,LRP1,EMT,0.4215686274509804,0.7678537091922242,0.2177076440446979,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.4992232600473383,0.042982895305916716
DC,FN1,COL13A1,EMT,0.2401960784313726,0.4583873321626968,0.06813304524877241,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.2008755499973282,0.041548565879630385
DC,VEGFA,NRP1,EMT,0.3578431372549021,0.6500724017659124,0.16461266822724,0.5308392315470172,0.7740290481401578,0.2506036140760756,0.5031749223610554,0.041252529580452314
DC,GRN,TNFRSF1A,EMT,0.7941176470588235,1.474674234620018,0.1780369555191055,0.7229524772497472,1.085042571245197,0.2206567614434622,1.6000843232811481,0.039285058022099535
DC,LGALS9,CD44,EMT,0.4215686274509804,0.7611153455451838,0.2119348861757225,0.9403437815975731,1.4963060450045351,0.1835099512874155,1.138861492484974,0.03889216063821077
DC,DCN,EGFR,EMT,0.25,0.4632057497573216,0.1056644030997841,0.2386248736097068,0.3184169220074171,0.367846706804034,0.1474925490938643,0.03886830270666953
DC,TGFB1,ITGB8,EMT,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.2254802831142568,0.3247506435174008,0.2816294060426715,0.2120446721257699,0.0382967790295132
DC,C3,NRP1,EMT,0.2647058823529412,0.4735292472890621,0.14964150943773802,0.5308392315470172,0.7740290481401578,0.2506036140760756,0.3665253925456782,0.03750070308089632
DC,FN1,NT5E,EMT,0.2401960784313726,0.4583873321626968,0.06813304524877241,0.7269969666329625,1.096610908222285,0.5373652607018176,0.5026725486405252,0.03661233162251532
DC,SPP1,ITGB5,EMT,0.2794117647058824,0.5111670760332148,0.1173106305399859,0.6248736097067745,0.9281075175092379,0.3094984032281217,0.4744180059696429,0.03630745283380976
DC,DCN,MET,EMT,0.25,0.4632057497573216,0.1056644030997841,0.2891809908998989,0.3973681607436742,0.3364321191464205,0.1840632168269615,0.035548899053201966
DC,VEGFA,NRP2,EMT,0.3578431372549021,0.6500724017659124,0.16461266822724,0.39130434782608703,0.5505033865876778,0.20849856496545102,0.3578670586993203,0.03432150510051343
DC,HMGB1,SDC1,EMT,0.8676470588235294,1.641064041020971,0.1500579369428015,0.3923154701718908,0.5654301408415704,0.2249280940088689,0.9279070718445244,0.03375224574744737
