Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
DC,VEGFA,KDR,Endo,0.3578431372549021,0.6500724017659124,0.16461266822724,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.5280399123257381,0.1581594532012627
DC,C1QA,CD93,Endo,0.4656862745098039,0.8400169956854542,0.2379701357618862,0.7681159420289855,1.2284066604606392,0.6284213594627889,1.0318824724001479,0.149545516227029
DC,VEGFA,FLT1,Endo,0.3578431372549021,0.6500724017659124,0.16461266822724,0.5869565217391305,0.8882742480749662,0.7561345457284385,0.5774425738729032,0.1244693251111503
DC,ANXA2,ROBO4,Endo,0.7794117647058824,1.460887601933228,0.1410942554206303,0.5,0.7887288345540476,0.8736328374758456,1.1522441756872528,0.123264574714667
DC,GNAI2,TBXA2R,Endo,0.6372549019607843,1.161828108988447,0.1685898693920963,0.2246376811594203,0.3385449381599859,0.7244953312025124,0.3933310253100271,0.1221425732626151
DC,ANXA1,DYSF,Endo,0.7401960784313726,1.3863963096680951,0.1479578419374589,0.3985507246376812,0.6099553864416668,0.7212468784493901,0.8456398968249036,0.1067141316395005
DC,SEMA4A,PLXND1,Endo,0.2450980392156863,0.4258395370946971,0.2125949800797943,0.6086956521739131,0.9695676098615016,0.4502755927099927,0.4128802221654337,0.09572633066259847
DC,PTGS2,CAV1,Endo,0.2107843137254902,0.3911075054953073,0.2874974740765113,0.8188405797101449,1.3131967420873798,0.3265077357351252,0.5136011020223596,0.09387014929028956
DC,CALR,SCARF1,Endo,0.75,1.3963346112935242,0.1449736062009836,0.3768115942028986,0.5698802795674495,0.6145927049924039,0.7957435586536595,0.08909972078756608
DC,TGFB1,ACVRL1,Endo,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.5797101449275363,0.90480223517711,0.6505833851457893,0.5907871073595391,0.08846820540262014
DC,NAMPT,INSR,Endo,0.5686274509803921,1.0406066325068741,0.1922757146395776,0.7463768115942029,1.1955314344237,0.4543159656297879,1.244077940031759,0.08735392696363724
DC,TFF3,ACKR3,Endo,0.3137254901960784,0.587069191294165,0.1552670763347272,0.3333333333333333,0.5044354832886748,0.5123309691742103,0.2961385312343636,0.0795481316994169
DC,ITGB2,THY1,Endo,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.4492753623188406,0.648509480619786,0.2637990007776743,0.7540740938159383,0.0778950852067538
DC,YBX1,NOTCH1,Endo,0.9460784313725491,1.8058569468337191,0.1662832272364272,0.3768115942028986,0.5651248848922924,0.4513741347442325,1.020534699211352,0.07505594781632091
DC,OSM,IL6ST,Endo,0.25,0.4577740137181252,0.2889346820013066,0.644927536231884,1.0108539964556091,0.2556095175208839,0.4627426912404914,0.07385445466140399
DC,ARF1,INSR,Endo,0.6421568627450981,1.1894490953020258,0.1468841117675283,0.7463768115942029,1.1955314344237,0.4543159656297879,1.4220237830804032,0.06673179707333833
DC,ALCAM,NRP1,Endo,0.2794117647058824,0.4841510848120396,0.2030311341030161,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.4749143251424719,0.06448030326655407
DC,OSM,OSMR,Endo,0.25,0.4577740137181252,0.2889346820013066,0.2173913043478261,0.3314620909141544,0.2201206461134046,0.1517347317531745,0.0636004888866987
DC,IL1B,IL1R1,Endo,0.2549019607843137,0.4414933349759333,0.2555442901722204,0.2681159420289855,0.39936526257571203,0.2400488623653733,0.1763171016480904,0.06134311613980833
DC,LTB,CD40,Endo,0.446078431372549,0.8262844114783258,0.2894743510514441,0.3623188405797101,0.5430008177169888,0.210356365949565,0.4486731110995318,0.06089277252279043
DC,COL1A2,CD93,Endo,0.2843137254901961,0.5321337011492538,0.09573615957524242,0.7681159420289855,1.2284066604606392,0.6284213594627889,0.6536765827473148,0.06016264755002035
DC,TGFB1,TGFBR3,Endo,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.3333333333333333,0.5132682250298641,0.4340417616700271,0.33513649522053,0.05902225080053995
DC,LTB,TNFRSF1A,Endo,0.446078431372549,0.8262844114783258,0.2894743510514441,0.6086956521739131,0.9576643870015832,0.1947528399212965,0.7913031544073547,0.05637595195164308
DC,GNAI2,CAV1,Endo,0.6372549019607843,1.161828108988447,0.1685898693920963,0.8188405797101449,1.3131967420873798,0.3265077357351252,1.52570888758917,0.055045896523093836
DC,GNAI2,F2R,Endo,0.6372549019607843,1.161828108988447,0.1685898693920963,0.4927536231884058,0.7479952029626431,0.3136992871204766,0.8690418521905171,0.05288652184403485
DC,VEGFA,NRP1,Endo,0.3578431372549021,0.6500724017659124,0.16461266822724,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.6376701522795533,0.05227904979057794
DC,ADAM17,NOTCH1,Endo,0.2205882352941176,0.3945318386527527,0.1126016276882373,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.2229597599049813,0.050825462268570314
DC,TGFB1,ENG,Endo,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.8478260869565217,1.37247601108448,0.3717697573112006,0.8961528840059074,0.05055432401631231
DC,IL1RN,IL1R1,Endo,0.2303921568627451,0.4278096062450747,0.21055057754779502,0.2681159420289855,0.39936526257571203,0.2400488623653733,0.1708522957304762,0.05054242661072048
DC,SERPINF1,PLXDC1,Endo,0.4411764705882353,0.8148827382478246,0.1538641574575606,0.2681159420289855,0.3473951114488003,0.3270523565915538,0.2830862796713066,0.05032163529146911
DC,LTB,LTBR,Endo,0.446078431372549,0.8262844114783258,0.2894743510514441,0.3768115942028986,0.5538582972244377,0.1737106213282344,0.4576444771644821,0.050284769379733786
DC,COL1A1,CD93,Endo,0.2549019607843137,0.4817060601905782,0.07801248334840442,0.7681159420289855,1.2284066604606392,0.6284213594627889,0.5917309327223599,0.0490247108408725
DC,C3,NRP1,Endo,0.2647058823529412,0.4735292472890621,0.14964150943773802,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.4644951337841459,0.04752438561917545
DC,HMGB1,THBD,Endo,0.8676470588235294,1.641064041020971,0.1500579369428015,0.4565217391304348,0.6975380486345151,0.3000013301644832,1.14470460885804,0.04501758068457858
DC,ADAM17,ITGA5,Endo,0.2205882352941176,0.3945318386527527,0.1126016276882373,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.447106774049495,0.03992879269741772
DC,COL1A1,CD36,Endo,0.2549019607843137,0.4817060601905782,0.07801248334840442,0.355072463768116,0.526269182647109,0.510375474456763,0.2535070545726547,0.039815658202492235
DC,TGFB1,TGFBR2,Endo,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.7463768115942029,1.1797296904768841,0.2740788238544286,0.7702999221333429,0.03727002908294156
DC,GRN,SORT1,Endo,0.7941176470588235,1.474674234620018,0.1780369555191055,0.2101449275362319,0.2950461192386736,0.202849661821072,0.4350969100658977,0.03611473621870378
DC,VEGFA,NRP2,Endo,0.3578431372549021,0.6500724017659124,0.16461266822724,0.3768115942028986,0.561722352212917,0.2127476545991377,0.3651601986286487,0.0350209590826513
DC,GRN,TNFRSF1A,Endo,0.7941176470588235,1.474674234620018,0.1780369555191055,0.6086956521739131,0.9576643870015832,0.1947528399212965,1.4122429969244092,0.03467320269828733
DC,SEMA4A,PLXNB2,Endo,0.2450980392156863,0.4258395370946971,0.2125949800797943,0.3115942028985507,0.4512498840257552,0.1576215338319925,0.1921600417275633,0.03350954684515908
DC,COL1A1,ITGA5,Endo,0.2549019607843137,0.4817060601905782,0.07801248334840442,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.5458977489557257,0.02766340362373456
DC,LGALS1,ITGB1,Endo,0.9215686274509804,1.753991409561835,0.1625000922795053,0.8260869565217391,1.306931501856276,0.1631605937841289,2.2923466271416544,0.02651361154629983
DC,HBEGF,CD9,Endo,0.2990196078431372,0.5426368436706129,0.137981208984535,0.8478260869565217,1.3862169418288113,0.1914672646881592,0.7522123859567159,0.02641888466263418
DC,CD14,ITGB1,Endo,0.2303921568627451,0.4078941575714422,0.1614946321862632,0.8260869565217391,1.306931501856276,0.1631605937841289,0.5330897239532453,0.02634956008046021
DC,HLA-A,APLP2,Endo,0.965686274509804,1.849064276374585,0.1508079718184592,0.7898550724637681,1.266766378619631,0.1740109111769061,2.342332457217963,0.02624223258887127
DC,B2M,HLA-F,Endo,1.0,1.933187144837631,0.1520091784061881,0.5434782608695652,0.8158708791380938,0.1707054102070103,1.5772310953971391,0.02594878915505895
DC,C3,CD46,Endo,0.2647058823529412,0.4735292472890621,0.14964150943773802,0.5217391304347826,0.8041932026935356,0.1732644281156144,0.3808090019464501,0.02592755055508699
DC,CALR,ITGAV,Endo,0.75,1.3963346112935242,0.1449736062009836,0.4202898550724637,0.643227026443107,0.1758988555131502,0.8981601599419254,0.02550069141036716
DC,APP,CAV1,Endo,0.2598039215686275,0.4743668544051038,0.07546029131293704,0.8188405797101449,1.3131967420873798,0.3265077357351252,0.6229370077590209,0.02463836885450001
DC,FN1,ITGA5,Endo,0.2401960784313726,0.4583873321626968,0.06813304524877241,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.5194715895383105,0.024160132454872182
DC,TGFB1,ITGAV,Endo,0.3529411764705883,0.6529461183790022,0.1359828846271494,0.4202898550724637,0.643227026443107,0.1758988555131502,0.4199925901524945,0.023919233775292318
DC,MDK,ITGA6,Endo,0.2303921568627451,0.4189128339077566,0.08312556184095424,0.6159420289855072,0.9449641369956217,0.286406713639252,0.3958576045700333,0.02380771898628412
DC,LRPAP1,SORT1,Endo,0.3627450980392157,0.6377741392220342,0.1151375517659536,0.2101449275362319,0.2950461192386736,0.202849661821072,0.1881727847282467,0.02335561343862986
DC,HLA-B,CANX,Endo,0.9852941176470588,1.896646149091953,0.1551436543490717,0.6884057971014492,1.075980508477989,0.1498948361228426,2.040754287902779,0.02325523264415304
DC,PLAU,IGF2R,Endo,0.2254901960784314,0.388136325006449,0.1088960746264653,0.2463768115942029,0.3333873954111142,0.2075783370317581,0.1293997584583417,0.022604466080247892
DC,TIMP1,CD63,Endo,0.8431372549019608,1.595958783040363,0.1518570135709945,0.9347826086956522,1.524345384518243,0.1430749398892907,2.43279240480893,0.02172693308843724
DC,APOE,LDLR,Endo,0.4068627450980392,0.7471535083646731,0.1260890984121214,0.3043478260869565,0.4595703792725249,0.1687320936303812,0.3433696212139504,0.02127527755904441
