Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
DC,SPN,SIGLEC1,TAM,0.2990196078431372,0.5413477402983359,0.3365204479734946,0.375,0.6419812907464733,0.8570373859929518,0.3475351210594123,0.2884106050643809
DC,PTPRC,MRC1,TAM,0.5686274509803921,1.0301235021139408,0.2545634009128851,0.3404255319148936,0.6100439220636747,0.82520170798528,0.6284205814395565,0.2100661532238544
DC,LILRB4,LAIR1,TAM,0.2254901960784314,0.3957912238196936,0.2690943767898916,0.6179078014184397,1.075823853003933,0.6386720301568823,0.4258016393948447,0.1718630519282011
DC,TNFSF12,CD163,TAM,0.2205882352941176,0.3770243681794694,0.1816511890396315,0.5390070921985816,0.9565239659815762,0.8652821073124836,0.360632843922724,0.1571795236480307
DC,CD84,CD84,TAM,0.2107843137254902,0.4122177767679812,0.2981569023587336,0.4104609929078014,0.6991758161425939,0.5057135021679336,0.2882127005002388,0.1507819712873778
DC,CCL3,CCR1,TAM,0.2549019607843137,0.4691606349116829,0.1979629362679693,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.2558818565653126,0.1412680443101989
DC,CCL4,CCR1,TAM,0.2352941176470588,0.4501615046377692,0.1917933427301957,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.2455196642459796,0.1368653695989573
DC,SEMA4A,LILRB2,TAM,0.2450980392156863,0.4258395370946971,0.2125949800797943,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.1725617140845848,0.1332644723871237
DC,GNAI2,C5AR1,TAM,0.6372549019607843,1.161828108988447,0.1685898693920963,0.6790780141843972,1.2180433538447841,0.7458677335571943,1.415157006463431,0.1257457437841862
DC,C1QA,CD33,TAM,0.4656862745098039,0.8400169956854542,0.2379701357618862,0.2331560283687943,0.3776903340442183,0.4787706885116815,0.3172662997032599,0.1139331257439366
DC,RPS19,C5AR1,TAM,1.0,1.933187144837631,0.1526552780696163,0.6790780141843972,1.2180433538447841,0.7458677335571943,2.354705753507649,0.113860646269328
DC,ICAM3,ITGB2,TAM,0.4215686274509804,0.7891141858813484,0.2979413538784386,0.8297872340425532,1.4882818191181961,0.3779413373956201,1.174424296055468,0.1126043537502788
DC,C3,C3AR1,TAM,0.2647058823529412,0.4735292472890621,0.14964150943773802,0.4290780141843972,0.7383494448907533,0.70196914869801,0.3496300568754153,0.1050437229898942
