Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
EMT,EFNA5,EPHA3,CAF,0.2800808897876643,0.3987021577722512,0.3668041690801583,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.1514212625280661,0.242032700146328
EMT,EFNB2,EPHA3,CAF,0.5176946410515673,0.7521939691713609,0.3164897568771926,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2856722951145557,0.2088331509909913
EMT,L1CAM,ITGAV,CAF,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.3920615367303795,0.1875590755918489
EMT,MFGE8,PDGFRB,CAF,0.7007077856420627,1.0627107877389779,0.2923179494316024,0.6018254420992584,1.04607053367982,0.6367127460640034,1.1116704408774152,0.18612256430639398
EMT,SERPINE2,LRP1,CAF,0.8695652173913043,1.3679360618956458,0.4903528259453471,0.7056474614945807,1.233206563415127,0.3744910905535125,1.6869477298619517,0.1836327645442697
EMT,PDGFC,PDGFRB,CAF,0.3427704752275025,0.4690552298037782,0.2731899435008774,0.6018254420992584,1.04607053367982,0.6367127460640034,0.4906648545661488,0.1739435191235136
EMT,COL1A1,ITGA11,CAF,0.7846309403437816,1.221785706039951,0.197868669142445,0.2304620650313748,0.38950323841927,0.8378986369353376,0.4758894891569351,0.165793888166664
EMT,SERPINE1,LRP1,CAF,0.7987866531850354,1.22932330951783,0.4096209627016726,0.7056474614945807,1.233206563415127,0.3744910905535125,1.516009573856593,0.153399401035729
EMT,TNC,ITGAV,CAF,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.2858277414460548,0.1528977188057107
EMT,L1CAM,CD9,CAF,0.3609706774519717,0.500407209182616,0.8754042962135278,0.6902452937820879,1.188480588926557,0.1641554944470171,0.5947242546724505,0.1437024250859747
EMT,TNC,ITGB1,CAF,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.8813462635482031,1.56105546480237,0.1948860641933811,0.5694977748133829,0.1390760607049447
EMT,PLAT,LRP1,CAF,0.7684529828109201,1.197746400136113,0.36956947785720506,0.7056474614945807,1.233206563415127,0.3744910905535125,1.477068721954695,0.1384004767980369
EMT,PDGFC,PDGFRA,CAF,0.3427704752275025,0.4690552298037782,0.2731899435008774,0.42156303479749,0.7101141498101483,0.4748562116275727,0.3330827557261137,0.1297259416255773
EMT,COL1A1,DDR2,CAF,0.7846309403437816,1.221785706039951,0.197868669142445,0.4831717056474615,0.8155238547796062,0.5842846024478334,0.9963953887043236,0.1156116166867754
EMT,COL1A2,ITGA11,CAF,0.4529828109201213,0.7188512100968969,0.1293285014876174,0.2304620650313748,0.38950323841927,0.8378986369353376,0.2799948742743524,0.1083641751133644
EMT,SERPINF1,PLXDC1,CAF,0.8230535894843276,1.2756570861786531,0.2408664382702295,0.2789503707929264,0.4681278480376421,0.44071522839897,0.5971706065867818,0.1061535073559106
EMT,ITGAV,THY1,CAF,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.8043354249857387,1.410227352802349,0.5736486167990407,0.862577054211062,0.09595187101913187
EMT,FN1,SDC2,CAF,0.9817997977755308,1.5816672141715198,0.23509332896093,0.6252139189960069,1.057524624607136,0.3971301918094151,1.6726520269201508,0.09336265882336807
EMT,GNAI2,EDNRA,CAF,0.6198179979777553,0.904692354533952,0.1312775656837062,0.3998859098687964,0.6679683021586668,0.695721042023305,0.6043058160339705,0.09133256479175098
EMT,ADAM10,EPHA3,CAF,0.3225480283114257,0.4416711337256872,0.1376451971499223,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.1677402526854357,0.09082404600774603
EMT,SLPI,PLSCR4,CAF,0.4691607684529828,0.6978640746765621,0.1706152210994876,0.3422703936109526,0.5705355976767148,0.5188398622981778,0.3981562969426999,0.0885219778212313
EMT,SERPINA1,LRP1,CAF,0.8594539939332659,1.352443081532605,0.2361633760854166,0.7056474614945807,1.233206563415127,0.3744910905535125,1.6678416847913882,0.08844108025902696
EMT,DAG1,LAMA4,CAF,0.3215369059656218,0.4377960063796453,0.2386623485941535,0.4204221334854535,0.7082257045333058,0.3575993948311592,0.3100583850600919,0.08534551142625245
EMT,CLCF1,IL6ST,CAF,0.3245702730030334,0.4760971437066942,0.4813818606759973,0.4090131203650884,0.679778027354231,0.1718920182366254,0.3236403771779204,0.08274569957409922
EMT,TFPI,LRP1,CAF,0.4216380182002022,0.6079032585825518,0.2133413653878163,0.7056474614945807,1.233206563415127,0.3744910905535125,0.7496702884054459,0.0798944405842587
EMT,THBS2,NOTCH3,CAF,0.4014155712841254,0.5982853089764484,0.2215753904309871,0.2932116371933828,0.5033056384746055,0.3599796122250077,0.301120369424368,0.0797626231259514
EMT,TGFB1,VASN,CAF,0.5642062689585439,0.8202379384298717,0.1708231625991193,0.3017683970336566,0.4939258178440993,0.4639682843431399,0.4051366945657324,0.0792565296771826
EMT,PLAU,LRP1,CAF,0.5136501516683518,0.7451399114006924,0.2090575042098915,0.7056474614945807,1.233206563415127,0.3744910905535125,0.9189114294018998,0.07829017273995778
EMT,SERPINF1,PLXDC2,CAF,0.8230535894843276,1.2756570861786531,0.2408664382702295,0.5305191100969766,0.8981588836002861,0.3130500396666812,1.145742744379013,0.07540324805486759
EMT,THBS1,LRP1,CAF,0.4418604651162791,0.6558855744859692,0.1991939183600948,0.7056474614945807,1.233206563415127,0.3744910905535125,0.8088423953053983,0.07459634771829922
EMT,JAG1,NOTCH3,CAF,0.3164812942366027,0.4380447023830957,0.2055325515106561,0.2932116371933828,0.5033056384746055,0.3599796122250077,0.2204703686133425,0.0739875281924224
EMT,LIF,IL6ST,CAF,0.3549039433771486,0.5391609045277088,0.428633420416459,0.4090131203650884,0.679778027354231,0.1718920182366254,0.3665097361063688,0.07367866371905311
EMT,VEGFA,GPC1,CAF,0.627906976744186,0.9672405772900896,0.2449266448058071,0.3525385054192812,0.5888562532555762,0.2960206775967599,0.5695656623398027,0.07250335135691595
EMT,LTBP3,ITGB5,CAF,0.5662285136501517,0.8415227902170366,0.2501512521664926,0.5037079292641187,0.8641798387847487,0.2881802756253972,0.7272270291834506,0.07208865679737808
EMT,LAMC2,ITGB1,CAF,0.4833164812942366,0.7158609978718036,0.3655004468728007,0.8813462635482031,1.56105546480237,0.1948860641933811,1.117498722766657,0.07123094355196212
EMT,PSEN1,NOTCH3,CAF,0.3144590495449949,0.4347297123763161,0.1920097840656221,0.2932116371933828,0.5033056384746055,0.3599796122250077,0.2188019154514434,0.06911960761135012
EMT,TGFB1,SDC2,CAF,0.5642062689585439,0.8202379384298717,0.1708231625991193,0.6252139189960069,1.057524624607136,0.3971301918094151,0.8674218179265809,0.06783903532847915
EMT,APP,LRP1,CAF,0.7269969666329625,1.096698357149245,0.17445817882171802,0.7056474614945807,1.233206563415127,0.3744910905535125,1.3524556121230358,0.06533303364292489
EMT,TGM2,ITGB1,CAF,0.8493427704752275,1.3219419705030058,0.3290791540568265,0.8813462635482031,1.56105546480237,0.1948860641933811,2.063624737205332,0.06413294114222225
EMT,MFGE8,ITGAV,CAF,0.7007077856420627,1.0627107877389779,0.2923179494316024,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.8326179497323082,0.06263035789456857
EMT,COL3A1,DDR2,CAF,0.3528816986855409,0.5401633089602854,0.1067051911024422,0.4831717056474615,0.8155238547796062,0.5842846024478334,0.4405160639337994,0.06234620016241051
EMT,LAMB1,ITGB1,CAF,0.4843276036400405,0.6908937987346829,0.3147497430761809,0.8813462635482031,1.56105546480237,0.1948860641933811,1.078523540112846,0.06134033863399481
EMT,ADAM9,ITGB5,CAF,0.461071789686552,0.6566995139412768,0.2113870012661482,0.5037079292641187,0.8641798387847487,0.2881802756253972,0.5675064800877954,0.060917564288504776
EMT,COL8A1,ITGA1,CAF,0.2022244691607684,0.3184372011199845,0.2030354159476129,0.4101540216771249,0.6882957577756998,0.2964742422067876,0.2191789746488527,0.06019477108420845
EMT,PSAP,LRP1,CAF,0.9373104145601616,1.489942847640591,0.1516987874917996,0.7056474614945807,1.233206563415127,0.3744910905535125,1.837407298823801,0.056809844363449574
EMT,PLTP,ABCA1,CAF,0.5540950455005056,0.8194055718606746,0.2769641951304158,0.2692527096406161,0.4502014048065528,0.2030095644999566,0.3688975395579925,0.0562263806355067
EMT,LRPAP1,LRP1,CAF,0.5510616784630941,0.8086670918993711,0.1459889064623432,0.7056474614945807,1.233206563415127,0.3744910905535125,0.9972535653481279,0.05467154478979763
EMT,CALR,LRP1,CAF,0.8867542972699697,1.393446862509379,0.1446737874099473,0.7056474614945807,1.233206563415127,0.3744910905535125,1.718407816616781,0.0541790444216582
EMT,LTBP1,ITGB5,CAF,0.2558139534883721,0.3646313952675026,0.1861034269816401,0.5037079292641187,0.8641798387847487,0.2881802756253972,0.3151071003781284,0.05363133688240003
EMT,THBS1,SDC1,CAF,0.4418604651162791,0.6558855744859692,0.1991939183600948,0.383342840844267,0.675959351194531,0.2688966107561264,0.44335198738738796,0.05356256953026203
EMT,SERPING1,LRP1,CAF,0.4681496461071789,0.6888729296674471,0.1412712382576375,0.7056474614945807,1.233206563415127,0.3744910905535125,0.8495226182249026,0.05290482007894777
EMT,SEMA3C,NRP1,CAF,0.3447927199191102,0.4934735018651668,0.2959993905790257,0.3257273245864233,0.5484279942976252,0.1775618599349925,0.2706346828669389,0.052558202330836086
EMT,APP,GPC1,CAF,0.7269969666329625,1.096698357149245,0.17445817882171802,0.3525385054192812,0.5888562532555762,0.2960206775967599,0.6457976855424502,0.051643228307101684
EMT,SEMA3C,NRP2,CAF,0.3447927199191102,0.4934735018651668,0.2959993905790257,0.2772390188248717,0.4530282321455368,0.1715806634300074,0.2235574281606438,0.05078777181042712
EMT,FN1,ITGAV,CAF,0.9817997977755308,1.5816672141715198,0.23509332896093,0.4660581859669138,0.7834849888969178,0.2142542324764872,1.239212519733792,0.050369740756866385
EMT,HRAS,CAV1,CAF,0.2426693629929221,0.32822272238788797,0.2271346872413674,0.5196805476326298,0.8727100217517023,0.2169869632044365,0.2864432591945367,0.04928526602289377
EMT,BMP4,BMPR2,CAF,0.2062689585439838,0.2970361366342464,0.2548943889783205,0.3337136337706789,0.5449632790248359,0.18320916507835397,0.1618737870090681,0.04669898818787529
EMT,JAG1,NOTCH2,CAF,0.3164812942366027,0.4380447023830957,0.2055325515106561,0.2515687393040502,0.4127678984726298,0.2240962238345313,0.18081079123973898,0.0460590686686143
EMT,FN1,ITGB1,CAF,0.9817997977755308,1.5816672141715198,0.23509332896093,0.8813462635482031,1.56105546480237,0.1948860641933811,2.4690702481811933,0.045816413599315486
EMT,ADAM9,ITGAV,CAF,0.461071789686552,0.6566995139412768,0.2113870012661482,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.5145142113888925,0.04529055971178482
EMT,VEGFA,NRP1,CAF,0.627906976744186,0.9672405772900896,0.2449266448058071,0.3257273245864233,0.5484279942976252,0.1775618599349925,0.5304618098064809,0.04348963059935638
EMT,ALCAM,NRP1,CAF,0.4125379170879677,0.5829999144546185,0.2444838760603746,0.3257273245864233,0.5484279942976252,0.1775618599349925,0.3197334737600335,0.04341101175739629
EMT,THBS2,ITGB1,CAF,0.4014155712841254,0.5982853089764484,0.2215753904309871,0.8813462635482031,1.56105546480237,0.1948860641933811,0.9339565510886596,0.04318195576320683
