Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
EMT,L1CAM,ALCAM,DC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.2794117647058824,0.4841510848120396,0.2030311341030161,0.2422726931735288,0.1777343270588852
EMT,B2M,CD1A,DC,0.9979777553083924,1.61953883189485,0.1273465778471907,0.2450980392156863,0.4354781490747039,0.9609434328543878,0.7052737728681772,0.1223728576787379
EMT,L1CAM,CD9,DC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4558823529411765,0.8541055047323005,0.11797088883537,0.4274005519706002,0.1032722229146114
EMT,TNC,ITGB1,DC,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3098318605511982,0.07566349958165243
EMT,ANXA1,FPR1,DC,0.9342770475227502,1.4852415390448057,0.1585067208708517,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.7256836037906671,0.057549628217027915
EMT,MYL9,CD69,DC,0.5945399393326593,0.9048908801546436,0.2028576249886954,0.2990196078431372,0.5898234035816418,0.2756965995029955,0.5337258188027995,0.05592715739263721
EMT,GNAI2,FPR1,DC,0.6198179979777553,0.904692354533952,0.1312775656837062,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.4420293877467809,0.047663436962331766
EMT,ZG16B,CXCR4,DC,0.2345803842264914,0.344912465611384,0.2243527251709629,0.6715686274509803,1.255455313638425,0.2074557806326925,0.4330221876919425,0.04654326973741403
EMT,HMGB1,HAVCR2,DC,0.8887765419615774,1.387113992327541,0.1268368928879015,0.4166666666666667,0.7637846199080331,0.3579823680075803,1.059456333399005,0.0454053712667348
EMT,FN1,PLAUR,DC,0.9817997977755308,1.5816672141715198,0.23509332896093,0.6764705882352942,1.2616562707388173,0.1882961604648539,1.995520358981494,0.04426717119424398
EMT,HEBP1,FPR3,DC,0.2962588473205258,0.4130456953454484,0.16031896229422,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.1773321029677272,0.04368067187846275
EMT,CLCF1,IL6ST,DC,0.3245702730030334,0.4760971437066942,0.4813818606759973,0.2009803921568628,0.3570609647488993,0.09028819319607398,0.1699957054461076,0.04346309843780001
EMT,ANXA1,FPR3,DC,0.9342770475227502,1.4852415390448057,0.1585067208708517,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.6376558538240228,0.043186906687833385
EMT,SERPINF1,PLXDC2,DC,0.8230535894843276,1.2756570861786531,0.2408664382702295,0.2843137254901961,0.4988781323818582,0.1738821738364987,0.6363974247124896,0.04188237989068234
EMT,PTDSS1,JMJD6,DC,0.3296258847320526,0.4711835733593949,0.2234982639858049,0.3235294117647059,0.5969423460285922,0.18738608306809698,0.2812694276912924,0.04188046426081952
EMT,FN1,CD44,DC,0.9817997977755308,1.5816672141715198,0.23509332896093,0.7647058823529411,1.450323837565292,0.1778706018538992,2.2939296638084445,0.04181619191411734
EMT,TFF2,CXCR4,DC,0.5288169868554095,0.8052421210511204,0.19935153839422698,0.6715686274509803,1.255455313638425,0.2074557806326925,1.010945499639105,0.04135662901790254
EMT,LGALS1,CD69,DC,0.9959555106167848,1.615775555583801,0.1496949617050449,0.2990196078431372,0.5898234035816418,0.2756965995029955,0.9530222376184556,0.041270391904812014
EMT,CD99,PILRA,DC,0.8240647118301314,1.282435847129233,0.1512843401940821,0.2058823529411765,0.3792674903330665,0.2603497369381658,0.4863862252538642,0.03938683817239325
EMT,PLAU,PLAUR,DC,0.5136501516683518,0.7451399114006924,0.2090575042098915,0.6764705882352942,1.2616562707388173,0.1882961604648539,0.94011044179645,0.0393647253590876
EMT,LAMC2,ITGB1,DC,0.4833164812942366,0.7158609978718036,0.3655004468728007,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.6079685009337186,0.03875276909862154
EMT,LIF,IL6ST,DC,0.3549039433771486,0.5391609045277088,0.428633420416459,0.2009803921568628,0.3570609647488993,0.09028819319607398,0.1925133127255529,0.03870053707285525
EMT,VCAN,CD44,DC,0.5379170879676439,0.782298695509609,0.2157615609584972,0.7647058823529411,1.450323837565292,0.1778706018538992,1.1345864461938178,0.03837763870462466
EMT,LGALS1,PTPRC,DC,0.9959555106167848,1.615775555583801,0.1496949617050449,0.5686274509803921,1.0301235021139408,0.2545634009128851,1.6644483739480829,0.03810685855116033
EMT,GAS6,AXL,DC,0.4944388270980788,0.7248178869617591,0.1905774650124916,0.3725490196078431,0.6578609398174617,0.1861332686285452,0.4768293763131695,0.03547280648971728
EMT,COL1A1,CD44,DC,0.7846309403437816,1.221785706039951,0.197868669142445,0.7647058823529411,1.450323837565292,0.1778706018538992,1.771984933866282,0.03519501926839675
EMT,TGM2,ITGB1,DC,0.8493427704752275,1.3219419705030058,0.3290791540568265,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.122702704180575,0.034891143311712634
EMT,PROS1,AXL,DC,0.2184024266936299,0.3088228439080454,0.1841952793990549,0.3725490196078431,0.6578609398174617,0.1861332686285452,0.203162486330448,0.03428486942049421
EMT,LAMB1,ITGB1,DC,0.4843276036400405,0.6908937987346829,0.3147497430761809,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.5867642857620086,0.03337184460824084
