Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
EMT,L1CAM,EGFR,EMT,0.3609706774519717,0.500407209182616,0.8754042962135278,0.2386248736097068,0.3184169220074171,0.367846706804034,0.1593381232982503,0.3220145874842493
EMT,TNC,EGFR,EMT,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.2386248736097068,0.3184169220074171,0.367846706804034,0.1161635397555256,0.2625055369522379
EMT,L1CAM,ITGA5,EMT,0.3609706774519717,0.500407209182616,0.8754042962135278,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.4644514553285193,0.2542364179947479
EMT,SEMA4B,DCBLD2,EMT,0.3559150657229525,0.5020500016017251,0.4015311702073064,0.7077856420626896,1.0533469450726851,0.6144177827874835,0.5288328354609136,0.2467078913188368
EMT,L1CAM,ALCAM,EMT,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4125379170879677,0.5829999144546185,0.2444838760603746,0.2917373601459395,0.2140222354581875
EMT,ALCAM,L1CAM,EMT,0.4125379170879677,0.5829999144546185,0.2444838760603746,0.3609706774519717,0.500407209182616,0.8754042962135278,0.2917373601459395,0.2140222354581875
EMT,EFNA5,EPHB6,EMT,0.2800808897876643,0.3987021577722512,0.3668041690801583,0.2366026289180991,0.3116213730456632,0.4594606208386244,0.1242441138412576,0.1685320712517653
EMT,LAMC2,ITGA3,EMT,0.4833164812942366,0.7158609978718036,0.3655004468728007,0.7259858442871587,1.129576103128108,0.4163849433571546,0.8086194763574307,0.1521888828681458
EMT,EFNA5,EPHA4,EMT,0.2800808897876643,0.3987021577722512,0.3668041690801583,0.230535894843276,0.3146798536499396,0.4041332145134785,0.1254635366576871,0.1482377479473098
EMT,L1CAM,ITGAV,EMT,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.3060781479986059,0.1464253162303011
EMT,EFNB2,EPHB6,EMT,0.5176946410515673,0.7521939691713609,0.3164897568771926,0.2366026289180991,0.3116213730456632,0.4594606208386244,0.2343997174698468,0.1454145801838602
EMT,FN1,COL13A1,EMT,0.9817997977755308,1.5816672141715198,0.23509332896093,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.6931218409994742,0.14336348288161702
EMT,EREG,EGFR,EMT,0.6107178968655207,0.9253589030085376,0.3894058399180898,0.2386248736097068,0.3184169220074171,0.367846706804034,0.2946499336481386,0.1432416558241282
EMT,L1CAM,CD9,EMT,0.3609706774519717,0.500407209182616,0.8754042962135278,0.7633973710819009,1.164588788878965,0.1608555076516214,0.5827686256882856,0.1408136024678373
EMT,CD9,L1CAM,EMT,0.7633973710819009,1.164588788878965,0.1608555076516214,0.3609706774519717,0.500407209182616,0.8754042962135278,0.5827686256882856,0.1408136024678373
EMT,IGF2,IGF1R,EMT,0.3700707785642063,0.5519251121603908,0.4024036002133846,0.3083923154701719,0.4458271981031567,0.3218255951396559,0.2460632263172375,0.1295037781250127
EMT,EFNB2,EPHA4,EMT,0.5176946410515673,0.7521939691713609,0.3164897568771926,0.230535894843276,0.3146798536499396,0.4041332145134785,0.23670028813521102,0.1279040228073691
EMT,LAMC2,ITGB4,EMT,0.4833164812942366,0.7158609978718036,0.3655004468728007,0.5712841253791708,0.8383806022528318,0.346353347052375,0.6001639745250759,0.1265923031235333
EMT,FN1,NT5E,EMT,0.9817997977755308,1.5816672141715198,0.23509332896093,0.7269969666329625,1.096610908222285,0.5373652607018176,1.734473520238042,0.1263309880063483
EMT,AREG,EGFR,EMT,0.4580384226491405,0.6537726959560156,0.3258894711439938,0.2386248736097068,0.3184169220074171,0.367846706804034,0.2081722895388055,0.1198773687424264
