Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
EMT,L1CAM,ERBB3,ETC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.6392807745504839,0.9660303578166608,0.7661271457896068,0.4834085553407193,0.6706709948700296
EMT,L1CAM,ERBB2,ETC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4453665283540802,0.6595115805324596,0.5049075806222935,0.3300243494378642,0.4419982652675338
EMT,DKK1,LRP5,ETC,0.2639029322548028,0.3669319617295945,0.6119107663234514,0.3485477178423236,0.4954503072955465,0.4792546829701052,0.1817965531954853,0.2932611003203399
EMT,AREG,ERBB3,ETC,0.4580384226491405,0.6537726959560156,0.3258894711439938,0.6392807745504839,0.9660303578166608,0.7661271457896068,0.6315642714051529,0.2496727703704324
EMT,EFNB2,RHBDL2,ETC,0.5176946410515673,0.7521939691713609,0.3164897568771926,0.2210235131396957,0.3137917174910606,0.6102252833277771,0.2360322374726992,0.1931300515607242
EMT,L1CAM,ITGAV,ETC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.3512654417116348,0.1680425529222582
EMT,FN1,ITGB6,ETC,0.9817997977755308,1.5816672141715198,0.23509332896093,0.4589211618257261,0.687053190553333,0.6948221565084813,1.086689505890145,0.1633480538093912
EMT,CTHRC1,FZD5,ETC,0.7987866531850354,1.23306573664367,0.2697382821640883,0.2365145228215768,0.3314668778912314,0.5451246524080801,0.4087204499599287,0.1470409873058512
EMT,L1CAM,CD9,ETC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.7419087136929461,1.150366467118094,0.1588910899887725,0.5756516733478312,0.1390939428062218
EMT,EFNA5,EPHA2,ETC,0.2800808897876643,0.3987021577722512,0.3668041690801583,0.4771784232365145,0.6946059520426818,0.3771775610655507,0.2769408918808661,0.13835030188233
EMT,TNC,ITGAV,ETC,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.2560858397122831,0.1369878952699306
EMT,LAMC2,ITGB4,ETC,0.4833164812942366,0.7158609978718036,0.3655004468728007,0.563762102351314,0.8425706669336475,0.3480843543331575,0.6031634784086319,0.1272249870581994
EMT,L1CAM,ALCAM,ETC,0.3609706774519717,0.500407209182616,0.8754042962135278,0.2370677731673582,0.3404538887911588,0.142771009545267,0.1703655803453525,0.1249823551306693
EMT,EPHA4,EFNB1,ETC,0.230535894843276,0.3146798536499396,0.4041332145134785,0.30152143845089896,0.4269706852735047,0.2965959495532408,0.1343590727546809,0.1198642745046287
