Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
EMT,TNC,PTPRB,Endo,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.5942028985507246,0.9310110159849196,0.8627985135556234,0.3396475742758334,0.6157167724847165
EMT,L1CAM,ITGA5,Endo,0.3609706774519717,0.500407209182616,0.8754042962135278,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.5670909951723089,0.3104203499323855
EMT,VEGFA,KDR,Endo,0.627906976744186,0.9672405772900896,0.2449266448058071,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.7856688397211339,0.2353249275045533
EMT,DKK1,LRP6,Endo,0.2639029322548028,0.3669319617295945,0.6119107663234514,0.2101449275362319,0.2943899391439486,0.3646838471380368,0.108021077883545,0.2231539723680205
EMT,VEGFA,FLT1,Endo,0.627906976744186,0.9672405772900896,0.2449266448058071,0.5869565217391305,0.8882742480749662,0.7561345457284385,0.8591748964999505,0.1851974973070296
EMT,IGF2,INSR,Endo,0.3700707785642063,0.5519251121603908,0.4024036002133846,0.7463768115942029,1.1955314344237,0.4543159656297879,0.6598438210355733,0.1828183802038469
EMT,LAMA5,BCAM,Endo,0.4691607684529828,0.6797377323415523,0.3375387185347168,0.7971014492753623,1.299469749363992,0.5246335610254623,0.8832986206791249,0.1770841398888397
EMT,JAG1,NOTCH4,Endo,0.3164812942366027,0.4380447023830957,0.2055325515106561,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.4530946107662582,0.1694532043555475
EMT,L1CAM,CD9,Endo,0.3609706774519717,0.500407209182616,0.8754042962135278,0.8478260869565217,1.3862169418288113,0.1914672646881592,0.6936729511822164,0.1676112660922673
EMT,PSEN1,NOTCH4,Endo,0.3144590495449949,0.4347297123763161,0.1920097840656221,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.4496657275982974,0.1583042342363443
EMT,L1CAM,ITGAV,Endo,0.3609706774519717,0.500407209182616,0.8754042962135278,0.4202898550724637,0.643227026443107,0.1758988555131502,0.321875441173228,0.1539826138152543
EMT,ADM,RAMP3,Endo,0.2194135490394338,0.3331909752216636,0.1570891128544031,0.6739130434782609,1.1105443147965082,0.9345384228280708,0.3700233432739228,0.1468058117704147
EMT,ADM,CALCRL,Endo,0.2194135490394338,0.3331909752216636,0.1570891128544031,0.7753623188405797,1.276596129927125,0.9081944004683064,0.4253503094946203,0.1426674526689028
EMT,ADM,RAMP2,Endo,0.2194135490394338,0.3331909752216636,0.1570891128544031,0.9202898550724636,1.5173145708306102,0.8687724215753141,0.5055555215730909,0.1364746889776376
EMT,SEMA3C,PLXND1,Endo,0.3447927199191102,0.4934735018651668,0.2959993905790257,0.6086956521739131,0.9695676098615016,0.4502755927099927,0.478455923733395,0.1332813010347674
EMT,ANXA2,ROBO4,Endo,0.9716885743174924,1.564198585215366,0.1510721525864881,0.5,0.7887288345540476,0.8736328374758456,1.2337285271280058,0.1319815933277175
EMT,TNC,ITGAV,Endo,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.4202898550724637,0.643227026443107,0.1758988555131502,0.2346594137867831,0.1255262658647709
EMT,COL1A1,CD93,Endo,0.7846309403437816,1.221785706039951,0.197868669142445,0.7681159420289855,1.2284066604606392,0.6284213594627889,1.500849698955081,0.1243448980575881
EMT,CLCF1,IL6ST,Endo,0.3245702730030334,0.4760971437066942,0.4813818606759973,0.644927536231884,1.0108539964556091,0.2556095175208839,0.4812647004170121,0.12304578515069699
EMT,EFNB2,EPHB4,Endo,0.5176946410515673,0.7521939691713609,0.3164897568771926,0.2608695652173913,0.4071196811162327,0.3739940641021628,0.3062329688665978,0.1183652904212067
