Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
EMT,CD58,CD2,TIL,0.6188068756319515,0.9241628597133138,0.3039783180249357,0.7745664739884393,1.6569104378190609,0.8352200250531019,1.531255088503702,0.2538887783963866
EMT,ALCAM,CD6,TIL,0.4125379170879677,0.5829999144546185,0.2444838760603746,0.3063583815028902,0.6550727193830629,0.7850719322709521,0.38190733936188,0.1919374289878102
EMT,CD47,SIRPG,TIL,0.6370070778564206,0.9485147611607638,0.1554095393509686,0.208092485549133,0.4138417350188916,0.9742443663694396,0.3925349944498001,0.1514068681927509
EMT,CD59,CD2,TIL,0.9494438827098078,1.5211148673207542,0.1782818118854531,0.7745664739884393,1.6569104378190609,0.8352200250531019,2.520351100785513,0.1489045393894805
EMT,PODXL,SELL,TIL,0.4307381193124368,0.6146333136115093,0.2725210370882624,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.3467457555383205,0.1162657290815702
EMT,FN1,ITGA4,TIL,0.9817997977755308,1.5816672141715198,0.23509332896093,0.208092485549133,0.4231925829755057,0.4819421944957553,0.6693498337729179,0.1133013948707431
EMT,THBS2,ITGA4,TIL,0.4014155712841254,0.5982853089764484,0.2215753904309871,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2531899052620417,0.1067865299105637
EMT,THBS1,ITGA4,TIL,0.4418604651162791,0.6558855744859692,0.1991939183600948,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2775659104030907,0.09599995414467244
EMT,CCL20,CXCR3,TIL,0.2366026289180991,0.3386838764623384,0.1191700060296367,0.2196531791907514,0.4335142236826833,0.7591578428326133,0.1468242777784124,0.0904688447078085
EMT,MYL9,CD69,TIL,0.5945399393326593,0.9048908801546436,0.2028576249886954,0.4046242774566474,0.8702548954873475,0.4067765265497582,0.7874857183364333,0.08251772007703495
EMT,LGALS3,LAG3,TIL,0.9059656218402428,1.428665110143421,0.1836769989222242,0.2254335260115607,0.4348850816096209,0.4376656119284795,0.6213051430175398,0.08038910613048195
EMT,TNC,ITGB1,TIL,0.26895854398382196,0.3648158490547173,0.7136275304269194,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.324279087623015,0.07919163176779928
EMT,ZG16B,CXCR4,TIL,0.2345803842264914,0.344912465611384,0.2243527251709629,0.9132947976878611,1.969168362387087,0.3253921946710304,0.6791907150748614,0.07300262562380615
EMT,TFF2,CXCR4,TIL,0.5288169868554095,0.8052421210511204,0.19935153839422698,0.9132947976878611,1.969168362387087,0.3253921946710304,1.5856573088353392,0.06486743458914371
EMT,LGALS1,PTPRC,TIL,0.9959555106167848,1.615775555583801,0.1496949617050449,0.7861271676300579,1.689879911028974,0.4176019442359228,2.730466652112745,0.06251290705034877
EMT,LGALS1,CD69,TIL,0.9959555106167848,1.615775555583801,0.1496949617050449,0.4046242774566474,0.8702548954873475,0.4067765265497582,1.406136587255592,0.06089239656437724
EMT,CD14,ITGA4,TIL,0.2234580384226491,0.3110446672432925,0.1231497024351374,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1316317961514456,0.059351037843089385
EMT,CFH,SELL,TIL,0.2254802831142568,0.3214083463435571,0.1193796897926402,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.1813227129430559,0.05093099167525075
EMT,MDK,ITGA4,TIL,0.3538928210313448,0.514318007928494,0.10205696725775301,0.208092485549133,0.4231925829755057,0.4819421944957553,0.21765556624607602,0.049185558763782916
EMT,GRN,TNFRSF1B,TIL,0.7896865520728008,1.214188878450043,0.1465886405753226,0.5375722543352601,1.074358074599465,0.3319649356624952,1.3044736256516722,0.0486622886374396
EMT,MIF,CXCR4,TIL,0.8351870576339737,1.305693103272253,0.1439572825398945,0.9132947976878611,1.969168362387087,0.3253921946710304,2.571129549950736,0.04684257610453387
EMT,SPP1,ITGA4,TIL,0.2800808897876643,0.4228806222422227,0.09704927168500437,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1789599428169753,0.046772138970085766
EMT,FN1,CD44,TIL,0.9817997977755308,1.5816672141715198,0.23509332896093,0.6936416184971098,1.474409052655517,0.1808244605666337,2.332024458862922,0.04251062439217435
