Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ETC,EDN1,EDNRA,CAF,0.5280774550484094,0.7858563177205211,0.6663352850278214,0.3998859098687964,0.6679683021586668,0.695721042023305,0.5249271102884383,0.4635834788364518
ETC,EFNA5,EPHA3,CAF,0.3103734439834025,0.4466272863078827,0.4108950690361443,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.1696225271267656,0.2711257161689918
ETC,LAMA3,SDC2,CAF,0.3673582295988935,0.534384169741966,0.604979647359995,0.6252139189960069,1.057524624607136,0.3971301918094151,0.5651244185023685,0.2402556833968671
ETC,EFNA1,EPHA3,CAF,0.462240663900415,0.6819816376151164,0.3471088063527669,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2590066759749704,0.2290368777890577
ETC,SLPI,PLSCR4,CAF,0.8744121715076072,1.3986019482285041,0.3419330343631378,0.3422703936109526,0.5705355976767148,0.5188398622981778,0.797952198444367,0.1774084884641685
ETC,AZGP1,ITGAV,CAF,0.30982019363762103,0.4550179979403627,0.7304781285476478,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.3564997710642028,0.1565080307728371
ETC,ADAM10,EPHA3,CAF,0.4517289073305671,0.6519870305879621,0.2031893789559042,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2476151618420589,0.1340728327954362
ETC,EFNB2,EPHA3,CAF,0.32337482710926696,0.4667158874021824,0.19637328107982896,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.1772518847332502,0.1295752869318078
ETC,PDGFA,PDGFRA,CAF,0.2417704011065007,0.3488800121137824,0.2608646497443976,0.42156303479749,0.7101141498101483,0.4748562116275727,0.2477446331879328,0.1238731993251783
ETC,CDH1,ITGAE,CAF,0.6448132780082988,0.9733610126738904,0.7351792285413686,0.2384483742156303,0.3807308762341617,0.1644311752770433,0.3705885912475012,0.1208863845883272
ETC,DAG1,LAMA4,CAF,0.4047026279391425,0.5754680120133565,0.3137135681608213,0.4204221334854535,0.7082257045333058,0.3575993948311592,0.4075612382445403,0.1121837821246333
ETC,BMP2,ENG,CAF,0.3452282157676348,0.5028933196641889,0.4969700160973358,0.488876212207644,0.8206079395579124,0.2222823656466161,0.4126782508670687,0.1104676708335527
ETC,ITGAV,THY1,CAF,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.8043354249857387,1.410227352802349,0.5736486167990407,0.9899220572882894,0.1101175519290802
