Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ETC,CDH1,PTPRM,Endo,0.6448132780082988,0.9733610126738904,0.7351792285413686,0.4420289855072464,0.672173190430552,0.6089952485342262,0.6542671773297218,0.4477206570027514
ETC,EDN1,EDNRB,Endo,0.5280774550484094,0.7858563177205211,0.6663352850278214,0.3043478260869565,0.4585896871582191,0.5909548422466474,0.3603856028947638,0.39377406324699105
ETC,F11R,JAM2,Endo,0.4932226832641771,0.728052378048004,0.3854623879947407,0.4347826086956522,0.6960650257778693,0.7580402645274391,0.506771797293623,0.2921960105609116
ETC,VEGFA,KDR,Endo,0.5065006915629322,0.7642746468654689,0.1935311951979461,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.6208039541862433,0.1859443039197931
ETC,BMP2,ENG,Endo,0.3452282157676348,0.5028933196641889,0.4969700160973358,0.8478260869565217,1.37247601108448,0.3717697573112006,0.6902090173737382,0.18475842227545
ETC,TCN1,CD320,Endo,0.2686030428769018,0.3903049777148418,0.5474333226649755,0.5362318840579711,0.8572025979149591,0.3243979208415054,0.3345704408763026,0.177586231671875
ETC,JAG1,NOTCH4,Endo,0.2852005532503458,0.4093965870386747,0.1920907264853167,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.4234622316950116,0.1583709679594686
ETC,TFF3,ACKR3,Endo,0.7308437067773167,1.1629306642906208,0.3075699541077273,0.3333333333333333,0.5044354832886748,0.5123309691742103,0.5866234916726591,0.1575776126768793
ETC,BMP2,BMPR2,Endo,0.3452282157676348,0.5028933196641889,0.4969700160973358,0.6086956521739131,0.9379154331455944,0.31531427902479997,0.4716714057388636,0.1567017423226747
ETC,ADM,RAMP3,Endo,0.2437067773167358,0.3517527358583928,0.1658404018396457,0.6739130434782609,1.1105443147965082,0.9345384228280708,0.390637001021656,0.154984227576396
ETC,DAG1,LAMA4,Endo,0.4047026279391425,0.5754680120133565,0.3137135681608213,0.6231884057971014,0.9729223757999076,0.4912508125259369,0.5598857054448847,0.1541120452594144
ETC,ADM,CALCRL,Endo,0.2437067773167358,0.3517527358583928,0.1658404018396457,0.7753623188405797,1.276596129927125,0.9081944004683064,0.4490461812881024,0.15061532432217997
ETC,VEGFA,FLT1,Endo,0.5065006915629322,0.7642746468654689,0.1935311951979461,0.5869565217391305,0.8882742480749662,0.7561345457284385,0.6788854872671847,0.1463356223652807
ETC,CGN,F11R,Endo,0.37510373443983397,0.5537387917666668,0.8251503752207026,0.2101449275362319,0.3311058094244518,0.1753017225517056,0.1833461308576202,0.1446502821403754
ETC,ADM,RAMP2,Endo,0.2437067773167358,0.3517527358583928,0.1658404018396457,0.9202898550724636,1.5173145708306102,0.8687724215753141,0.5337195514474702,0.1440775675012522
ETC,PSEN1,NOTCH4,Endo,0.27773167358229606,0.3886426627716971,0.1716542293591511,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.4019952645419773,0.1415219097524909
ETC,ANXA2,ROBO4,Endo,0.9656984785615492,1.6005052433904141,0.1545786926483251,0.5,0.7887288345540476,0.8736328374758456,1.2623646353169629,0.1350450218716628
ETC,AZGP1,ITGAV,Endo,0.30982019363762103,0.4550179979403627,0.7304781285476478,0.4202898550724637,0.643227026443107,0.1758988555131502,0.2926798737932753,0.1284902667889191
ETC,LAMC2,ITGA6,Endo,0.5347164591977871,0.8126599222995785,0.4149235195647621,0.6159420289855072,0.9449641369956217,0.286406713639252,0.7679344821467501,0.1188368816501754
ETC,LAMA5,BCAM,Endo,0.2968188105117566,0.4324569667766578,0.2147460166502228,0.7971014492753623,1.299469749363992,0.5246335610254623,0.5619647462279755,0.1126629674312396
ETC,CDH1,ITGAE,Endo,0.6448132780082988,0.9733610126738904,0.7351792285413686,0.2463768115942029,0.3527703295309985,0.1523554917883153,0.3433728851935947,0.1120085929169745
ETC,EFNB1,EPHB4,Endo,0.30152143845089896,0.4269706852735047,0.2965959495532408,0.2608695652173913,0.4071196811162327,0.3739940641021628,0.1738281692345286,0.1109251245696566
