Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ETC,FAM3D,FPR1,TAM,0.3070539419087137,0.4513409101337445,0.5675859723305052,0.3980496453900709,0.6983244091770469,0.5189217090401187,0.3151823744065777,0.2945326827889433
ETC,CEACAM1,HAVCR2,TAM,0.30982019363762103,0.4469920968106043,0.5903144591376054,0.5673758865248227,0.9849730467296051,0.4616523748990412,0.4402751674595954,0.2725200719981185
ETC,ZG16B,TLR2,TAM,0.5211618257261411,0.7711542962665194,0.5016071761512451,0.2473404255319149,0.435436825422358,0.5015092529612579,0.3357889786771057,0.2515606401916169
ETC,AZGP1,ITGAV,TAM,0.30982019363762103,0.4550179979403627,0.7304781285476478,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.2923109133460156,0.1283282883594202
ETC,ZG16B,CXCR4,TAM,0.5211618257261411,0.7711542962665194,0.5016071761512451,0.7828014184397163,1.4087647659299158,0.232789165069394,1.086375001675752,0.1167687157290648
ETC,LAMA3,SDC2,TAM,0.3673582295988935,0.534384169741966,0.604979647359995,0.2783687943262411,0.5038359067904012,0.1892045307015658,0.2692419327363791,0.1144648902627466
ETC,RPS19,C5AR1,TAM,0.9914246196403872,1.6724667194445593,0.1320673338847553,0.6790780141843972,1.2180433538447841,0.7458677335571943,2.0371369721460333,0.09850476300156363
ETC,HEBP1,FPR3,TAM,0.2553250345781466,0.3629786582810859,0.14088601451687602,0.625,1.0996822723970372,0.6978826103506952,0.3991611957701721,0.09832189957294334
ETC,ANXA1,FPR3,TAM,0.8085753803596127,1.285308736598545,0.1371696574524277,0.625,1.0996822723970372,0.6978826103506952,1.413431232194452,0.09572831860381097
ETC,CD47,SIRPA,TAM,0.6757952973720609,1.023205037623627,0.1676471785890602,0.5106382978723404,0.8854508525181819,0.5525344242103986,0.9059977728647388,0.09263083729220424
ETC,BMP2,ENG,TAM,0.3452282157676348,0.5028933196641889,0.4969700160973358,0.3945035460992908,0.6825286252805757,0.1848800994182829,0.343239086133184,0.09187986598398112
ETC,B2M,LILRB1,TAM,0.9964038727524204,1.6850210479921668,0.1324955350476099,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.6071017753977478,0.08774993985152507
ETC,HLA-A,LILRB1,TAM,0.9609958506224068,1.5871939886043998,0.1294500734031759,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.5718553424187516,0.08573297319658695
ETC,HLA-B,LILRB1,TAM,0.9560165975103736,1.5793618662806193,0.1291901346973214,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.569033481306948,0.08556081942706092
ETC,C3,C3AR1,TAM,0.2450899031811895,0.3734217960148195,0.1180062298844607,0.4290780141843972,0.7383494448907533,0.70196914869801,0.2757157757976501,0.08283673273305651
ETC,HLA-F,LILRB1,TAM,0.4008298755186722,0.5941760405231195,0.1243199963698036,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.21407763987887402,0.08233539492385235
ETC,HLA-C,LILRB1,TAM,0.9150760719225448,1.485438741676349,0.1232394329613253,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.5351936098310983,0.08161975289058941
ETC,HLA-A,LILRB2,TAM,0.9609958506224068,1.5871939886043998,0.1294500734031759,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.6431739925487885,0.08114535783523072
ETC,SLPI,PLSCR1,TAM,0.8744121715076072,1.3986019482285041,0.3419330343631378,0.7420212765957447,1.3200671725722342,0.2368400561790522,1.846248519352019,0.08098343906803933
ETC,HLA-B,LILRB2,TAM,0.9560165975103736,1.5793618662806193,0.1291901346973214,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.6400002044540226,0.080982416102196
ETC,MMP7,CD44,TAM,0.6381742738589211,1.013952351632285,0.4086992705806102,0.8847517730496454,1.6080286315584633,0.1972118316511704,1.630464412460748,0.08060033174569944
ETC,HLA-F,LILRB2,TAM,0.4008298755186722,0.5941760405231195,0.1243199963698036,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.2407762245849436,0.07792958571821719
ETC,ANXA2,TLR2,TAM,0.9656984785615492,1.6005052433904141,0.1545786926483251,0.2473404255319149,0.435436825422358,0.5015092529612579,0.6969189222537601,0.07752264467378939
ETC,HLA-C,LILRB2,TAM,0.9150760719225448,1.485438741676349,0.1232394329613253,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.6019400105028706,0.07725223805714991
ETC,RARRES2,CCRL2,TAM,0.3363762102351314,0.5047564439843335,0.1442686397527373,0.3421985815602837,0.6111949604466281,0.5317999878681849,0.3085045948161854,0.07672206087026527
ETC,LGALS9,HAVCR2,TAM,0.41134163208852,0.594554706529131,0.1655555689305321,0.5673758865248227,0.9849730467296051,0.4616523748990412,0.5856203607374243,0.07642912157454207
ETC,C3,ITGAX,TAM,0.2450899031811895,0.3734217960148195,0.1180062298844607,0.3953900709219858,0.7007695469450071,0.6151951028761605,0.2616826228126959,0.07259685473379862
ETC,TFF3,CXCR4,TAM,0.7308437067773167,1.1629306642906208,0.3075699541077273,0.7828014184397163,1.4087647659299158,0.232789165069394,1.6382957450720992,0.07159895281716969
ETC,ANXA1,FPR1,TAM,0.8085753803596127,1.285308736598545,0.1371696574524277,0.3980496453900709,0.6983244091770469,0.5189217090401187,0.8975624640952754,0.07118031307366145
ETC,TFF2,CXCR4,TAM,0.7695712309820194,1.2303908119591929,0.3046044100003256,0.7828014184397163,1.4087647659299158,0.232789165069394,1.733331224212012,0.07090860628043118
ETC,CIRBP,TREM1,TAM,0.7264177040110649,1.12123558564844,0.1199303209083439,0.4609929078014184,0.8365768594189221,0.5723007475266731,0.9379997449105076,0.06863621230695899
ETC,GNAI2,C5AR1,TAM,0.4395573997233748,0.6270915439592174,0.09099563065746394,0.6790780141843972,1.2180433538447841,0.7458677335571943,0.7638246873717888,0.06787070480209018
ETC,C3,ITGAM,TAM,0.2450899031811895,0.3734217960148195,0.1180062298844607,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.2689718744918618,0.06684788593884229
ETC,CFH,ITGAM,TAM,0.2063623789764868,0.3012717479153088,0.1119004164595398,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.2170029377851431,0.06338907940131804
ETC,HMGB1,HAVCR2,TAM,0.8910096818810512,1.438053879957529,0.1314948064456799,0.5673758865248227,0.9849730467296051,0.4616523748990412,1.416444311503097,0.060704889682537885
ETC,LAMC2,ITGB1,TAM,0.5347164591977871,0.8126599222995785,0.4149235195647621,0.6347517730496454,1.122036816485873,0.14007787934215804,0.9118343521026756,0.058121606709816274
ETC,MDK,LRP1,TAM,0.7969571230982021,1.271779144321179,0.2523612249430025,0.4237588652482269,0.7487358982195328,0.2273706055247526,0.9522266999601864,0.057379524526258774
ETC,CD99,PILRA,TAM,0.4899031811894882,0.7163599098389952,0.08450639971120795,0.5496453900709221,0.9574749704588528,0.657262652448614,0.6858966835109984,0.055542900423071334
ETC,HMGB1,THBD,TAM,0.8910096818810512,1.438053879957529,0.1314948064456799,0.4937943262411347,0.900887651782394,0.3874591420389834,1.295524983051499,0.05094886488802533
ETC,TFPI,LRP1,TAM,0.4262793914246196,0.6328100307192767,0.2220823035223509,0.4237588652482269,0.7487358982195328,0.2273706055247526,0.4738075867529277,0.05049498782820881
ETC,MMP7,CD151,TAM,0.6381742738589211,1.013952351632285,0.4086992705806102,0.476063829787234,0.8280610061863845,0.1221519239009207,0.8396144045176803,0.04992340219832449
ETC,MDK,NOTCH2,TAM,0.7969571230982021,1.271779144321179,0.2523612249430025,0.2030141843971631,0.3517499858410577,0.1909689291548861,0.44734829600792697,0.04819315288758053
ETC,GNAI2,FPR1,TAM,0.4395573997233748,0.6270915439592174,0.09099563065746394,0.3980496453900709,0.6983244091770469,0.5189217090401187,0.4379133319352426,0.047219608175954615
ETC,LRPAP1,SORL1,TAM,0.570954356846473,0.8455503429693355,0.1526474505584472,0.4778368794326241,0.8479488237629129,0.3069762757568512,0.7169834187531757,0.046859145876210186
ETC,ADAM9,ITGAV,TAM,0.5435684647302904,0.8062099407171783,0.2595133666786952,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.5179222913959614,0.0455905589103415
ETC,C3,ITGB2,TAM,0.2450899031811895,0.3734217960148195,0.1180062298844607,0.8297872340425532,1.4882818191181961,0.3779413373956201,0.5557568698713196,0.04459943234354806
ETC,APP,LRP1,TAM,0.7634854771784232,1.1815679648182529,0.1879588803543947,0.4237588652482269,0.7487358982195328,0.2273706055247526,0.8846823514456197,0.042736324439933235
ETC,VEGFA,NRP2,TAM,0.5065006915629322,0.7642746468654689,0.1935311951979461,0.3315602836879433,0.5731013341216007,0.2170573490652052,0.4380068197539155,0.04200736819108696
ETC,ANG,PLXNB2,TAM,0.3845089903181189,0.5680954031237944,0.3454392859354773,0.2030141843971631,0.34745672233043295,0.1213665941038419,0.1973885667403796,0.04192478960365207
ETC,CXCL14,CXCR4,TAM,0.2113416320885201,0.3255908408553837,0.1771029570200454,0.7828014184397163,1.4087647659299158,0.232789165069394,0.4586809047065591,0.041227649496017135
ETC,LRPAP1,SORT1,TAM,0.570954356846473,0.8455503429693355,0.1526474505584472,0.2304964539007092,0.3888880574998517,0.2673677293355107,0.3288244303956783,0.04081300224466666
ETC,DCN,TLR2,TAM,0.2210235131396957,0.3416661215681552,0.07793933217329786,0.2473404255319149,0.435436825422358,0.5015092529612579,0.1487740113300069,0.03908729625452995
ETC,SERPINA1,LRP1,TAM,0.632088520055325,0.9837929527487421,0.171789754602388,0.4237588652482269,0.7487358982195328,0.2273706055247526,0.7366011001383758,0.03905994052689361
ETC,JAG1,NOTCH2,TAM,0.2852005532503458,0.4093965870386747,0.1920907264853167,0.2030141843971631,0.3517499858410577,0.1909689291548861,0.1440052436942311,0.03668336033748505
ETC,ADAM9,ITGB1,TAM,0.5435684647302904,0.8062099407171783,0.2595133666786952,0.6347517730496454,1.122036816485873,0.14007787934215804,0.904597235301567,0.036352082065295464
ETC,MDK,SDC4,TAM,0.7969571230982021,1.271779144321179,0.2523612249430025,0.2810283687943262,0.5054014173944403,0.1429327370105176,0.6427589821526122,0.03607068059643026
ETC,ADAM15,ITGAV,TAM,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.3651173593036182,0.03602895143810871
