Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ETC,ADAM28,ITGA4,TIL,0.3684647302904565,0.5413276244726225,0.4210210334518432,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2290858356365637,0.2029078007906521
ETC,CXCL16,CXCR6,TIL,0.5084370677731673,0.7395805528639461,0.2111003657412023,0.2369942196531792,0.4536849911529805,0.9449298459468528,0.3355365965829958,0.1994750360791585
ETC,CCL20,CXCR3,TIL,0.4378976486860304,0.6591174922666113,0.2319184377718243,0.2196531791907514,0.4335142236826833,0.7591578428326133,0.285736807975637,0.1760627009319678
ETC,CD47,SIRPG,TIL,0.6757952973720609,1.023205037623627,0.1676471785890602,0.208092485549133,0.4138417350188916,0.9742443663694396,0.4234449480502321,0.1633293192781232
ETC,ZG16B,CXCR4,TIL,0.5211618257261411,0.7711542962665194,0.5016071761512451,0.9132947976878611,1.969168362387087,0.3253921946710304,1.5185326427269084,0.1632190599105917
ETC,CD59,CD2,TIL,0.8769017980636238,1.400230575598439,0.1641136047238834,0.7745664739884393,1.6569104378190609,0.8352200250531019,2.320056656062445,0.1370709690490368
ETC,CDH1,ITGAE,TIL,0.6448132780082988,0.9733610126738904,0.7351792285413686,0.2138728323699422,0.417515021496724,0.1803176205711849,0.4063928441306124,0.1325657691839389
ETC,MDK,ITGA4,TIL,0.7969571230982021,1.271779144321179,0.2523612249430025,0.208092485549133,0.4231925829755057,0.4819421944957553,0.538207501059658,0.1216235225546676
ETC,ALCAM,CD6,TIL,0.2370677731673582,0.3404538887911588,0.142771009545267,0.3063583815028902,0.6550727193830629,0.7850719322709521,0.2230220547549633,0.1120855123359773
ETC,TFF3,CXCR4,TIL,0.7308437067773167,1.1629306642906208,0.3075699541077273,0.9132947976878611,1.969168362387087,0.3253921946710304,2.2900062717708902,0.1000808623819815
ETC,TFF2,CXCR4,TIL,0.7695712309820194,1.2303908119591929,0.3046044100003256,0.9132947976878611,1.969168362387087,0.3253921946710304,2.4228466602818033,0.09911589747648032
ETC,TCN1,CD320,TIL,0.2686030428769018,0.3903049777148418,0.5474333226649755,0.2138728323699422,0.4096235906107725,0.1550170769955475,0.15987812640481103,0.08486151352948491
ETC,CD58,CD2,TIL,0.2179806362378977,0.3063374664173468,0.1007614045628843,0.7745664739884393,1.6569104378190609,0.8352200250531019,0.5075737456019479,0.08415794284339796
ETC,LGALS3,LAG3,TIL,0.8439834024896266,1.3439956317321609,0.1727914277799927,0.2254335260115607,0.4348850816096209,0.4376656119284795,0.5844836499888149,0.07562486597532615
ETC,MMP7,CD44,TIL,0.6381742738589211,1.013952351632285,0.4086992705806102,0.6936416184971098,1.474409052655517,0.1808244605666337,1.49498052620799,0.07390282513671552
ETC,CXCL14,CXCR4,TIL,0.2113416320885201,0.3255908408553837,0.1771029570200454,0.9132947976878611,1.969168362387087,0.3253921946710304,0.6411431828954305,0.05762791986748175
ETC,PODXL,SELL,TIL,0.2074688796680498,0.2937554310859136,0.1302476337630517,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.1657223040789353,0.05556758576295166
ETC,SPP1,ITGA4,TIL,0.3189488243430152,0.4898812559172958,0.1124256269933237,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2073141140429251,0.054182653390723666
ETC,CFH,SELL,TIL,0.2063623789764868,0.3012717479153088,0.1119004164595398,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.1699626387633018,0.04774010712422937
ETC,MIF,CXCR4,TIL,0.83015214384509,1.3272983132062581,0.1463393333472463,0.9132947976878611,1.969168362387087,0.3253921946710304,2.61367384581551,0.04761767684455597
ETC,LAMC2,ITGB1,TIL,0.5347164591977871,0.8126599222995785,0.4149235195647621,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.7223606617802726,0.04604428665120963
ETC,GRN,TNFRSF1B,TIL,0.6807745504840941,1.044607154700316,0.1261150925202412,0.5375722543352601,1.074358074599465,0.3319649356624952,1.122282131436658,0.04186578857455151
ETC,LGALS1,PTPRC,TIL,0.5488243430152144,0.8701610092970206,0.08061683970511396,0.7861271676300579,1.689879911028974,0.4176019442359228,1.470467608971731,0.033665748999011334
ETC,APP,CD74,TIL,0.7634854771784232,1.1815679648182529,0.1879588803543947,0.8554913294797688,1.7712712882303283,0.1766133845773924,2.0928774111753135,0.0331960540207668
ETC,LGALS1,CD69,TIL,0.5488243430152144,0.8701610092970206,0.08061683970511396,0.4046242774566474,0.8702548954873475,0.4067765265497582,0.7572618782029434,0.03279303803666489
ETC,HBEGF,CD44,TIL,0.4796680497925311,0.7012172294344791,0.1783048869731499,0.6936416184971098,1.474409052655517,0.1808244605666337,1.033881030956216,0.03224188500331443
ETC,MYL9,CD69,TIL,0.2309820193637621,0.3331784752617774,0.07469165141481852,0.4046242774566474,0.8702548954873475,0.4067765265497582,0.2899501991675719,0.03038281052478521
ETC,LGALS9,CD44,TIL,0.41134163208852,0.594554706529131,0.1655555689305321,0.6936416184971098,1.474409052655517,0.1808244605666337,0.8766168416054948,0.02993649644566562
ETC,ADAM9,ITGB1,TIL,0.5435684647302904,0.8062099407171783,0.2595133666786952,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.7166273742925015,0.028798338203889818
ETC,MDK,ITGB1,TIL,0.7969571230982021,1.271779144321179,0.2523612249430025,0.4508670520231214,0.8888843192072439,0.11097053909961099,1.1304645388819021,0.02800466117976318
ETC,B2M,HLA-F,TIL,0.9964038727524204,1.6850210479921668,0.1324955350476099,0.4739884393063584,0.9778213473882822,0.2045904547928295,1.647649551525316,0.0271073217734098
ETC,LRPAP1,SORL1,TIL,0.570954356846473,0.8455503429693355,0.1526474505584472,0.2485549132947977,0.4845694663863822,0.1754248911823094,0.4097278784954734,0.02677816240347255
ETC,SLPI,PLSCR1,TIL,0.8744121715076072,1.3986019482285041,0.3419330343631378,0.2196531791907514,0.4218945044131781,0.07569426783952751,0.5900624758191699,0.02588237068626572
ETC,MIF,CD74,TIL,0.83015214384509,1.3272983132062581,0.1463393333472463,0.8554913294797688,1.7712712882303283,0.1766133845773924,2.351005393098791,0.02584548495925643
ETC,FN1,ITGA4,TIL,0.2213001383125864,0.3480158748470027,0.05172782859502322,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1472777369929834,0.024929823229585767
ETC,HBEGF,CD82,TIL,0.4796680497925311,0.7012172294344791,0.1783048869731499,0.208092485549133,0.4057316407795239,0.1328898868892242,0.284506017041323,0.02369491626165779
ETC,C3,ITGB2,TIL,0.2450899031811895,0.3734217960148195,0.1180062298844607,0.3699421965317919,0.7628997712849283,0.1937343829336531,0.2848834027725129,0.0228618641289928
ETC,ADAM15,ITGB1,TIL,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.5051975920965429,0.022758526182727282
ETC,LAMB2,RPSA,TIL,0.2099585062240664,0.3041175972756069,0.1197912817243949,0.9942196531791908,2.133517371527769,0.1823776181908924,0.6488401767747933,0.02184724864092933
ETC,SPP1,CD44,TIL,0.3189488243430152,0.4898812559172958,0.1124256269933237,0.6936416184971098,1.474409052655517,0.1808244605666337,0.7222853584507147,0.02032930335493334
ETC,LGALS3BP,ITGB1,TIL,0.7147994467496542,1.114690292296987,0.1800895261496134,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.9908307215953314,0.01998463180301609
ETC,HSPG2,ITGB1,TIL,0.501521438450899,0.7528326909784141,0.1728668780539268,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.669181173997305,0.019183130650110958
