Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endo,ICAM2,ITGB2,DC,0.6521739130434783,1.02235818124416,0.4855644982314625,0.6372549019607843,1.1627803699882118,0.29528195700939197,1.18877802424756,0.1433784352920697
Endo,B2M,CD1A,DC,1.0,1.6760988907795749,0.1317939734884414,0.2450980392156863,0.4354781490747039,0.9609434328543878,0.7299044426228536,0.126646553313503
Endo,CXCL12,CD4,DC,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.446078431372549,0.7946358926763486,0.3081952489461864,0.2835427054771972,0.1081377324802896
Endo,ICAM1,SPN,DC,0.572463768115942,0.8842395182958601,0.2925693465195562,0.2990196078431372,0.5413477402983359,0.3365204479734946,0.4786810651119529,0.0984555675540736
Endo,ICAM1,ITGB2,DC,0.572463768115942,0.8842395182958601,0.2925693465195562,0.6372549019607843,1.1627803699882118,0.29528195700939197,1.028176354242259,0.08639044920125351
Endo,CXCL12,CXCR4,DC,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.6715686274509803,1.255455313638425,0.2074557806326925,0.4479727124278653,0.07279086158613977
Endo,GNAI2,FPR1,DC,0.8333333333333334,1.319281711053132,0.1914375540039896,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.6445962365878004,0.06950594901703494
Endo,HEBP1,FPR3,DC,0.3695652173913043,0.5470407722776752,0.2123276187900647,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.2348599480644816,0.05785100473693947
Endo,PROS1,AXL,DC,0.3623188405797101,0.5159737035044597,0.3077489970523942,0.3725490196078431,0.6578609398174617,0.1861332686285452,0.3394389455085402,0.05728232673851864
Endo,COL4A1,ITGB1,DC,0.9057971014492754,1.486891287329804,0.5280339215914572,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.2627913375596331,0.055985640550515414
Endo,MYL9,CD69,DC,0.572463768115942,0.873588673554815,0.1958403244201876,0.2990196078431372,0.5898234035816418,0.2756965995029955,0.5152630447664727,0.05399251148820916
Endo,LAMB2,RPSA,DC,0.5217391304347826,0.7982353937299455,0.31442324215796696,0.9901960784313726,1.90906828097657,0.1631912309197509,1.523885870922682,0.051311115917537536
Endo,ANGPTL2,ITGB1,DC,0.4130434782608696,0.6154671146063339,0.47270777606039704,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.5227056930795704,0.05011959753681682
Endo,HMGB1,HAVCR2,DC,0.927536231884058,1.5190172701854199,0.1388980515365502,0.4166666666666667,0.7637846199080331,0.3579823680075803,1.1602020283423091,0.04972305340069317
Endo,ANXA1,FPR1,DC,0.7318840579710145,1.1903664672958791,0.1270373070006074,0.2745098039215687,0.4885963560225843,0.3630737416107313,0.5816087182522431,0.04612391037686168
Endo,CD99,PILRA,DC,0.9130434782608696,1.4971890201566032,0.1766179989176419,0.2058823529411765,0.3792674903330665,0.2603497369381658,0.5678351222290178,0.04598244955675332
Endo,COL18A1,ITGB1,DC,0.7391304347826086,1.172607919528788,0.4110803411268169,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.9958758489963035,0.043585450242183015
Endo,APP,CD74,DC,0.9130434782608696,1.4792404268300268,0.23531136818244397,0.9411764705882352,1.8044993597897399,0.1799265541748914,2.6692884031898867,0.04233876363524633
Endo,ADAM15,ITGB1,DC,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.921257212490928,0.04150149707660216
Endo,LGALS9,HAVCR2,DC,0.2826086956521739,0.4138536948164966,0.1152388218391656,0.4166666666666667,0.7637846199080331,0.3579823680075803,0.316095086992953,0.04125346632838815
Endo,LGALS1,CD69,DC,0.9420289855072465,1.563029516536171,0.1448082580610633,0.2990196078431372,0.5898234035816418,0.2756965995029955,0.921911389341932,0.03992314432738737
Endo,CXCL12,ITGB1,DC,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3030418989120075,0.03720198794001964
Endo,LAMB1,ITGB1,DC,0.4927536231884058,0.7678145653449621,0.3497924537969144,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.6520917771405771,0.03708730402496484
Endo,HSPG2,ITGB1,DC,0.9202898550724636,1.516503482646444,0.3482224214550146,0.4705882352941176,0.8492828953402398,0.1060265984082587,1.2879404685355291,0.03692083883636225
Endo,LGALS1,PTPRC,DC,0.9420289855072465,1.563029516536171,0.1448082580610633,0.5686274509803921,1.0301235021139408,0.2545634009128851,1.610113439481699,0.03686288265229497
Endo,ANXA1,FPR3,DC,0.7318840579710145,1.1903664672958791,0.1270373070006074,0.2401960784313726,0.4293280500585207,0.2724610442419111,0.5110577142591896,0.03461271732306575
Endo,SPON2,ITGB2,DC,0.2101449275362319,0.27379045445288097,0.1150218678758084,0.6372549019607843,1.1627803699882118,0.29528195700939197,0.3183581659279617,0.033963882245244416
Endo,GRN,TNFRSF1B,DC,0.8043478260869565,1.27451454389669,0.1538717391496681,0.3970588235294117,0.7120584175299303,0.2200182903185108,0.9075288092459578,0.03385459697604585
Endo,GAS6,AXL,DC,0.4710144927536232,0.6862035990833649,0.1804245518055978,0.3725490196078431,0.6578609398174617,0.1861332686285452,0.4514265445991072,0.0335830115684162
Endo,HBEGF,CD44,DC,0.4710144927536232,0.7081877693837602,0.1800773496075903,0.7647058823529411,1.450323837565292,0.1778706018538992,1.027101603409459,0.032030466554957115
Endo,TFF3,CXCR4,DC,0.3695652173913043,0.570286627321376,0.1508284519270809,0.6715686274509803,1.255455313638425,0.2074557806326925,0.7159693765675574,0.0312902342361531
Endo,FN1,PLAUR,DC,0.6884057971014492,1.111415157475137,0.1651967537086039,0.6764705882352942,1.2616562707388173,0.1882961604648539,1.402223902822676,0.031105914444588233
Endo,JAG1,CD46,DC,0.4130434782608696,0.5910612928426108,0.27732862640782596,0.2794117647058824,0.49926712075288104,0.1075677236072623,0.2950974698660057,0.02983160903381873
Endo,PLAU,PLAUR,DC,0.3840579710144927,0.5601497158250951,0.1571563940980514,0.6764705882352942,1.2616562707388173,0.1882961604648539,0.7067164015232975,0.02959194560116452
Endo,FN1,CD44,DC,0.6884057971014492,1.111415157475137,0.1651967537086039,0.7647058823529411,1.450323837565292,0.1778706018538992,1.611911896317574,0.02938364600645973
Endo,MIF,CXCR4,DC,0.8043478260869565,1.281034679992373,0.1412386041627216,0.6715686274509803,1.255455313638425,0.2074557806326925,1.6082817959515232,0.029300764882049263
Endo,THBS1,CD47,DC,0.4130434782608696,0.6213403997347307,0.18870247139615398,0.4901960784313725,0.8997550809247707,0.1474205024327631,0.559054181645152,0.02781861314352513
Endo,COL1A2,CD44,DC,0.5434782608695652,0.8591172622317335,0.1545637630791465,0.7647058823529411,1.450323837565292,0.1778706018538992,1.245998244678515,0.02749234956369128
Endo,VIM,CD44,DC,1.0,1.6760988907795749,0.1538020393640401,0.7647058823529411,1.450323837565292,0.1778706018538992,2.430886175414363,0.02735686130803891
Endo,TGM2,ITGB1,DC,0.644927536231884,1.0312258763831779,0.256709406777182,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.8758024980444821,0.02721802517998661
Endo,SPP1,CD44,DC,0.39130434782608703,0.6442016993111198,0.1478415005277205,0.7647058823529411,1.450323837565292,0.1778706018538992,0.934301080710986,0.0262966566778492
Endo,COL1A1,CD44,DC,0.5579710144927537,0.900732918781778,0.1458740456784429,0.7647058823529411,1.450323837565292,0.1778706018538992,1.306354423388975,0.025946704299687817
Endo,MIF,CD74,DC,0.8043478260869565,1.281034679992373,0.1412386041627216,0.9411764705882352,1.8044993597897399,0.1799265541748914,2.311626259914692,0.02541257536346997
Endo,TIMP1,CD63,DC,0.9782608695652174,1.6344622827398139,0.1555206586090271,0.8627450980392157,1.632429678721487,0.1532197233833496,2.6681447390953434,0.02382883229247147
Endo,FBN1,ITGB1,DC,0.2898550724637681,0.4388231932217007,0.2239959784683288,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3726850320817755,0.02374953165412647
Endo,ADAM17,ITGB1,DC,0.4782608695652174,0.7151500340313621,0.2041078817573087,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.6073646915048263,0.021640864411042533
Endo,HBEGF,CD9,DC,0.4710144927536232,0.7081877693837602,0.1800773496075903,0.4558823529411765,0.8541055047323005,0.11797088883537,0.6048670722147585,0.02124388499232508
Endo,LGALS9,CD44,DC,0.2826086956521739,0.4138536948164966,0.1152388218391656,0.7647058823529411,1.450323837565292,0.1778706018538992,0.6002218788568368,0.02049759859746665
Endo,TFF2,CXCR4,DC,0.2536231884057971,0.3953169894811679,0.09786752076949816,0.6715686274509803,1.255455313638425,0.2074557806326925,0.4963028150156774,0.020303182919822492
Endo,MMP7,CD44,DC,0.2028985507246377,0.2826827460983669,0.1139424667738477,0.7647058823529411,1.450323837565292,0.1778706018538992,0.4099815251348786,0.02026701514178221
Endo,HLA-B,CANX,DC,0.9927536231884058,1.660665803409333,0.1358407109923013,0.5686274509803921,1.058552282256406,0.1474669100658071,1.757901576264117,0.02003200991117698
Endo,THBS1,ITGB1,DC,0.4130434782608696,0.6213403997347307,0.18870247139615398,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.5276937736785741,0.02000748115336595
Endo,SERPINF1,PLXDC2,DC,0.3985507246376812,0.5684354276471164,0.1073305814920239,0.2843137254901961,0.4988781323818582,0.1738821738364987,0.2835800045242763,0.01866287482896859
Endo,LRPAP1,SORL1,DC,0.5,0.7431654382229449,0.1341638737789476,0.2156862745098039,0.3785134236672021,0.1370302521391562,0.2812980943729035,0.0183845094518951
