Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endo,NID1,COL13A1,EMT,0.5579710144927537,0.8530924316620729,0.5486167761957121,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.3738441256658763,0.3345548431779319
Endo,NID2,COL13A1,EMT,0.2246376811594203,0.3106408347075442,0.5383214648510707,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.1361297403859301,0.3282766059423542
Endo,SEMA3F,PLXNA3,EMT,0.4130434782608696,0.6290678071256475,0.8086715624796343,0.2618806875631952,0.3883679119810289,0.3874739462758389,0.2443097507478723,0.3133391615550326
Endo,DLL4,NOTCH3,EMT,0.427536231884058,0.6465907188140408,0.9355403095688238,0.2264914054600607,0.3343996244964024,0.2391728563169609,0.2162196935742741,0.2237558480392295
Endo,HSPG2,COL13A1,EMT,0.9202898550724636,1.516503482646444,0.3482224214550146,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.6645656408352606,0.2123513218257153
Endo,DLL4,NOTCH2,EMT,0.427536231884058,0.6465907188140408,0.9355403095688238,0.3094034378159757,0.4148410774049894,0.2252217754382151,0.2682323904328833,0.2107040495151079
Endo,SEMA3F,NRP1,EMT,0.4130434782608696,0.6290678071256475,0.8086715624796343,0.5308392315470172,0.7740290481401578,0.2506036140760756,0.4869167559650813,0.2026560161579433
Endo,EFNA1,EPHA4,EMT,0.5797101449275363,0.8839462176680442,0.4499028999780168,0.230535894843276,0.3146798536499396,0.4041332145134785,0.2781600664101977,0.1818207051870519
Endo,EFNB2,EPHB6,EMT,0.6086956521739131,0.9382960495712092,0.39479323256840704,0.2366026289180991,0.3116213730456632,0.4594606208386244,0.2923931032907019,0.1813919437387677
Endo,SEMA6A,PLXNA2,EMT,0.2028985507246377,0.2803788861012175,0.5370969113944994,0.4216380182002022,0.610616963800755,0.33492632402015304,0.1712041041449631,0.1798878941759376
Endo,SEMA6B,PLXNA2,EMT,0.3115942028985507,0.4831218875079617,0.5307942415381071,0.4216380182002022,0.610616963800755,0.33492632402015304,0.2950024200958015,0.1777769641294234
Endo,COL18A1,GPC1,EMT,0.7391304347826086,1.172607919528788,0.4110803411268169,0.5672396359959555,0.8375127895971638,0.4210214328231001,0.9820741297882812,0.1730736342266212
Endo,SEMA3F,NRP2,EMT,0.4130434782608696,0.6290678071256475,0.8086715624796343,0.39130434782608703,0.5505033865876778,0.20849856496545102,0.3463039582159531,0.1686068603053728
Endo,CD9,L1CAM,EMT,0.8478260869565217,1.3862169418288113,0.1914672646881592,0.3609706774519717,0.500407209182616,0.8754042962135278,0.6936729511822164,0.1676112660922673
Endo,EFNB2,EPHA4,EMT,0.6086956521739131,0.9382960495712092,0.39479323256840704,0.230535894843276,0.3146798536499396,0.4041332145134785,0.2952628635593845,0.1595490581460376
Endo,PDGFB,PDGFRA,EMT,0.2173913043478261,0.2992809710916976,0.4534516214315292,0.3670374115267948,0.5210860246640827,0.34845233779697604,0.15595113148377898,0.1580062775656457
Endo,JAG2,NOTCH3,EMT,0.355072463768116,0.5243949291702027,0.6482606283244495,0.2264914054600607,0.3343996244964024,0.2391728563169609,0.1753574674023333,0.1550463461141864
Endo,COL4A1,ITGB8,EMT,0.9057971014492754,1.486891287329804,0.5280339215914572,0.2254802831142568,0.3247506435174008,0.2816294060426715,0.4828689024007705,0.1487098797081847
Endo,JAG2,NOTCH2,EMT,0.355072463768116,0.5243949291702027,0.6482606283244495,0.3094034378159757,0.4148410774049894,0.2252217754382151,0.21754055740268,0.1460024096579254
Endo,DLL1,NOTCH3,EMT,0.2318840579710145,0.3564401923151095,0.5949296087350074,0.2264914054600607,0.3343996244964024,0.2391728563169609,0.1191934664655981,0.1422910138286837
Endo,ANGPTL2,ITGA5,EMT,0.4130434782608696,0.6154671146063339,0.47270777606039704,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.5712439625973454,0.1372846035411102
Endo,DLL1,NOTCH2,EMT,0.2318840579710145,0.3564401923151095,0.5949296087350074,0.3094034378159757,0.4148410774049894,0.2252217754382151,0.1478660334104417,0.13399110274006099
Endo,PGF,NRP1,EMT,0.4420289855072464,0.6292837664873826,0.4854851040682454,0.5308392315470172,0.7740290481401578,0.2506036140760756,0.4870839147842821,0.1216643216596019
