Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endo,MMRN2,CLEC14A,Endo,0.6086956521739131,0.9471829702029112,0.942370908411933,0.7536231884057971,1.207594146258376,0.9542547600954896,1.143812610252657,0.8992619251275976
Endo,DLL4,NOTCH4,Endo,0.427536231884058,0.6465907188140408,0.9355403095688238,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.6688056457989222,0.7713148213994652
Endo,ANGPT2,TIE1,Endo,0.4782608695652174,0.7094133709821138,0.6455237068164976,0.6956521739130435,1.126086383145024,0.9401697627339533,0.7988607370839673,0.6069018702768085
Endo,MMRN2,CD93,Endo,0.6086956521739131,0.9471829702029112,0.942370908411933,0.7681159420289855,1.2284066604606392,0.6284213594627889,1.163525869272148,0.5922060073824104
Endo,ANGPT2,TEK,Endo,0.4782608695652174,0.7094133709821138,0.6455237068164976,0.3188405797101449,0.51278693150073,0.9073901026277328,0.3637779056715071,0.5857418225768563
Endo,JAG2,NOTCH4,Endo,0.355072463768116,0.5243949291702027,0.6482606283244495,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.5424115735849651,0.5344644433192047
Endo,VEGFC,KDR,Endo,0.2246376811594203,0.3770469005827382,0.5449397115196587,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.3062671354537733,0.5235767558461871
Endo,VEGFC,FLT4,Endo,0.2246376811594203,0.3770469005827382,0.5449397115196587,0.2971014492753623,0.4310854615148307,0.9569460310721004,0.1625394371504462,0.5214778941123127
Endo,MCAM,MCAM,Endo,0.6884057971014492,1.088347283429728,0.7059716232010571,0.6884057971014492,1.088347283429728,0.7059716232010571,1.1844998093488692,0.4983959327651353
Endo,DLL1,NOTCH4,Endo,0.2318840579710145,0.3564401923151095,0.5949296087350074,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.3686864133268814,0.4904951932196121
Endo,DLL4,NOTCH1,Endo,0.427536231884058,0.6465907188140408,0.9355403095688238,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.3654045055422094,0.4222786977499793
Endo,COL18A1,KDR,Endo,0.7391304347826086,1.172607919528788,0.4110803411268169,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.9524843407264224,0.3949649967683778
Endo,PTPRM,PTPRM,Endo,0.4420289855072464,0.672173190430552,0.6089952485342262,0.4420289855072464,0.672173190430552,0.6089952485342262,0.4518167979335871,0.3708752127372639
Endo,PGF,FLT1,Endo,0.4420289855072464,0.6292837664873826,0.4854851040682454,0.5869565217391305,0.8882742480749662,0.7561345457284385,0.5589765645023624,0.3670920586225664
Endo,JAM2,JAM3,Endo,0.4347826086956522,0.6960650257778693,0.7580402645274391,0.3333333333333333,0.4883672989732245,0.4552886910630314,0.339935396548866,0.3451271598097719
Endo,JAM3,JAM2,Endo,0.3333333333333333,0.4883672989732245,0.4552886910630314,0.4347826086956522,0.6960650257778693,0.7580402645274391,0.339935396548866,0.3451271598097719
Endo,TIMP3,KDR,Endo,0.7101449275362319,1.1170546724015449,0.3569054589283008,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.9073596259057456,0.342913901077905
Endo,COL4A1,CD93,Endo,0.9057971014492754,1.486891287329804,0.5280339215914572,0.7681159420289855,1.2284066604606392,0.6284213594627889,1.826507160736826,0.3318277948489713
Endo,ROBO1,ROBO1,Endo,0.3260869565217391,0.4785024664198241,0.5699719631400938,0.3260869565217391,0.4785024664198241,0.5699719631400938,0.2289646103698549,0.3248680387657724
Endo,MMRN2,CD248,Endo,0.6086956521739131,0.9471829702029112,0.942370908411933,0.2028985507246377,0.2707226572367998,0.3240800782558282,0.2564238905827768,0.3054036377441551
Endo,COL4A2,CD93,Endo,0.8695652173913043,1.417850497429,0.4859291117972557,0.7681159420289855,1.2284066604606392,0.6284213594627889,1.7416969945792151,0.305368233038177
Endo,DLL4,NOTCH3,Endo,0.427536231884058,0.6465907188140408,0.9355403095688238,0.3260869565217391,0.4467783940132284,0.3195495951820307,0.2888827629355961,0.2989515271991893
Endo,JAG2,NOTCH1,Endo,0.355072463768116,0.5243949291702027,0.6482606283244495,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.2963486239854126,0.2926080801987009
Endo,DLL1,NOTCH1,Endo,0.2318840579710145,0.3564401923151095,0.5949296087350074,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.2014332226530628,0.2685358373764888
Endo,SEMA3F,NRP1,Endo,0.4130434782608696,0.6290678071256475,0.8086715624796343,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.6170662887307494,0.2568245891059638
Endo,JAG1,NOTCH4,Endo,0.4130434782608696,0.5910612928426108,0.27732862640782596,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.6113683945099089,0.2286461393045673
Endo,ACE,BDKRB2,Endo,0.2391304347826087,0.334120239363677,0.4423594397705357,0.2463768115942029,0.3447590235040167,0.5101218846200508,0.1151909674559496,0.2256572310952155
Endo,ADM,RAMP3,Endo,0.3188405797101449,0.4892187229362392,0.2306513107886276,0.6739130434782609,1.1105443147965082,0.9345384228280708,0.5432990714488486,0.2155525122076312
Endo,ADM,CALCRL,Endo,0.3188405797101449,0.4892187229362392,0.2306513107886276,0.7753623188405797,1.276596129927125,0.9081944004683064,0.6245347283882933,0.2094762289189067
Endo,JAG2,NOTCH3,Endo,0.355072463768116,0.5243949291702027,0.6482606283244495,0.3260869565217391,0.4467783940132284,0.3195495951820307,0.2342883242833438,0.2071514213535267
Endo,ADM,RAMP2,Endo,0.3188405797101449,0.4892187229362392,0.2306513107886276,0.9202898550724636,1.5173145708306102,0.8687724215753141,0.7422986966342988,0.2003834978133564
Endo,DLL1,NOTCH3,Endo,0.2318840579710145,0.3564401923151095,0.5949296087350074,0.3260869565217391,0.4467783940132284,0.3195495951820307,0.1592497766843109,0.1901095156330755
Endo,COL4A1,ITGA1,Endo,0.9057971014492754,1.486891287329804,0.5280339215914572,0.572463768115942,0.8327370981363525,0.3586904282619577,1.238189535855247,0.1894007134724808
