Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endo,ANGPTL2,LILRB2,TAM,0.4130434782608696,0.6154671146063339,0.47270777606039704,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.2494039444617016,0.2963153332516842
Endo,ICAM2,ITGAM,TAM,0.6521739130434783,1.02235818124416,0.4855644982314625,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.7363940705818341,0.2750614118043463
Endo,MMRN2,CD93,TAM,0.6086956521739131,0.9471829702029112,0.942370908411933,0.2446808510638298,0.4403497322312312,0.2252716354241,0.4170917673028342,0.212289435714051
Endo,ICAM2,ITGB2,TAM,0.6521739130434783,1.02235818124416,0.4855644982314625,0.8297872340425532,1.4882818191181961,0.3779413373956201,1.521557093772429,0.1835148958534322
Endo,ICAM1,ITGAX,TAM,0.572463768115942,0.8842395182958601,0.2925693465195562,0.3953900709219858,0.7007695469450071,0.6151951028761605,0.6196481266270613,0.1799872292305094
Endo,DLL4,NOTCH2,TAM,0.427536231884058,0.6465907188140408,0.9355403095688238,0.2030141843971631,0.3517499858410577,0.1909689291548861,0.2274382761877982,0.1786591310995889
Endo,CFH,ITGAM,TAM,0.5289855072463768,0.8394619353142152,0.3117987027114091,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.6046557879472837,0.1766269809241312
Endo,SEMA3F,NRP2,TAM,0.4130434782608696,0.6290678071256475,0.8086715624796343,0.3315602836879433,0.5731013341216007,0.2170573490652052,0.3605195995166584,0.1755281056162469
Endo,ICAM1,ITGAM,TAM,0.572463768115942,0.8842395182958601,0.2925693465195562,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.6369086198877898,0.1657339813710658
Endo,HEBP1,FPR3,TAM,0.3695652173913043,0.5470407722776752,0.2123276187900647,0.625,1.0996822723970372,0.6978826103506952,0.6015710395521437,0.1481797528507577
Endo,GNAI2,C5AR1,TAM,0.8333333333333334,1.319281711053132,0.1914375540039896,0.6790780141843972,1.2180433538447841,0.7458677335571943,1.6069423199972417,0.1427870945226887
Endo,TNFSF12,CD163,TAM,0.2463768115942029,0.3370756927037613,0.1624038272954526,0.5390070921985816,0.9565239659815762,0.8652821073124836,0.3224209784209888,0.1405251259178219
Endo,SEMA3F,NRP1,TAM,0.4130434782608696,0.6290678071256475,0.8086715624796343,0.3031914893617021,0.5290710094942707,0.171294743266707,0.3328215397563135,0.1385211876820358
Endo,CCL2,CCR1,TAM,0.3043478260869565,0.4672148390314201,0.1938021068851879,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.2548206126644204,0.1382988408790158
Endo,CXCL12,CD4,TAM,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.5390070921985816,0.9406313083824424,0.3648187842070935,0.3356369231410276,0.128005464799555
Endo,JAG2,NOTCH2,TAM,0.355072463768116,0.5243949291702027,0.6482606283244495,0.2030141843971631,0.3517499858410577,0.1909689291548861,0.1844559089107413,0.1237976380043938
Endo,BGN,TLR2,TAM,0.5434782608695652,0.846354478606289,0.2436276161514935,0.2473404255319149,0.435436825422358,0.5015092529612579,0.3685339073463175,0.1221815037768676
Endo,COL4A1,CD93,TAM,0.9057971014492754,1.486891287329804,0.5280339215914572,0.2446808510638298,0.4403497322312312,0.2252716354241,0.65475218023263,0.1189510650763086
