Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Endo,CD34,SELL,TIL,0.6811594202898551,1.08537226094913,0.9123384735267313,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.6123134173313282,0.3892312275305108
Endo,CXCL12,CXCR3,TIL,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.2196531791907514,0.4335142236826833,0.7591578428326133,0.1546869415020238,0.2663688294976965
Endo,PODXL,SELL,TIL,0.7608695652173914,1.240311421238085,0.5499392033310219,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.6997224382989488,0.2346207217944461
Endo,ICAM1,IL2RA,TIL,0.572463768115942,0.8842395182958601,0.2925693465195562,0.2254335260115607,0.4423733929571371,0.6700453333474106,0.3911640358953242,0.1960347253159301
Endo,CXCL12,ITGA4,TIL,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1510039642314908,0.1691010366887441
Endo,CD59,CD2,TIL,0.9202898550724636,1.5052298022919017,0.1764200076022235,0.7745664739884393,1.6569104378190609,0.8352200250531019,2.494030970733774,0.1473495231693976
Endo,CFH,SELL,TIL,0.5289855072463768,0.8394619353142152,0.3117987027114091,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.4735829584241685,0.1330227709565366
Endo,CXCL12,CXCR4,TIL,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.9132947976878611,1.969168362387087,0.3253921946710304,0.7026404547758667,0.1141716954392577
Endo,ICAM2,ITGB2,TIL,0.6521739130434783,1.02235818124416,0.4855644982314625,0.3699421965317919,0.7628997712849283,0.1937343829336531,0.7799568226424447,0.09407053843936128
Endo,ICAM1,SPN,TIL,0.572463768115942,0.8842395182958601,0.2925693465195562,0.2485549132947977,0.5046565915741044,0.3137119629901899,0.4462373014383166,0.09178250400740703
Endo,CD58,CD2,TIL,0.2246376811594203,0.3337398779041196,0.1097746849236211,0.7745664739884393,1.6569104378190609,0.8352200250531019,0.5529770872157946,0.09168601509210318
Endo,THBS1,ITGA4,TIL,0.4130434782608696,0.6213403997347307,0.18870247139615398,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2629466486707738,0.09094368317143496
Endo,CD47,SIRPG,TIL,0.3840579710144927,0.5432079000120169,0.0890019775858462,0.208092485549133,0.4138417350188916,0.9742443663694396,0.2248020998169417,0.08670967525874979
Endo,MYL9,CD69,TIL,0.572463768115942,0.873588673554815,0.1958403244201876,0.4046242774566474,0.8702548954873475,0.4067765265497582,0.7602448198033761,0.07966324692602167
Endo,FN1,ITGA4,TIL,0.6884057971014492,1.111415157475137,0.1651967537086039,0.208092485549133,0.4231925829755057,0.4819421944957553,0.4703426512500316,0.07961528600589936
Endo,MDK,ITGA4,TIL,0.5362318840579711,0.8150395520354226,0.1617296372936205,0.208092485549133,0.4231925829755057,0.4819421944957553,0.3449186932530695,0.07794433631229003
Endo,SPP1,ITGA4,TIL,0.39130434782608703,0.6442016993111198,0.1478415005277205,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2726213810886828,0.07125105720187498
Endo,CXCL12,CD4,TIL,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.2543352601156069,0.5003692339380802,0.1940655110596279,0.1785422073630662,0.06809256271916453
Endo,LGALS1,PTPRC,TIL,0.9420289855072465,1.563029516536171,0.1448082580610633,0.7861271676300579,1.689879911028974,0.4176019442359228,2.641332180339804,0.060472210107717264
Endo,LGALS1,CD69,TIL,0.9420289855072465,1.563029516536171,0.1448082580610633,0.4046242774566474,0.8702548954873475,0.4067765265497582,1.360234088556824,0.058904600229800326
Endo,COL4A1,ITGB1,TIL,0.9057971014492754,1.486891287329804,0.5280339215914572,0.4508670520231214,0.8888843192072439,0.11097053909961099,1.321674349673336,0.058596208941885726
Endo,LAMB2,RPSA,TIL,0.5217391304347826,0.7982353937299455,0.31442324215796696,0.9942196531791908,2.133517371527769,0.1823776181908924,1.7030490790911468,0.057343762008628216
Endo,ICAM1,ITGB2,TIL,0.572463768115942,0.8842395182958601,0.2925693465195562,0.3699421965317919,0.7628997712849283,0.1937343829336531,0.6745861262690068,0.05668074181326835
Endo,SPON2,ITGA4,TIL,0.2101449275362319,0.27379045445288097,0.1150218678758084,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1158660896139522,0.05543389141906791
Endo,ANGPTL2,ITGB1,TIL,0.4130434782608696,0.6154671146063339,0.47270777606039704,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.5470790671612978,0.052456636746000436
Endo,GRN,TNFRSF1B,TIL,0.8043478260869565,1.27451454389669,0.1538717391496681,0.5375722543352601,1.074358074599465,0.3319649356624952,1.369284991429863,0.05108002198709584
Endo,LGALS3,LAG3,TIL,0.5869565217391305,0.8935970584586339,0.1148857242877109,0.2254335260115607,0.4348850816096209,0.4376656119284795,0.3886120296939001,0.05028153082222758
Endo,TFF3,CXCR4,TIL,0.3695652173913043,0.570286627321376,0.1508284519270809,0.9132947976878611,1.969168362387087,0.3253921946710304,1.122990384013689,0.04907840099138686
Endo,MIF,CXCR4,TIL,0.8043478260869565,1.281034679992373,0.1412386041627216,0.9132947976878611,1.969168362387087,0.3253921946710304,2.522572962961647,0.04595793938078092
Endo,COL18A1,ITGB1,TIL,0.7391304347826086,1.172607919528788,0.4110803411268169,0.4508670520231214,0.8888843192072439,0.11097053909961099,1.042312792247369,0.04561780706809485
Endo,ADAM15,ITGB1,TIL,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.9642147447367316,0.04343668073079236
Endo,APP,CD74,TIL,0.9130434782608696,1.4792404268300268,0.23531136818244397,0.8554913294797688,1.7712712882303283,0.1766133845773924,2.6201360964336033,0.04155913716423836
Endo,CXCL12,ITGB1,TIL,0.2246376811594203,0.3568209139436428,0.35087410610658504,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.3171725151697015,0.03893668871074184
Endo,LAMB1,ITGB1,TIL,0.4927536231884058,0.7678145653449621,0.3497924537969144,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.6824983271940624,0.03881665717081936
Endo,HSPG2,ITGB1,TIL,0.9202898550724636,1.516503482646444,0.3482224214550146,0.4508670520231214,0.8888843192072439,0.11097053909961099,1.347996165747599,0.038642429835434915
Endo,HBEGF,CD44,TIL,0.4710144927536232,0.7081877693837602,0.1800773496075903,0.6936416184971098,1.474409052655517,0.1808244605666337,1.044158458159333,0.03256238960306163
Endo,TFF2,CXCR4,TIL,0.2536231884057971,0.3953169894811679,0.09786752076949816,0.9132947976878611,1.969168362387087,0.3253921946710304,0.7784457088004246,0.03184532737019966
Endo,THBS1,CD47,TIL,0.4130434782608696,0.6213403997347307,0.18870247139615398,0.4913294797687861,1.025062595501646,0.1679515304304459,0.6369128028421135,0.0316928688669915
Endo,FN1,CD44,TIL,0.6884057971014492,1.111415157475137,0.1651967537086039,0.6936416184971098,1.474409052655517,0.1808244605666337,1.638680569439899,0.02987161387671735
Endo,TGM2,ITGB1,TIL,0.644927536231884,1.0312258763831779,0.256709406777182,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.9166405110777548,0.028487181262005213
Endo,COL1A2,CD44,TIL,0.5434782608695652,0.8591172622317335,0.1545637630791465,0.6936416184971098,1.474409052655517,0.1808244605666337,1.266690268727091,0.02794890908193565
Endo,VIM,CD44,TIL,1.0,1.6760988907795749,0.1538020393640401,0.6936416184971098,1.474409052655517,0.1808244605666337,2.471255377711276,0.027811170802050717
Endo,B2M,HLA-F,TIL,1.0,1.6760988907795749,0.1317939734884414,0.4739884393063584,0.9778213473882822,0.2045904547928295,1.638925275738089,0.02696378897495433
Endo,SPP1,CD44,TIL,0.39130434782608703,0.6442016993111198,0.1478415005277205,0.6936416184971098,1.474409052655517,0.1808244605666337,0.949816817200382,0.02673335958228676
Endo,COL1A1,CD44,TIL,0.5579710144927537,0.900732918781778,0.1458740456784429,0.6936416184971098,1.474409052655517,0.1808244605666337,1.3280487694766798,0.02637759562047692
Endo,MIF,CD74,TIL,0.8043478260869565,1.281034679992373,0.1412386041627216,0.8554913294797688,1.7712712882303283,0.1766133845773924,2.269059947897816,0.02494462791416485
Endo,FBN1,ITGB1,TIL,0.2898550724637681,0.4388231932217007,0.2239959784683288,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.3900630553592203,0.0248569544867753
Endo,HBEGF,CD82,TIL,0.4710144927536232,0.7081877693837602,0.1800773496075903,0.208092485549133,0.4057316407795239,0.1328898868892242,0.2873341856520641,0.02393045862066395
