Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TAM,ITGB2,THY1,CAF,0.8297872340425532,1.4882818191181961,0.3779413373956201,0.8043354249857387,1.410227352802349,0.5736486167990407,2.098815729998919,0.216805525428177
TAM,IL1B,IL1R1,CAF,0.4831560283687943,0.8768321266311695,0.5075262198745879,0.3616657159155733,0.5935066966695427,0.3567426130727749,0.5204057390105956,0.1810562298810082
TAM,IL1RN,IL1R1,CAF,0.5505319148936171,0.9971901527557008,0.4907766434478093,0.3616657159155733,0.5935066966695427,0.3567426130727749,0.5918390335134327,0.175080942218657
TAM,MMP9,LRP1,CAF,0.2473404255319149,0.4390504427487917,0.4651045453521434,0.7056474614945807,1.233206563415127,0.3744910905535125,0.5414398876681272,0.1741775084103198
TAM,C1QB,LRP1,CAF,0.8049645390070922,1.4348228232316584,0.4068117308385983,0.7056474614945807,1.233206563415127,0.3744910905535125,1.769432922947104,0.1523473687317087
TAM,GNAI2,EDNRA,CAF,0.7765957446808509,1.3759382122284427,0.1996588322287651,0.3998859098687964,0.6679683021586668,0.695721042023305,0.9190831114974646,0.1389068508073527
TAM,ADAM10,EPHA3,CAF,0.3572695035460993,0.6243190156496724,0.1945667430620828,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2371072534399319,0.1283832577478195
TAM,CLEC11A,ITGA11,CAF,0.2021276595744681,0.3452519603373753,0.1367259623938579,0.2304620650313748,0.38950323841927,0.8378986369353376,0.134476756622009,0.1145624975234857
TAM,COL1A2,ITGA11,CAF,0.4113475177304964,0.7432890000844655,0.1337251036138562,0.2304620650313748,0.38950323841927,0.8378986369353376,0.2895134726143204,0.1120480820420869
TAM,CD14,ITGB1,CAF,0.799645390070922,1.4379410944834483,0.5693137885125117,0.8813462635482031,1.56105546480237,0.1948860641933811,2.244705803607288,0.1109513235342264
TAM,APOE,LRP1,CAF,0.9042553191489362,1.645739801500546,0.2777338866364064,0.7056474614945807,1.233206563415127,0.3744910905535125,2.0295371248839817,0.1040088660901334
TAM,ITGAV,THY1,CAF,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.8043354249857387,1.410227352802349,0.5736486167990407,0.9059528356880886,0.10077693258240801
TAM,COL1A1,ITGA11,CAF,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.2304620650313748,0.38950323841927,0.8378986369353376,0.2807186982762652,0.0977988493731126
TAM,OSM,IL6ST,CAF,0.5035460992907801,0.8892197713871571,0.5612516747908401,0.4090131203650884,0.679778027354231,0.1718920182366254,0.6044720620779419,0.09647468311848367
TAM,SERPINA1,LRP1,CAF,0.7925531914893617,1.422894446247421,0.2484655811601185,0.7056474614945807,1.233206563415127,0.3744910905535125,1.754722770159252,0.09304814645366503
TAM,SPP1,ITGB5,CAF,0.7358156028368794,1.333781019473589,0.3060969685507385,0.5037079292641187,0.8641798387847487,0.2881802756253972,1.152626666382844,0.08821110876505034
TAM,C3,LRP1,CAF,0.425531914893617,0.7329253318671215,0.2316141053454303,0.7056474614945807,1.233206563415127,0.3744910905535125,0.9038483297517442,0.0867374188983863
TAM,TGFB1,VASN,CAF,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.3017683970336566,0.4939258178440993,0.4639682843431399,0.4182809330891275,0.08182792531867121
TAM,F13A1,ITGB1,CAF,0.2570921985815603,0.4560216852354272,0.4007356511438896,0.8813462635482031,1.56105546480237,0.1948860641933811,0.71187514380515,0.07809779383340447
TAM,PLAU,LRP1,CAF,0.4290780141843972,0.7394369600883679,0.20745747614839102,0.7056474614945807,1.233206563415127,0.3744910905535125,0.9118785124127043,0.07769097648629025
TAM,FN1,SDC2,CAF,0.7074468085106383,1.281778808681198,0.1905189944031805,0.6252139189960069,1.057524624607136,0.3971301918094151,1.355512653479965,0.07566084479067194
TAM,LRPAP1,LRP1,CAF,0.6241134751773051,1.0970482394849481,0.1980504393256255,0.7056474614945807,1.233206563415127,0.3744910905535125,1.3528870893158478,0.07416812500765575
TAM,PTGS2,CAV1,CAF,0.2535460992907801,0.4634175879751944,0.34065157051069794,0.5196805476326298,0.8727100217517023,0.2169869632044365,0.4044291732819534,0.07391694979593832
TAM,SLPI,PLSCR4,CAF,0.3359929078014184,0.582237053512357,0.142346492994879,0.3422703936109526,0.5705355976767148,0.5188398622981778,0.332186965315202,0.07385503482409157
TAM,PSEN1,NOTCH3,CAF,0.2588652482269503,0.4509679752429701,0.1991818389260639,0.2932116371933828,0.5033056384746055,0.3599796122250077,0.2269747247112631,0.07170140113886844
