Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TAM,ALCAM,L1CAM,EMT,0.4007092198581561,0.6901256750841426,0.2894075896583816,0.3609706774519717,0.500407209182616,0.8754042962135278,0.3453438630541247,0.253348647343749
TAM,OSM,OSMR,EMT,0.5035460992907801,0.8892197713871571,0.5612516747908401,0.3832153690596562,0.5399954841169934,0.3586055784971743,0.4801746609366101,0.2012679815208772
TAM,CD9,L1CAM,EMT,0.7579787234042553,1.3598127428872682,0.18782025995529997,0.3609706774519717,0.500407209182616,0.8754042962135278,0.6804600996791761,0.1644186624808112
TAM,IL1B,IL1RAP,EMT,0.4831560283687943,0.8768321266311695,0.5075262198745879,0.2780586450960566,0.3874111303474886,0.2547909024338383,0.3396945253031736,0.12931306357068098
TAM,HBEGF,EGFR,EMT,0.7163120567375887,1.277369806981584,0.3248084466499085,0.2386248736097068,0.3184169220074171,0.367846706804034,0.4067361622042844,0.1194797174423026
TAM,FN1,COL13A1,EMT,0.7074468085106383,1.281778808681198,0.1905189944031805,0.3164812942366027,0.4382222978318056,0.6098151892070169,0.5617040548523888,0.1161813766195061
TAM,EREG,EGFR,EMT,0.3936170212765958,0.7373304624101981,0.31028046207644,0.2386248736097068,0.3184169220074171,0.367846706804034,0.2347784963429608,0.1141356461604524
TAM,PTGS2,CAV1,EMT,0.2535460992907801,0.4634175879751944,0.34065157051069794,0.8179979777553084,1.264084753867124,0.3142967367603966,0.58579910763332,0.1070656769838165
TAM,FN1,NT5E,EMT,0.7074468085106383,1.281778808681198,0.1905189944031805,0.7269969666329625,1.096610908222285,0.5373652607018176,1.4056126235279671,0.1023782890961132
TAM,OSM,IL6ST,EMT,0.5035460992907801,0.8892197713871571,0.5612516747908401,0.4964610717896866,0.7108798718101953,0.1797565837260766,0.6321284370947934,0.1008886836709404
TAM,ADAM9,ITGA3,EMT,0.4157801418439716,0.7265349928032159,0.233866555682159,0.7259858442871587,1.129576103128108,0.4163849433571546,0.8206765659568646,0.09737851254084864
TAM,SPP1,ITGB5,EMT,0.7358156028368794,1.333781019473589,0.3060969685507385,0.6248736097067745,0.9281075175092379,0.3094984032281217,1.237892190884573,0.09473652299942212
