Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TAM,HBEGF,ERBB2,ETC,0.7163120567375887,1.277369806981584,0.3248084466499085,0.4453665283540802,0.6595115805324596,0.5049075806222935,0.8424401803268672,0.1639982469636906
TAM,AREG,ERBB3,ETC,0.2198581560283688,0.3881625736540685,0.1934894140249112,0.6392807745504839,0.9660303578166608,0.7661271457896068,0.3749768299180758,0.1482374925074088
TAM,APOE,LRP5,ETC,0.9042553191489362,1.645739801500546,0.2777338866364064,0.3485477178423236,0.4954503072955465,0.4792546829701052,0.8153822903819572,0.1331052657899861
TAM,FN1,ITGB6,ETC,0.7074468085106383,1.281778808681198,0.1905189944031805,0.4589211618257261,0.687053190553333,0.6948221565084813,0.8806502200880673,0.1323768185470451
TAM,TGFB1,ITGB6,ETC,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.4589211618257261,0.687053190553333,0.6948221565084813,0.5818307916781505,0.1225425475213837
TAM,APOE,LDLR,ETC,0.9042553191489362,1.645739801500546,0.2777338866364064,0.6630705394190871,1.0204286323031557,0.3746522127937143,1.67936001477207,0.1040536151961283
TAM,PLAU,ST14,ETC,0.4290780141843972,0.7394369600883679,0.20745747614839102,0.5928077455048409,0.8843882057971416,0.4775024500556967,0.6539493264326443,0.09906145314322798
TAM,SIRPA,CD47,ETC,0.5106382978723404,0.8854508525181819,0.5525344242103986,0.6757952973720609,1.023205037623627,0.1676471785890602,0.9059977728647388,0.09263083729220424
TAM,HBEGF,CD82,ETC,0.7163120567375887,1.277369806981584,0.3248084466499085,0.5817427385892117,0.8667242325168921,0.2838794751181559,1.107127365596364,0.09220645134891957
TAM,FN1,ITGB8,ETC,0.7074468085106383,1.281778808681198,0.1905189944031805,0.3806362378976487,0.5505066550219346,0.4774089455131688,0.7056277644450866,0.09095547221825168
TAM,TGFB1,ITGB8,ETC,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.3806362378976487,0.5505066550219346,0.4774089455131688,0.4661963983567864,0.08419839212765097
TAM,INS,INSR,ETC,0.2668439716312057,0.4463990250893271,0.2865745211173481,0.4655601659751037,0.6941689362327029,0.2637923366078506,0.3098763363815738,0.07559616253782109
TAM,HLA-A,ERBB2,ETC,0.9973404255319148,1.8297941877052921,0.1492363212132808,0.4453665283540802,0.6595115805324596,0.5049075806222935,1.206770456782625,0.07535054988476904
TAM,LRPAP1,LDLR,ETC,0.6241134751773051,1.0970482394849481,0.1980504393256255,0.6630705394190871,1.0204286323031557,0.3746522127937143,1.119459434588211,0.07420003533811284
TAM,ADAM9,ITGA3,ETC,0.4157801418439716,0.7265349928032159,0.233866555682159,0.5659751037344398,0.8550506272124301,0.3151892165507055,0.6212242012881681,0.07371221646287164
TAM,CD14,ITGB1,ETC,0.799645390070922,1.4379410944834483,0.5693137885125117,0.6669432918395574,1.032654568561931,0.1289191762086603,1.4848964405412757,0.07339546461926445
TAM,OSM,IL6ST,ETC,0.5035460992907801,0.8892197713871571,0.5612516747908401,0.3441217150760719,0.4931756956814475,0.1247068340909477,0.4385415793675589,0.06999191949140783
TAM,TIMP2,ITGA3,ETC,0.7039007092198581,1.253245858931825,0.2191986912054508,0.5659751037344398,0.8550506272124301,0.3151892165507055,1.071588657731038,0.06908906374998605
TAM,NAMPT,INSR,ETC,0.7792553191489362,1.413217281517545,0.2611239965770563,0.4655601659751037,0.6941689362327029,0.2637923366078506,0.9810115369767066,0.06888250920144208
TAM,TNFSF12,TNFRSF12A,ETC,0.3705673758865248,0.6262852522152766,0.3017456439015539,0.6993084370677731,1.102102887975623,0.2241217806074946,0.6902307851629981,0.06762777100177128
TAM,INHBA,TGFBR3,ETC,0.4095744680851064,0.7455527328090872,0.2763958356927805,0.20414937759336102,0.2890668347752081,0.2444473904436803,0.2155145686311293,0.06756424076460042
TAM,FN1,ITGA2,ETC,0.7074468085106383,1.281778808681198,0.1905189944031805,0.4879668049792531,0.7240254421090907,0.3489745028285947,0.9280404686414678,0.0664862713512537
TAM,ADAM9,ITGA6,ETC,0.4157801418439716,0.7265349928032159,0.233866555682159,0.616597510373444,0.9306841922698366,0.2820786424672969,0.6761746329328325,0.06596876054532591
TAM,APOE,SORL1,ETC,0.9042553191489362,1.645739801500546,0.2777338866364064,0.4420470262793914,0.6386488595620214,0.2312050479116241,1.051049847364151,0.06421347656645192
TAM,COL1A1,DDR1,ETC,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.5504840940525588,0.8095867361470149,0.5263114323058258,0.583476881053004,0.061430643543816686
TAM,COL3A1,DDR1,ETC,0.3262411347517731,0.5852460647052409,0.1156109497635583,0.5504840940525588,0.8095867361470149,0.5263114323058258,0.4738074513676007,0.06084736456029523
TAM,SPP1,ITGAV,ETC,0.7358156028368794,1.333781019473589,0.3060969685507385,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.9362598506869404,0.058758354579155216
TAM,MDK,TSPAN1,ETC,0.3262411347517731,0.5757171441207902,0.1142404987216225,0.7894882434301521,1.234788562388569,0.5117443592370936,0.7108889447313629,0.0584619308172227
TAM,CCL5,SDC4,ETC,0.2127659574468085,0.3579287863533243,0.1785452544554189,0.7413554633471646,1.154555401523691,0.3265201835420767,0.4132486136450498,0.058298629255350176
TAM,INS,IGF1R,ETC,0.2668439716312057,0.4463990250893271,0.2865745211173481,0.2013831258644537,0.281173720626979,0.2029685500647076,0.1255156747686222,0.05816561503667606
TAM,C3,CD46,ETC,0.425531914893617,0.7329253318671215,0.2316141053454303,0.7366528354080222,1.135610530123683,0.2446687044915647,0.8323177246626982,0.0566687230968392
TAM,CCL5,SDC1,ETC,0.2127659574468085,0.3579287863533243,0.1785452544554189,0.5280774550484094,0.7853489303746237,0.3124117822551014,0.2810989895128704,0.055779641157608015
TAM,SPP1,ITGB5,ETC,0.7358156028368794,1.333781019473589,0.3060969685507385,0.3706777316735823,0.5234741566218836,0.1745642746655675,0.6981998942872129,0.05343359529238869
TAM,F13A1,ITGB1,ETC,0.2570921985815603,0.4560216852354272,0.4007356511438896,0.6669432918395574,1.032654568561931,0.1289191762086603,0.4709128766216749,0.051662510022911334
TAM,HBEGF,CD9,ETC,0.7163120567375887,1.277369806981584,0.3248084466499085,0.7419087136929461,1.150366467118094,0.1588910899887725,1.4694433920607257,0.051609168125764035
TAM,CALR,ITGA3,ETC,0.8696808510638298,1.570971384879446,0.1631051648097058,0.5659751037344398,0.8550506272124301,0.3151892165507055,1.3432600679739508,0.051408989111744866
