Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TAM,C1QA,CD93,Endo,0.8492907801418441,1.5268629722059568,0.4325481396827651,0.7681159420289855,1.2284066604606392,0.6284213594627889,1.875608644668525,0.2718224899725436
TAM,VEGFA,KDR,Endo,0.4822695035460993,0.8841181761672141,0.2238782197363506,0.5289855072463768,0.8122786183374733,0.9607975795819738,0.7181502905841515,0.2151016516438069
TAM,ADM,RAMP3,Endo,0.2304964539007092,0.4205317141607303,0.1982675366903376,0.6739130434782609,1.1105443147965082,0.9345384228280708,0.4670191043528292,0.1852886310365948
TAM,ADM,CALCRL,Endo,0.2304964539007092,0.4205317141607303,0.1982675366903376,0.7753623188405797,1.276596129927125,0.9081944004683064,0.536849158809208,0.1800654666168091
TAM,ADM,RAMP2,Endo,0.2304964539007092,0.4205317141607303,0.1982675366903376,0.9202898550724636,1.5173145708306102,0.8687724215753141,0.638078897392449,0.172249367970237
TAM,VEGFA,FLT1,Endo,0.4822695035460993,0.8841181761672141,0.2238782197363506,0.5869565217391305,0.8882742480749662,0.7561345457284385,0.7853394081443427,0.16928205597883703
TAM,PSEN1,NOTCH4,Endo,0.2588652482269503,0.4509679752429701,0.1991818389260639,0.6521739130434783,1.0343570149377141,0.8244592066321037,0.4664618887048235,0.1642173008965061
TAM,VEGFB,FLT1,Endo,0.2969858156028369,0.508357375379903,0.2120451799584924,0.5869565217391305,0.8882742480749662,0.7561345457284385,0.4515607653689467,0.1603346858218196
TAM,GNAI2,TBXA2R,Endo,0.7765957446808509,1.3759382122284427,0.1996588322287651,0.2246376811594203,0.3385449381599859,0.7244953312025124,0.4658169169708399,0.14465189178308602
TAM,OSM,IL6ST,Endo,0.5035460992907801,0.8892197713871571,0.5612516747908401,0.644927536231884,1.0108539964556091,0.2556095175208839,0.8988713596340505,0.1434612698010747
TAM,ANXA2,ROBO4,Endo,0.9326241134751772,1.692542256906086,0.1634677364569984,0.5,0.7887288345540476,0.8736328374758456,1.3349568817230149,0.1428107824366813
TAM,INS,INSR,Endo,0.2668439716312057,0.4463990250893271,0.2865745211173481,0.7463768115942029,1.1955314344237,0.4543159656297879,0.5336840667903843,0.130195380286322
TAM,OSM,OSMR,Endo,0.5035460992907801,0.8892197713871571,0.5612516747908401,0.2173913043478261,0.3314620909141544,0.2201206461134046,0.2947426447061934,0.1235430812871902
TAM,IL1B,IL1R1,Endo,0.4831560283687943,0.8768321266311695,0.5075262198745879,0.2681159420289855,0.39936526257571203,0.2400488623653733,0.350176292486877,0.1218310917014931
TAM,INHBA,TGFBR3,Endo,0.4095744680851064,0.7455527328090872,0.2763958356927805,0.3333333333333333,0.5132682250298641,0.4340417616700271,0.3826685278350847,0.1199673354423538
TAM,NAMPT,INSR,Endo,0.7792553191489362,1.413217281517545,0.2611239965770563,0.7463768115942029,1.1955314344237,0.4543159656297879,1.689545683725032,0.1186328006540148
TAM,IL1RN,IL1R1,Endo,0.5505319148936171,0.9971901527557008,0.4907766434478093,0.2681159420289855,0.39936526257571203,0.2400488623653733,0.3982431071931949,0.11781037493514301
TAM,TGFB1,ACVRL1,Endo,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.5797101449275363,0.90480223517711,0.6505833851457893,0.7662315058624164,0.11474036146381501
TAM,PTGS2,CAV1,Endo,0.2535460992907801,0.4634175879751944,0.34065157051069794,0.8188405797101449,1.3131967420873798,0.3265077357351252,0.6085584667550171,0.1112253729620623
TAM,ANXA1,DYSF,Endo,0.7801418439716312,1.4127013560030108,0.1507651473671096,0.3985507246376812,0.6099553864416668,0.7212468784493901,0.8616848015274832,0.1087388919174901
TAM,INHBA,ENG,Endo,0.4095744680851064,0.7455527328090872,0.2763958356927805,0.8478260869565217,1.37247601108448,0.3717697573112006,1.0232532407789492,0.1027556127573315
TAM,CALR,SCARF1,Endo,0.8696808510638298,1.570971384879446,0.1631051648097058,0.3768115942028986,0.5698802795674495,0.6145927049924039,0.8952656120075622,0.1002432444386289
TAM,ITGB2,THY1,Endo,0.8297872340425532,1.4882818191181961,0.3779413373956201,0.4492753623188406,0.648509480619786,0.2637990007776743,0.9651648695322118,0.09970054715754248
TAM,CD14,ITGB1,Endo,0.799645390070922,1.4379410944834483,0.5693137885125117,0.8260869565217391,1.306931501856276,0.1631605937841289,1.8792905141941092,0.0928895757831934
TAM,ALCAM,NRP1,Endo,0.4007092198581561,0.6901256750841426,0.2894075896583816,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.6769592788856809,0.09191245092167206
TAM,PSEN1,NOTCH1,Endo,0.2588652482269503,0.4509679752429701,0.1991818389260639,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.2548532250992936,0.0899055302020172
TAM,COL1A2,CD93,Endo,0.4113475177304964,0.7432890000844655,0.1337251036138562,0.7681159420289855,1.2284066604606392,0.6284213594627889,0.9130611583508862,0.08403571140732183
TAM,ADAM17,NOTCH1,Endo,0.3563829787234042,0.6363404943315359,0.1816151914896122,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.3596118486114137,0.08197639991503182
TAM,TNFSF10,TNFRSF10D,Endo,0.3413120567375886,0.5766951522771783,0.1601118882484709,0.3623188405797101,0.5765004718330612,0.4804175008149315,0.3324650273916324,0.07692055320309
TAM,TGFB1,TGFBR3,Endo,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.3333333333333333,0.5132682250298641,0.4340417616700271,0.4346610449066579,0.07654992390137627
TAM,C3,NRP1,Endo,0.425531914893617,0.7329253318671215,0.2316141053454303,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.7189423927421933,0.0735579191805494
TAM,YBX1,NOTCH1,Endo,0.9689716312056738,1.765327661958769,0.1625512924902074,0.3768115942028986,0.5651248848922924,0.4513741347442325,0.9976305917616292,0.07337144899932402
TAM,COL1A1,CD93,Endo,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.7681159420289855,1.2284066604606392,0.6284213594627889,0.8853243944206053,0.0733488314311351
TAM,TFF3,ACKR3,Endo,0.27482269503546103,0.5261048789762746,0.1391433371320461,0.3333333333333333,0.5044354832886748,0.5123309691742103,0.2653859688869268,0.07128744076699504
TAM,VEGFA,NRP1,Endo,0.4822695035460993,0.8841181761672141,0.2238782197363506,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.8672507408377582,0.07110109278142318
TAM,FN1,ITGA5,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.7028985507246377,1.1332590433671341,0.3546022692315736,1.4525874265343193,0.06755846774708525
TAM,VEGFB,NRP1,Endo,0.2969858156028369,0.508357375379903,0.2120451799584924,0.6304347826086957,0.9809217412511766,0.3175882534047087,0.4986588018355325,0.06734305834590472
TAM,ADAM9,ITGA6,Endo,0.4157801418439716,0.7265349928032159,0.233866555682159,0.6159420289855072,0.9449641369956217,0.286406713639252,0.6865495124714109,0.06698095164305831
TAM,TGFB1,ENG,Endo,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.8478260869565217,1.37247601108448,0.3717697573112006,1.162280904984117,0.06556730053234132
TAM,F13A1,ITGB1,Endo,0.2570921985815603,0.4560216852354272,0.4007356511438896,0.8260869565217391,1.306931501856276,0.1631605937841289,0.5959891059637666,0.0653842667911066
TAM,GNAI2,CAV1,Endo,0.7765957446808509,1.3759382122284427,0.1996588322287651,0.8188405797101449,1.3131967420873798,0.3265077357351252,1.806877577611926,0.06519015323053333
TAM,ADAM17,ITGA5,Endo,0.3563829787234042,0.6363404943315359,0.1816151914896122,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.7211386198619256,0.06440115902914326
TAM,THBS1,CD36,Endo,0.2225177304964539,0.4119235668925958,0.1251021101028318,0.355072463768116,0.526269182647109,0.510375474456763,0.2167826788616481,0.06384904879927497
TAM,PSEN1,NOTCH3,Endo,0.2588652482269503,0.4509679752429701,0.1991818389260639,0.3260869565217391,0.4467783940132284,0.3195495951820307,0.2014827477304515,0.06364847599643618
TAM,ARF1,INSR,Endo,0.650709219858156,1.131832527369979,0.1397690881509495,0.7463768115942029,1.1955314344237,0.4543159656297879,1.353141364974032,0.06349932824849358
TAM,GNAI2,F2R,Endo,0.7765957446808509,1.3759382122284427,0.1996588322287651,0.4927536231884058,0.7479952029626431,0.3136992871204766,1.029195182319871,0.06263283333747044
TAM,HBEGF,CD9,Endo,0.7163120567375887,1.277369806981584,0.3248084466499085,0.8478260869565217,1.3862169418288113,0.1914672646881592,1.7707116674184702,0.062190184827667874
TAM,COL1A1,CD36,Endo,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.355072463768116,0.526269182647109,0.510375474456763,0.3792872184969788,0.05957061146762532
TAM,SPP1,ITGAV,Endo,0.7358156028368794,1.333781019473589,0.3060969685507385,0.4202898550724637,0.643227026443107,0.1758988555131502,0.8579239990822523,0.05384210644411964
TAM,SPP1,ITGB1,Endo,0.7358156028368794,1.333781019473589,0.3060969685507385,0.8260869565217391,1.306931501856276,0.1631605937841289,1.7431604309280118,0.04994296314426033
TAM,SIRPA,CD47,Endo,0.5106382978723404,0.8854508525181819,0.5525344242103986,0.3840579710144927,0.5432079000120169,0.0890019775858462,0.4809838981602517,0.04917665643898233
TAM,TGFB1,TGFBR2,Endo,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.7463768115942029,1.1797296904768841,0.2740788238544286,0.9990537402549216,0.04833800560644082
TAM,VEGFA,NRP2,Endo,0.4822695035460993,0.8841181761672141,0.2238782197363506,0.3768115942028986,0.561722352212917,0.2127476545991377,0.4966289415508416,0.047629566164738964
TAM,APOE,LDLR,Endo,0.9042553191489362,1.645739801500546,0.2777338866364064,0.3043478260869565,0.4595703792725249,0.1687320936303812,0.7563332647594959,0.0468626201642638
TAM,ITGAV,THY1,Endo,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.4492753623188406,0.648509480619786,0.2637990007776743,0.4166129679520182,0.04634344673403338
TAM,HMGB1,THBD,Endo,0.8785460992907801,1.581169056279488,0.1445811745381265,0.4565217391304348,0.6975380486345151,0.3000013301644832,1.102925578078471,0.04337454467818126
TAM,GRN,SORT1,Endo,0.9671985815602836,1.7630097166131482,0.2128476073749834,0.2101449275362319,0.2950461192386736,0.202849661821072,0.5201691750667831,0.04317606517543968
TAM,PLAU,IGF2R,Endo,0.4290780141843972,0.7394369600883679,0.20745747614839102,0.2463768115942029,0.3333873954111142,0.2075783370317581,0.2465189621945729,0.04306367790368863
TAM,SERPINF1,PLXDC1,Endo,0.4042553191489361,0.6910206964616963,0.1304768309062896,0.2681159420289855,0.3473951114488003,0.3270523565915538,0.2400572118607386,0.0426727550284997
TAM,GRN,TNFRSF1A,Endo,0.9671985815602836,1.7630097166131482,0.2128476073749834,0.6086956521739131,0.9576643870015832,0.1947528399212965,1.688371619538165,0.0414526760067311
TAM,COL1A1,ITGA5,Endo,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.8167505994427406,0.04138888928472966
TAM,ADAM9,ITGAV,Endo,0.4157801418439716,0.7265349928032159,0.233866555682159,0.4202898550724637,0.643227026443107,0.1758988555131502,0.4673269430276767,0.0411368594872942
TAM,LRPAP1,SORT1,Endo,0.6241134751773051,1.0970482394849481,0.1980504393256255,0.2101449275362319,0.2950461192386736,0.202849661821072,0.3236798256776531,0.04017446464071787
TAM,C3,CD46,Endo,0.425531914893617,0.7329253318671215,0.2316141053454303,0.5217391304347826,0.8041932026935356,0.1732644281156144,0.5894135699694428,0.040130485506185636
TAM,ADAM9,ITGB1,Endo,0.4157801418439716,0.7265349928032159,0.233866555682159,0.8260869565217391,1.306931501856276,0.1631605937841289,0.9495314692954454,0.03815780609135012
TAM,FN1,ITGA2,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.2681159420289855,0.3965526060123135,0.1911352011683584,0.5082927269138876,0.03641488632164524
TAM,THBS1,ITGA6,Endo,0.2225177304964539,0.4119235668925958,0.1251021101028318,0.6159420289855072,0.9449641369956217,0.286406713639252,0.38925299789682,0.03583008422388792
TAM,TIMP2,ITGB1,Endo,0.7039007092198581,1.253245858931825,0.2191986912054508,0.8260869565217391,1.306931501856276,0.1631605937841289,1.6379064926089282,0.03576458861378528
TAM,FN1,ITGAV,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.4202898550724637,0.643227026443107,0.1758988555131502,0.8244747716657951,0.03351207306903572
TAM,LRPAP1,LDLR,Endo,0.6241134751773051,1.0970482394849481,0.1980504393256255,0.3043478260869565,0.4595703792725249,0.1687320936303812,0.5041708755003534,0.033417465271829566
TAM,MDK,ITGA6,Endo,0.3262411347517731,0.5757171441207902,0.1142404987216225,0.6159420289855072,0.9449641369956217,0.286406713639252,0.5440320542476864,0.03271924580336906
TAM,SPP1,ITGB5,Endo,0.7358156028368794,1.333781019473589,0.3060969685507385,0.2391304347826087,0.3185490806715894,0.1062273820195209,0.4248747175705269,0.03251587961325657
TAM,MMP9,CD44,Endo,0.2473404255319149,0.4390504427487917,0.4651045453521434,0.4057971014492754,0.5696693017183854,0.06986537691088457,0.2501135591398521,0.03249470436399311
TAM,VCAN,ITGB1,Endo,0.3785460992907801,0.7176944066829553,0.1979434023934083,0.8260869565217391,1.306931501856276,0.1631605937841289,0.9379774288000036,0.03229656307015927
TAM,APP,CAV1,Endo,0.3546099290780142,0.6184113304755227,0.09837428293219684,0.8188405797101449,1.3131967420873798,0.3265077357351252,0.8120957444503785,0.03211996437475817
TAM,FN1,ITGB1,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.8260869565217391,1.306931501856276,0.1631605937841289,1.675197103477266,0.031085192253978062
TAM,TGFB1,ITGAV,Endo,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.4202898550724637,0.643227026443107,0.1758988555131502,0.544716617534031,0.03102246187570173
TAM,ADAM9,ITGA3,Endo,0.4157801418439716,0.7265349928032159,0.233866555682159,0.2391304347826087,0.3483251017823205,0.128399784108267,0.2530703753165977,0.03002841525973323
TAM,FN1,NT5E,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.2101449275362319,0.3182155858720388,0.1559331573116617,0.4078819945628513,0.029708228325130717
TAM,ADAM17,ITGB1,Endo,0.3563829787234042,0.6363404943315359,0.1816151914896122,0.8260869565217391,1.306931501856276,0.1631605937841289,0.8316534379486792,0.029632442483663413
TAM,CALR,ITGAV,Endo,0.8696808510638298,1.570971384879446,0.1631051648097058,0.4202898550724637,0.643227026443107,0.1758988555131502,1.010491252523216,0.028690011818310986
TAM,TNFSF10,TNFRSF10B,Endo,0.3413120567375886,0.5766951522771783,0.1601118882484709,0.2391304347826087,0.3478960402416705,0.1771558868230727,0.2006299599037975,0.02836476355357457
TAM,TIMP2,ITGA3,Endo,0.7039007092198581,1.253245858931825,0.2191986912054508,0.2391304347826087,0.3483251017823205,0.128399784108267,0.4365369913706997,0.028145064627594567
TAM,TNFSF12,TNFRSF12A,Endo,0.3705673758865248,0.6262852522152766,0.3017456439015539,0.3188405797101449,0.4563830555477748,0.09280928683195576,0.2858259770505168,0.02800479801515249
TAM,LGALS1,ITGB1,Endo,0.9946808510638298,1.8265115172602,0.1692187820797295,0.8260869565217391,1.306931501856276,0.1631605937841289,2.3871254404106583,0.02760983696355579
TAM,LGALS3BP,ITGB1,Endo,0.5984042553191489,1.0343804925593758,0.1671146631945287,0.8260869565217391,1.306931501856276,0.1631605937841289,1.3518644506314599,0.02726652767685402
TAM,PSEN1,NCSTN,Endo,0.2588652482269503,0.4509679752429701,0.1991818389260639,0.2318840579710145,0.3281909852561929,0.1324085916460176,0.1480036241139807,0.02637338677366405
TAM,HLA-A,APLP2,Endo,0.9973404255319148,1.8297941877052921,0.1492363212132808,0.7898550724637681,1.266766378619631,0.1740109111769061,2.317921756778683,0.025968748235012433
TAM,COL1A2,ITGA2,Endo,0.4113475177304964,0.7432890000844655,0.1337251036138562,0.2681159420289855,0.3965526060123135,0.1911352011683584,0.2947531900037815,0.02555957458049397
TAM,ADAM9,ITGB5,Endo,0.4157801418439716,0.7265349928032159,0.233866555682159,0.2391304347826087,0.3185490806715894,0.1062273820195209,0.2314370540332042,0.02484303195203827
TAM,B2M,HLA-F,Endo,1.0,1.83676529153059,0.1444273947486952,0.5434782608695652,0.8158708791380938,0.1707054102070103,1.4985633131713998,0.024654537665705818
TAM,HBEGF,CD44,Endo,0.7163120567375887,1.277369806981584,0.3248084466499085,0.4057971014492754,0.5696693017183854,0.06986537691088457,0.7276783659793475,0.0226928645490348
TAM,SLPI,PLSCR1,Endo,0.3359929078014184,0.582237053512357,0.142346492994879,0.572463768115942,0.8855908458891946,0.1588884187486861,0.5156238047280405,0.02261720918637725
TAM,HLA-B,CANX,Endo,0.9991134751773051,1.8348117008371,0.1500856617068968,0.6884057971014492,1.075980508477989,0.1498948361228426,1.974221626828066,0.02249706566594369
TAM,GPI,AMFR,Endo,0.30141843971631205,0.5136073946276016,0.1320972219607146,0.2028985507246377,0.2894192686626722,0.1702954634339713,0.1486478765328609,0.02249555763214007
TAM,COL1A1,ITGA2,Endo,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.2681159420289855,0.3965526060123135,0.1911352011683584,0.2857992447241485,0.02230914567104901
TAM,CLEC11A,ITGB1,Endo,0.2021276595744681,0.3452519603373753,0.1367259623938579,0.8260869565217391,1.306931501856276,0.1631605937841289,0.4512206630425492,0.02230828920988833
TAM,BSG,SLC16A1,Endo,0.6843971631205674,1.2101441351540478,0.1408274240490527,0.2318840579710145,0.3281745260576271,0.1580531627854121,0.3971384780155967,0.02225821977787519
TAM,FN1,SDC2,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.2318840579710145,0.3053903694368135,0.1146826590787374,0.3914429039194297,0.02184922488316382
TAM,COL1A2,ITGB1,Endo,0.4113475177304964,0.7432890000844655,0.1337251036138562,0.8260869565217391,1.306931501856276,0.1631605937841289,0.97142780919364,0.02181866730948094
TAM,SPP1,CD44,Endo,0.7358156028368794,1.333781019473589,0.3060969685507385,0.4057971014492754,0.5696693017183854,0.06986537691088457,0.7598141020087554,0.02138558007907653
TAM,TIMP1,CD63,Endo,0.8501773049645391,1.5503254014648369,0.1475149534132731,0.9347826086956522,1.524345384518243,0.1430749398892907,2.363231370224316,0.02110569309237556
TAM,GRN,TNFRSF1B,Endo,0.9671985815602836,1.7630097166131482,0.2128476073749834,0.2101449275362319,0.3188996283138903,0.09853650947379114,0.56222314334171,0.020973260280578818
TAM,LGALS9,CD44,Endo,0.6241134751773051,1.0767082690835121,0.299812696969367,0.4057971014492754,0.5696693017183854,0.06986537691088457,0.6133676478032156,0.02094652707643365
TAM,CALR,ITGA3,Endo,0.8696808510638298,1.570971384879446,0.1631051648097058,0.2391304347826087,0.3483251017823205,0.128399784108267,0.5472087675352462,0.020942667948509533
TAM,THBS1,ITGB1,Endo,0.2225177304964539,0.4119235668925958,0.1251021101028318,0.8260869565217391,1.306931501856276,0.1631605937841289,0.5383558859289344,0.02041173456802551
TAM,TGFB1,SDC2,Endo,0.4884751773049645,0.8468497049108535,0.1763653423736034,0.2318840579710145,0.3053903694368135,0.1146826590787374,0.258619744240182,0.02022604643273675
TAM,TGM2,ITGB1,Endo,0.2828014184397163,0.4877950801685664,0.1214298327133631,0.8260869565217391,1.306931501856276,0.1631605937841289,0.6375147567228069,0.019812563608619767
TAM,PLAU,PLAUR,Endo,0.4290780141843972,0.7394369600883679,0.20745747614839102,0.4202898550724637,0.6366902283288883,0.09502296955225076,0.470792286953482,0.01971322543943535
TAM,MIF,CD74,Endo,0.7526595744680851,1.365172646171021,0.1505151125084858,0.7971014492753623,1.306069447803794,0.1302281289164999,1.783010284141429,0.01960130147563657
TAM,COL1A1,ITGB1,Endo,0.4007092198581561,0.7207095361145454,0.1167191890069394,0.8260869565217391,1.306931501856276,0.1631605937841289,0.9419179964363226,0.01904397218437422
TAM,MDK,ITGB1,Endo,0.3262411347517731,0.5757171441207902,0.1142404987216225,0.8260869565217391,1.306931501856276,0.1631605937841289,0.7524228718101903,0.01863954760561495
TAM,FN1,PLAUR,Endo,0.7074468085106383,1.281778808681198,0.1905189944031805,0.4202898550724637,0.6366902283288883,0.09502296955225076,0.8160960423663624,0.01810368060429885
TAM,MIF,CXCR4,Endo,0.7526595744680851,1.365172646171021,0.1505151125084858,0.4420289855072464,0.6520414367397515,0.10774558345026501,0.8901491336071609,0.01621733861530909
