Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TAM,CCL3L1,CCR1,TAM,0.3023049645390071,0.5251650294681811,0.8167679187250925,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.286426849875825,0.5828525718441493
TAM,LILRB4,LAIR1,TAM,0.5753546099290779,0.9906994866960792,0.6735663777122944,0.6179078014184397,1.075823853003933,0.6386720301568823,1.065818138946395,0.4301880058989285
TAM,CCL3,CCR1,TAM,0.6728723404255319,1.206890748035427,0.5092491109803241,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.6582424489576753,0.3634045207205686
TAM,SIGLEC1,SPN,TAM,0.375,0.6419812907464733,0.8570373859929518,0.3076241134751773,0.5260848651353777,0.3270325177488821,0.337736640761794,0.2802790941461955
TAM,SPN,SIGLEC1,TAM,0.3076241134751773,0.5260848651353777,0.3270325177488821,0.375,0.6419812907464733,0.8570373859929518,0.337736640761794,0.2802790941461955
TAM,TNFSF12,CD163,TAM,0.3705673758865248,0.6262852522152766,0.3017456439015539,0.5390070921985816,0.9565239659815762,0.8652821073124836,0.5990568532847281,0.2610951066274988
TAM,CCL2,CCR1,TAM,0.4920212765957447,0.8716047269355721,0.3615442369111975,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.4753762765313003,0.2580010594050381
TAM,CD84,CD84,TAM,0.4104609929078014,0.6991758161425939,0.5057135021679336,0.4104609929078014,0.6991758161425939,0.5057135021679336,0.4888468218786624,0.2557461462749566
TAM,CCL4,CCR1,TAM,0.4742907801418439,0.8378433772418004,0.3569669559703149,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.4569627179397545,0.2547346725804784
TAM,MRC1,PTPRC,TAM,0.3404255319148936,0.6100439220636747,0.82520170798528,0.6631205673758865,1.17267871536591,0.2897915457215538,0.7153855228424111,0.2391364784891206
TAM,PTPRC,MRC1,TAM,0.6631205673758865,1.17267871536591,0.2897915457215538,0.3404255319148936,0.6100439220636747,0.82520170798528,0.7153855228424111,0.2391364784891206
TAM,C1QA,CD33,TAM,0.8492907801418441,1.5268629722059568,0.4325481396827651,0.2331560283687943,0.3776903340442183,0.4787706885116815,0.5766813860122157,0.2070913706503645
TAM,C1QB,CD33,TAM,0.8049645390070922,1.4348228232316584,0.4068117308385983,0.2331560283687943,0.3776903340442183,0.4787706885116815,0.5419187114006335,0.1947695324682246
TAM,C3,C3AR1,TAM,0.425531914893617,0.7329253318671215,0.2316141053454303,0.4290780141843972,0.7383494448907533,0.70196914869801,0.5411550119304602,0.1625859563557829
TAM,ICAM1,ITGAX,TAM,0.4423758865248227,0.7907715402201261,0.2616434891016207,0.3953900709219858,0.7007695469450071,0.6151951028761605,0.5541486139770633,0.1609617931947492
TAM,GNAI2,C5AR1,TAM,0.7765957446808509,1.3759382122284427,0.1996588322287651,0.6790780141843972,1.2180433538447841,0.7458677335571943,1.675952394705929,0.1489190806791451
TAM,ICAM1,ITGAM,TAM,0.4423758865248227,0.7907715402201261,0.2616434891016207,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.5695845977329697,0.1482151758702109
TAM,C3,ITGAX,TAM,0.425531914893617,0.7329253318671215,0.2316141053454303,0.3953900709219858,0.7007695469450071,0.6151951028761605,0.5136117527570417,0.1424878633655519
TAM,LGALS9,HAVCR2,TAM,0.6241134751773051,1.0767082690835121,0.299812696969367,0.5673758865248227,0.9849730467296051,0.4616523748990412,1.060528624238146,0.1384092435807948
TAM,C3,ITGAM,TAM,0.425531914893617,0.7329253318671215,0.2316141053454303,0.4078014184397163,0.7202897028570542,0.5664776004139166,0.5279185695069768,0.1312042026180954
