Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TAM,CCL13,CXCR3,TIL,0.2163120567375887,0.3828553348910587,0.6800074137675508,0.2196531791907514,0.4335142236826833,0.7591578428326133,0.16597323328807098,0.5162329613459582
TAM,CD86,CD28,TIL,0.5744680851063829,1.005719718043936,0.521024729136108,0.2196531791907514,0.4309028426921909,0.8573298909828515,0.4333674854567208,0.4466900742296292
TAM,CXCL16,CXCR6,TIL,0.7553191489361702,1.3427081144613129,0.3832526057490943,0.2369942196531792,0.4536849911529805,0.9449298459468528,0.6091665190304157,0.3621468257092216
TAM,MRC1,PTPRC,TIL,0.3404255319148936,0.6100439220636747,0.82520170798528,0.7861271676300579,1.689879911028974,0.4176019442359228,1.030900968740729,0.3446058376414572
TAM,CD14,ITGA4,TIL,0.799645390070922,1.4379410944834483,0.5693137885125117,0.208092485549133,0.4231925829755057,0.4819421944957553,0.6085260059410759,0.2743763365924122
TAM,SIGLEC1,SPN,TIL,0.375,0.6419812907464733,0.8570373859929518,0.2485549132947977,0.5046565915741044,0.3137119629901899,0.3239800900424593,0.26886288071583
TAM,CCL20,CXCR3,TIL,0.4671985815602837,0.8673622053497094,0.3051918512362304,0.2196531791907514,0.4335142236826833,0.7591578428326133,0.3760138531038794,0.2316887874345885
TAM,ALCAM,CD6,TIL,0.4007092198581561,0.6901256750841426,0.2894075896583816,0.3063583815028902,0.6550727193830629,0.7850719322709521,0.4520825026934414,0.2272057756269845
TAM,CD48,CD2,TIL,0.4654255319148936,0.7937367799143545,0.2593537072327644,0.7745664739884393,1.6569104378190609,0.8352200250531019,1.315150755520984,0.2166174098525643
TAM,F13A1,ITGA4,TIL,0.2570921985815603,0.4560216852354272,0.4007356511438896,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1929849948676234,0.1931314191249716
TAM,SNCA,LAG3,TIL,0.2562056737588653,0.42336222035944393,0.4350628113748184,0.2254335260115607,0.4348850816096209,0.4376656119284795,0.1841139137514471,0.1904120315676845
TAM,ICAM1,IL2RA,TIL,0.4423758865248227,0.7907715402201261,0.2616434891016207,0.2254335260115607,0.4423733929571371,0.6700453333474106,0.3498162893011184,0.175312998873275
TAM,CD47,SIRPG,TIL,0.5877659574468085,1.014170505051293,0.1661669142823673,0.208092485549133,0.4138417350188916,0.9742443663694396,0.4197060814154129,0.1618871801165899
TAM,SPP1,ITGA4,TIL,0.7358156028368794,1.333781019473589,0.3060969685507385,0.208092485549133,0.4231925829755057,0.4819421944957553,0.5644462347547312,0.1475210447518411
TAM,CD58,CD2,TIL,0.3102836879432624,0.5332293656853017,0.17539134363482597,0.7745664739884393,1.6569104378190609,0.8352200250531019,0.8835133017556132,0.1464903624247766
TAM,CCL5,CXCR3,TIL,0.2127659574468085,0.3579287863533243,0.1785452544554189,0.2196531791907514,0.4335142236826833,0.7591578428326133,0.1551672199496464,0.1355440302203759
TAM,SELPLG,SELL,TIL,0.3076241134751773,0.5333052275670953,0.2867546303594034,0.2832369942196532,0.5641506046928784,0.4266302899908413,0.3008644666178499,0.1223382111064488
TAM,CD59,CD2,TIL,0.6320921985815603,1.1094338741361631,0.1300308645306173,0.7745664739884393,1.6569104378190609,0.8352200250531019,1.8382325661262469,0.1086043819309387
TAM,SIRPA,CD47,TIL,0.5106382978723404,0.8854508525181819,0.5525344242103986,0.4913294797687861,1.025062595501646,0.1679515304304459,0.9076425490714332,0.09279900216164164
TAM,FN1,ITGA4,TIL,0.7074468085106383,1.281778808681198,0.1905189944031805,0.208092485549133,0.4231925829755057,0.4819421944957553,0.5424392848490627,0.09181914225579332
TAM,MMP9,CD44,TIL,0.2473404255319149,0.4390504427487917,0.4651045453521434,0.6936416184971098,1.474409052655517,0.1808244605666337,0.6473399473612311,0.08410227852039076
TAM,ICAM1,SPN,TIL,0.4423758865248227,0.7907715402201261,0.2616434891016207,0.2485549132947977,0.5046565915741044,0.3137119629901899,0.3990680702012936,0.08208069256967179
TAM,LGALS3,LAG3,TIL,0.7987588652482269,1.43020171852127,0.1838745536979083,0.2254335260115607,0.4348850816096209,0.4376656119284795,0.6219733910773424,0.08047556906227107
TAM,LGALS1,PTPRC,TIL,0.9946808510638298,1.8265115172602,0.1692187820797295,0.7861271676300579,1.689879911028974,0.4176019442359228,3.086585120281063,0.07066609239772999
TAM,GRN,TNFRSF1B,TIL,0.9671985815602836,1.7630097166131482,0.2128476073749834,0.5375722543352601,1.074358074599465,0.3319649356624952,1.8941037246406507,0.0706579422881524
TAM,LGALS1,CD69,TIL,0.9946808510638298,1.8265115172602,0.1692187820797295,0.4046242774566474,0.8702548954873475,0.4067765265497582,1.5895305895597118,0.06883422840137284
TAM,CD14,ITGB1,TIL,0.799645390070922,1.4379410944834483,0.5693137885125117,0.4508670520231214,0.8888843192072439,0.11097053909961099,1.278163290830038,0.06317705802807533
TAM,THBS1,ITGA4,TIL,0.2225177304964539,0.4119235668925958,0.1251021101028318,0.208092485549133,0.4231925829755057,0.4819421944957553,0.1743229982617611,0.06029198547900835
TAM,HBEGF,CD44,TIL,0.7163120567375887,1.277369806981584,0.3248084466499085,0.6936416184971098,1.474409052655517,0.1808244605666337,1.8833656070024767,0.058733312152955935
TAM,SPP1,CD44,TIL,0.7358156028368794,1.333781019473589,0.3060969685507385,0.6936416184971098,1.474409052655517,0.1808244605666337,1.9665388093719631,0.05534981921926914
TAM,MDK,ITGA4,TIL,0.3262411347517731,0.5757171441207902,0.1142404987216225,0.208092485549133,0.4231925829755057,0.4819421944957553,0.2436392252837587,0.05505731665418826
TAM,LGALS9,CD44,TIL,0.6241134751773051,1.0767082690835121,0.299812696969367,0.6936416184971098,1.474409052655517,0.1808244605666337,1.587508419005782,0.05421346920051342
TAM,ICAM1,ITGB2,TIL,0.4423758865248227,0.7907715402201261,0.2616434891016207,0.3699421965317919,0.7628997712849283,0.1937343829336531,0.6032794271725647,0.05068933990971048
TAM,MIF,CXCR4,TIL,0.7526595744680851,1.365172646171021,0.1505151125084858,0.9132947976878611,1.969168362387087,0.3253921946710304,2.6882547840362356,0.04897644279029326
TAM,APOE,SORL1,TIL,0.9042553191489362,1.645739801500546,0.2777338866364064,0.2485549132947977,0.4845694663863822,0.1754248911823094,0.7974752574239503,0.04872143684083145
TAM,TFF3,CXCR4,TIL,0.27482269503546103,0.5261048789762746,0.1391433371320461,0.9132947976878611,1.969168362387087,0.3253921946710304,1.035989082977567,0.04527615584324755
TAM,C3,ITGB2,TIL,0.425531914893617,0.7329253318671215,0.2316141053454303,0.3699421965317919,0.7628997712849283,0.1937343829336531,0.5591485680503572,0.04487161577782706
