Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TIL,CCL5,SDC1,CAF,0.4971098265895953,1.053343939532475,0.525438491910648,0.383342840844267,0.675959351194531,0.2688966107561264,0.7120176859510633,0.1412886296355836
TIL,ITGB2,THY1,CAF,0.3699421965317919,0.7628997712849283,0.1937343829336531,0.8043354249857387,1.410227352802349,0.5736486167990407,1.075862124912662,0.1111354607963058
TIL,SIRPG,CD47,CAF,0.208092485549133,0.4138417350188916,0.9742443663694396,0.3953223046206503,0.6494080541639654,0.1064023573285488,0.2687521558704578,0.1036618971957667
TIL,LTB,TNFRSF1A,CAF,0.6473988439306358,1.360255941022467,0.4765419755249476,0.5151169423844837,0.8577273125937848,0.1744294058263075,1.1667286727329298,0.08312293364211139
TIL,GNAI2,EDNRA,CAF,0.4046242774566474,0.7921866922029053,0.1149521602545189,0.3998859098687964,0.6679683021586668,0.695721042023305,0.5291555997834649,0.07997463671510383
TIL,COL1A1,ITGA11,CAF,0.2890173410404624,0.5755141143427164,0.09320473411559342,0.2304620650313748,0.38950323841927,0.8378986369353376,0.224164611292486,0.0780961196713763
TIL,TGFB1,VASN,CAF,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.3017683970336566,0.4939258178440993,0.4639682843431399,0.3909860872443172,0.07648825900665725
TIL,LTB,LTBR,CAF,0.6473988439306358,1.360255941022467,0.4765419755249476,0.3091842555618939,0.5081872115204905,0.1593864652866525,0.6912646736223881,0.07595434103963984
TIL,COL1A2,ITGA11,CAF,0.2369942196531792,0.4811389399291199,0.08656169348311495,0.2304620650313748,0.38950323841927,0.8378986369353376,0.1874051752320068,0.0725299249803165
TIL,TGFB1,SDC2,CAF,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.6252139189960069,1.057524624607136,0.3971301918094151,0.8371245239708599,0.06546955469916732
TIL,APOE,LRP1,CAF,0.5260115606936416,1.018266306371322,0.1718419027367195,0.7056474614945807,1.233206563415127,0.3744910905535125,1.255732692321592,0.06435326155866472
TIL,C1QB,LRP1,CAF,0.2832369942196532,0.5490008746387854,0.1556568465649849,0.7056474614945807,1.233206563415127,0.3744910905535125,0.6770314819251955,0.05829210222224194
TIL,COL3A1,DDR2,CAF,0.2427745664739884,0.4806038263525595,0.09493966414384004,0.4831717056474615,0.8155238547796062,0.5842846024478334,0.3919438850888678,0.055471783920814415
TIL,COL1A1,DDR2,CAF,0.2890173410404624,0.5755141143427164,0.09320473411559342,0.4831717056474615,0.8155238547796062,0.5842846024478334,0.4693454890088431,0.05445809101898552
TIL,SLPI,PLSCR4,CAF,0.2138728323699422,0.4071995974598347,0.09955298155221882,0.3422703936109526,0.5705355976767148,0.5188398622981778,0.2323218657104645,0.05165205523992625
TIL,HMGB1,SDC1,CAF,0.861271676300578,1.8009173847775468,0.1646748332843951,0.383342840844267,0.675959351194531,0.2688966107561264,1.2173469469691822,0.04428050454700399
TIL,CALR,LRP1,CAF,0.5375722543352601,1.088164146103757,0.1129779918963234,0.7056474614945807,1.233206563415127,0.3744910905535125,1.34193116704817,0.04230925139380003
TIL,GNAI2,F2R,CAF,0.4046242774566474,0.7921866922029053,0.1149521602545189,0.4495151169423845,0.7684510494019876,0.3222781983488535,0.6087566949456119,0.037046575103135033
