Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TIL,CD6,ALCAM,EMT,0.3063583815028902,0.6550727193830629,0.7850719322709521,0.4125379170879677,0.5829999144546185,0.2444838760603746,0.38190733936188,0.1919374289878102
TIL,CCL5,SDC4,EMT,0.4971098265895953,1.053343939532475,0.525438491910648,0.6845298281092013,1.037254295349216,0.2933462200690104,1.0925855257601251,0.1541353954807499
TIL,SIRPG,CD47,EMT,0.208092485549133,0.4138417350188916,0.9742443663694396,0.6370070778564206,0.9485147611607638,0.1554095393509686,0.3925349944498001,0.1514068681927509
TIL,CCL5,SDC1,EMT,0.4971098265895953,1.053343939532475,0.525438491910648,0.3923154701718908,0.5654301408415704,0.2249280940088689,0.5955924120844621,0.1181858785043565
TIL,LTB,TNFRSF1A,EMT,0.6473988439306358,1.360255941022467,0.4765419755249476,0.7229524772497472,1.085042571245197,0.2206567614434622,1.4759356037985718,0.1051522090112045
TIL,INS,IGF1R,EMT,0.2485549132947977,0.4757977373596906,0.3054475952434851,0.3083923154701719,0.4458271981031567,0.3218255951396559,0.2121235721108925,0.09830085412321132
TIL,LTB,LTBR,EMT,0.6473988439306358,1.360255941022467,0.4765419755249476,0.4378159757330637,0.6217403112740796,0.1950009529828613,0.8457259521837244,0.09292613936370016
TIL,HSP90AA1,EGFR,EMT,0.9190751445086706,1.9539261487818091,0.1600608381024045,0.2386248736097068,0.3184169220074171,0.367846706804034,0.6221631501249102,0.05887785218426315
TIL,ANXA1,EGFR,EMT,0.5895953757225434,1.300410479442426,0.1387813331797023,0.2386248736097068,0.3184169220074171,0.367846706804034,0.4140727022102467,0.0510502563760269
TIL,CALR,ITGA3,EMT,0.5375722543352601,1.088164146103757,0.1129779918963234,0.7259858442871587,1.129576103128108,0.4163849433571546,1.2291642157196068,0.04704233475635567
TIL,TGFB1,ITGB8,EMT,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.2254802831142568,0.3247506435174008,0.2816294060426715,0.2570689339406425,0.04642848160145239
TIL,APOE,LDLR,EMT,0.5260115606936416,1.018266306371322,0.1718419027367195,0.4883720930232558,0.7000401701899104,0.2570210110766676,0.7128273184108315,0.044166979586730035
TIL,GNAI2,EGFR,EMT,0.4046242774566474,0.7921866922029053,0.1149521602545189,0.2386248736097068,0.3184169220074171,0.367846706804034,0.2522456481864863,0.04228477358963435
TIL,HMGB1,SDC1,EMT,0.861271676300578,1.8009173847775468,0.1646748332843951,0.3923154701718908,0.5654301408415704,0.2249280940088689,1.0182929705188009,0.03703999638188723
TIL,GNAI2,IGF1R,EMT,0.4046242774566474,0.7921866922029053,0.1149521602545189,0.3083923154701719,0.4458271981031567,0.3218255951396559,0.3531783733594289,0.03699454738649964
TIL,GNAI2,CAV1,EMT,0.4046242774566474,0.7921866922029053,0.1149521602545189,0.8179979777553084,1.264084753867124,0.3142967367603966,1.0013911198301209,0.03612908885155345
TIL,TGFB1,SDC2,EMT,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.3882709807886754,0.553436742689322,0.2078310373720496,0.4380942618181525,0.03426232945780152
TIL,APOE,LRP1,EMT,0.5260115606936416,1.018266306371322,0.1718419027367195,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.662030044235672,0.03392743762816822
TIL,COL1A1,ITGA2,EMT,0.2890173410404624,0.5755141143427164,0.09320473411559342,0.4853387259858443,0.7144431153883449,0.3443558975851486,0.4111720968009745,0.032095599875560286
TIL,HLA-A,APLP2,EMT,0.9884393063583816,2.1132772951936616,0.1723569412108382,0.8533872598584429,1.337326196354447,0.1837034467412703,2.826141087023553,0.031662564170213466
TIL,C1QB,LRP1,EMT,0.2832369942196532,0.5490008746387854,0.1556568465649849,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.3569351858628621,0.03073195692742065
TIL,SPP1,ITGB5,EMT,0.2196531791907514,0.4270852895304256,0.0980142246209753,0.6248736097067745,0.9281075175092379,0.3094984032281217,0.3963810678307975,0.0303352460138343
TIL,VIM,CD44,EMT,0.8497109826589595,1.7869350764531682,0.1639725797096645,0.9403437815975731,1.4963060450045351,0.1835099512874155,2.6738017569275163,0.030090600114992382
TIL,GNAI2,F2R,EMT,0.4046242774566474,0.7921866922029053,0.1149521602545189,0.435793731041456,0.6230668591062298,0.2613059933484363,0.4935852741366178,0.0300376884228557
TIL,TGFB1,TGFBR2,EMT,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.5389282103134481,0.7796019646780893,0.1811197864039511,0.6171240918482996,0.029858801993996004
TIL,COL1A2,ITGA2,EMT,0.2369942196531792,0.4811389399291199,0.08656169348311495,0.4853387259858443,0.7144431153883449,0.3443558975851486,0.3437464031776062,0.029808029655868564
TIL,HLA-B,CANX,EMT,1.0,2.1466349511735814,0.1755924746626864,0.7492416582406471,1.137957382607068,0.1585288339673996,2.4427790904503386,0.02783647026172584
TIL,TGFB1,ITGAV,EMT,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.4841816691961298,0.02757490205007774
TIL,COL1A1,ITGA5,EMT,0.2890173410404624,0.5755141143427164,0.09320473411559342,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.5341617048347358,0.02706867883125106
TIL,LRPAP1,LDLR,EMT,0.2774566473988439,0.5414647712517787,0.09775079341644156,0.4883720930232558,0.7000401701899104,0.2570210110766676,0.37904709061893604,0.025124007757440267
TIL,BSG,SLC16A1,EMT,0.4219653179190752,0.8284281580823519,0.09640620494978304,0.3569261880687563,0.5021392094696189,0.2418368395885288,0.4159862604018447,0.0233145719217795
TIL,TGFB1,TGFBR1,EMT,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.2032355915065723,0.2748775571619151,0.1373443228763288,0.2175899632360092,0.022642125541256133
TIL,CALR,LRP1,EMT,0.5375722543352601,1.088164146103757,0.1129779918963234,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.7074744133957839,0.02230569908953383
TIL,COL3A1,DDR1,EMT,0.2427745664739884,0.4806038263525595,0.09493966414384004,0.2679474216380182,0.3604256996201139,0.23431234448046104,0.17322197035322504,0.02224553528973072
TIL,COL1A1,DDR1,EMT,0.2890173410404624,0.5755141143427164,0.09320473411559342,0.2679474216380182,0.3604256996201139,0.23431234448046104,0.2074300773032238,0.02183901976730271
TIL,LGALS9,CD44,EMT,0.2196531791907514,0.4185834767301125,0.1165558440190037,0.9403437815975731,1.4963060450045351,0.1835099512874155,0.6263289865702827,0.021389157258190968
TIL,LGALS1,ITGB1,EMT,0.6705202312138728,1.3630631693529942,0.1262821981881821,0.7977755308392316,1.249247260359719,0.1559591489638018,1.702802930011464,0.01969486415870705
TIL,LRPAP1,LRP1,EMT,0.2774566473988439,0.5414647712517787,0.09775079341644156,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.3520355571238499,0.01929933208328945
TIL,CALR,ITGAV,EMT,0.5375722543352601,1.088164146103757,0.1129779918963234,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.6655844689007585,0.0188973692064774
TIL,APOE,SORL1,EMT,0.5260115606936416,1.018266306371322,0.1718419027367195,0.2072800808897877,0.2926044769644769,0.1059293085751728,0.2979492799863304,0.0182030939411428
TIL,SPP1,CD44,EMT,0.2196531791907514,0.4270852895304256,0.0980142246209753,0.9403437815975731,1.4963060450045351,0.1835099512874155,0.6390503004568879,0.017986585585668968
