Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TIL,CCL5,SDC4,ETC,0.4971098265895953,1.053343939532475,0.525438491910648,0.7413554633471646,1.154555401523691,0.3265201835420767,1.216143935049464,0.1715662728187368
TIL,CCL5,SDC1,ETC,0.4971098265895953,1.053343939532475,0.525438491910648,0.5280774550484094,0.7853489303746237,0.3124117822551014,0.8272425362284218,0.1641531757232382
TIL,SIRPG,CD47,ETC,0.208092485549133,0.4138417350188916,0.9742443663694396,0.6757952973720609,1.023205037623627,0.1676471785890602,0.4234449480502321,0.1633293192781232
TIL,TGFB1,ITGB6,ETC,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.4589211618257261,0.687053190553333,0.6948221565084813,0.5438635297010544,0.1145460559784288
TIL,CD6,ALCAM,ETC,0.3063583815028902,0.6550727193830629,0.7850719322709521,0.2370677731673582,0.3404538887911588,0.142771009545267,0.2230220547549633,0.1120855123359773
TIL,LTB,LTBR,ETC,0.6473988439306358,1.360255941022467,0.4765419755249476,0.4721991701244813,0.6936462872948714,0.2175533492083588,0.9435364832610256,0.1036733028138201
TIL,HLA-A,ERBB2,ETC,0.9884393063583816,2.1132772951936616,0.1723569412108382,0.4453665283540802,0.6595115805324596,0.5049075806222935,1.393730849056533,0.08702432619022317
TIL,APOE,LRP5,ETC,0.5260115606936416,1.018266306371322,0.1718419027367195,0.3485477178423236,0.4954503072955465,0.4792546829701052,0.5045003544003724,0.08235603661706617
TIL,INS,INSR,ETC,0.2485549132947977,0.4757977373596906,0.3054475952434851,0.4655601659751037,0.6941689362327029,0.2637923366078506,0.3302840092049034,0.08057473486052792
TIL,TGFB1,ITGB8,ETC,0.3872832369942196,0.7915886821849154,0.1648566541890789,0.3806362378976487,0.5505066550219346,0.4774089455131688,0.4357748375828391,0.07870404143723729
TIL,LTB,CD40,ETC,0.6473988439306358,1.360255941022467,0.4765419755249476,0.2517289073305671,0.3542258953825807,0.1372257087773796,0.4818378786581581,0.0653938103535836
TIL,APOE,LDLR,ETC,0.5260115606936416,1.018266306371322,0.1718419027367195,0.6630705394190871,1.0204286323031557,0.3746522127937143,1.039068094330875,0.0643809491109942
TIL,INS,IGF1R,ETC,0.2485549132947977,0.4757977373596906,0.3054475952434851,0.2013831258644537,0.281173720626979,0.2029685500647076,0.1337818200793224,0.06199625552732184
TIL,LTB,TNFRSF1A,ETC,0.6473988439306358,1.360255941022467,0.4765419755249476,0.4260027662517289,0.6211307286389728,0.1263145784752087,0.8448967637827762,0.060194198764176976
TIL,HMGB1,SDC1,ETC,0.861271676300578,1.8009173847775468,0.1646748332843951,0.5280774550484094,0.7853489303746237,0.3124117822551014,1.4143485418281108,0.05144635815893955
TIL,COL3A1,DDR1,ETC,0.2427745664739884,0.4806038263525595,0.09493966414384004,0.5504840940525588,0.8095867361470149,0.5263114323058258,0.3890904831565354,0.04996783061817851
TIL,COL1A1,DDR1,ETC,0.2890173410404624,0.5755141143427164,0.09320473411559342,0.5504840940525588,0.8095867361470149,0.5263114323058258,0.4659285934372597,0.04905471711006164
