Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
TIL,CD28,CD86,TAM,0.2196531791907514,0.4309028426921909,0.8573298909828515,0.5744680851063829,1.005719718043936,0.521024729136108,0.4333674854567208,0.4466900742296292
TIL,CCL5,CCR1,TAM,0.4971098265895953,1.053343939532475,0.525438491910648,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.5744974808044758,0.3749574014048794
TIL,PTPRC,MRC1,TAM,0.7861271676300579,1.689879911028974,0.4176019442359228,0.3404255319148936,0.6100439220636747,0.82520170798528,1.030900968740729,0.3446058376414572
TIL,SPN,SIGLEC1,TAM,0.2485549132947977,0.5046565915741044,0.3137119629901899,0.375,0.6419812907464733,0.8570373859929518,0.3239800900424593,0.26886288071583
TIL,CD6,ALCAM,TAM,0.3063583815028902,0.6550727193830629,0.7850719322709521,0.4007092198581561,0.6901256750841426,0.2894075896583816,0.4520825026934414,0.2272057756269845
TIL,CD2,CD48,TAM,0.7745664739884393,1.6569104378190609,0.8352200250531019,0.4654255319148936,0.7937367799143545,0.2593537072327644,1.315150755520984,0.2166174098525643
TIL,CCL4,CCR1,TAM,0.2716763005780347,0.5757903337690756,0.2453180729306648,0.3173758865248227,0.5454035089996012,0.7136085520522577,0.3140380684857054,0.1750610748163019
TIL,SIRPG,CD47,TAM,0.208092485549133,0.4138417350188916,0.9742443663694396,0.5877659574468085,1.014170505051293,0.1661669142823673,0.4197060814154129,0.1618871801165899
TIL,HLA-F,LILRB1,TAM,0.4739884393063584,0.9778213473882822,0.2045904547928295,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.3523024692947359,0.135497396918439
TIL,HLA-F,LILRB2,TAM,0.4739884393063584,0.9778213473882822,0.2045904547928295,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.3962396937706079,0.1282468617235211
TIL,RPS19,C5AR1,TAM,1.0,2.1466349511735814,0.1695103116428407,0.6790780141843972,1.2180433538447841,0.7458677335571943,2.614694435407902,0.1264322719596193
TIL,HLA-C,LILRB1,TAM,0.9942196531791908,2.1282419372402543,0.1765696034385162,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.7667912873338227,0.1169395789508676
TIL,HLA-B,LILRB1,TAM,1.0,2.1466349511735814,0.1755924746626864,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.7734181668182919,0.1162924402282273
TIL,HLA-A,LILRB1,TAM,0.9884393063583816,2.1132772951936616,0.1723569412108382,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.7613996272323043,0.1141495916734797
TIL,B2M,LILRB1,TAM,1.0,2.1466349511735814,0.1687928745736153,0.2180851063829787,0.3602932889895688,0.6622860145437632,0.7734181668182919,0.11178916018474498
TIL,HLA-C,LILRB2,TAM,0.9942196531791908,2.1282419372402543,0.1765696034385162,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.8624212753528492,0.1106820821122197
TIL,HLA-B,LILRB2,TAM,1.0,2.1466349511735814,0.1755924746626864,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.869874622764343,0.1100695721144938
TIL,HLA-A,LILRB2,TAM,0.9884393063583816,2.1132772951936616,0.1723569412108382,0.2331560283687943,0.4052270845067422,0.6268467502718308,0.8563571970856214,0.1080413884848069
TIL,LTB,CD40,TAM,0.6473988439306358,1.360255941022467,0.4765419755249476,0.3457446808510639,0.5837255400194371,0.2261329620583266,0.7940161337379872,0.107761848470583
TIL,ICAM3,ITGB2,TAM,0.3583815028901734,0.7347707266388213,0.2774232031331537,0.8297872340425532,1.4882818191181961,0.3779413373956201,1.0935459136768242,0.1048496964167209
