Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,A2M,LRP1,CAF,0.5607529948659441,0.9703532640188643,0.2586517022085308,0.7056474614945807,1.233206563415127,0.3744910905535125,1.196646014019355,0.09686275803359506
CAF,A2M,LRP1,EMT,0.5607529948659441,0.9703532640188643,0.2586517022085308,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.6308791818830726,0.051066645296312385
CAF,A2M,LRP1,TAM,0.5607529948659441,0.9703532640188643,0.2586517022085308,0.4237588652482269,0.7487358982195328,0.2273706055247526,0.72653832272542,0.05880979415116164
Endo,A2M,LRP1,CAF,0.927536231884058,1.530399170744407,0.4079342701771647,0.7056474614945807,1.233206563415127,0.3744910905535125,1.8872983020070702,0.1527677497127976
Endo,A2M,LRP1,EMT,0.927536231884058,1.530399170744407,0.4079342701771647,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.9949953409699608,0.08054010277710152
Endo,A2M,LRP1,TAM,0.927536231884058,1.530399170744407,0.4079342701771647,0.4237588652482269,0.7487358982195328,0.2273706055247526,1.145864797741742,0.09275226202447996
TAM,A2M,LRP1,CAF,0.4078014184397163,0.6937328286842135,0.1849173735696555,0.7056474614945807,1.233206563415127,0.3744910905535125,0.8555158775899138,0.06924990889039156
TAM,A2M,LRP1,EMT,0.4078014184397163,0.6937328286842135,0.1849173735696555,0.4337714863498484,0.6501541297137408,0.1974340198045219,0.4510332634870364,0.03650898039555155
TAM,A2M,LRP1,TAM,0.4078014184397163,0.6937328286842135,0.1849173735696555,0.4237588652482269,0.7487358982195328,0.2273706055247526,0.5194226726092519,0.04204477520057946
Endo,ACE,BDKRB2,Endo,0.2391304347826087,0.334120239363677,0.4423594397705357,0.2463768115942029,0.3447590235040167,0.5101218846200508,0.1151909674559496,0.2256572310952155
EMT,ADAM10,EPHA3,CAF,0.3225480283114257,0.4416711337256872,0.1376451971499223,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.1677402526854357,0.09082404600774603
ETC,ADAM10,EPHA3,CAF,0.4517289073305671,0.6519870305879621,0.2031893789559042,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2476151618420589,0.1340728327954362
Endo,ADAM10,EPHA3,CAF,0.4420289855072464,0.7032619017039997,0.2191690054351553,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2670886098006459,0.1446168572916728
TAM,ADAM10,EPHA3,CAF,0.3572695035460993,0.6243190156496724,0.1945667430620828,0.22418710781517398,0.3797854101771924,0.6598417372225566,0.2371072534399319,0.1283832577478195
CAF,ADAM12,ITGB1,CAF,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.8813462635482031,1.56105546480237,0.1948860641933811,0.5832677394775116,0.08456939537183343
CAF,ADAM12,ITGB1,DC,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3173233275249001,0.04600947408851806
CAF,ADAM12,ITGB1,EMT,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.7977755308392316,1.249247260359719,0.1559591489638018,0.4667647255510773,0.06767734258046744
CAF,ADAM12,ITGB1,ETC,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.6669432918395574,1.032654568561931,0.1289191762086603,0.3858377293099548,0.055943542340630516
CAF,ADAM12,ITGB1,Endo,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.8260869565217391,1.306931501856276,0.1631605937841289,0.4883176798821592,0.07080235737708403
CAF,ADAM12,ITGB1,TAM,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.6347517730496454,1.122036816485873,0.14007787934215804,0.4192342247398055,0.060785780707132114
CAF,ADAM12,ITGB1,TIL,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.3321198760779795,0.04815486132670964
CAF,ADAM12,SDC4,EMT,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.6845298281092013,1.037254295349216,0.2933462200690104,0.3875563564221396,0.1272954665513305
CAF,ADAM12,SDC4,ETC,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.7413554633471646,1.154555401523691,0.3265201835420767,0.4313843641894739,0.1416910676150406
CAF,ADAM12,SDC4,TAM,0.2213348545350827,0.3736367814140116,0.4339427537923753,0.2810283687943262,0.5054014173944403,0.1429327370105176,0.1888365589173382,0.06202462550542539
EMT,ADAM15,ITGA5,EMT,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.4181433645874372,0.047212602189404984
EMT,ADAM15,ITGA5,Endo,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.5105492383070735,0.057646157102309276
EMT,ADAM15,ITGA5,TAM,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.2340425531914894,0.4213090937582428,0.1318296655729148,0.1898057096204704,0.02143097851243105
ETC,ADAM15,ITGA5,EMT,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.6198179979777553,0.9281470106859008,0.2904217161081133,0.5275125511588619,0.05956148617198397
ETC,ADAM15,ITGA5,Endo,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.7028985507246377,1.1332590433671341,0.3546022692315736,0.6440880186088924,0.07272403192992657
ETC,ADAM15,ITGA5,TAM,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.2340425531914894,0.4213090937582428,0.1318296655729148,0.2394511131491973,0.02703644516774165
Endo,ADAM15,ITGA5,EMT,0.6811594202898551,1.0847471643966808,0.391425337600659,0.6198179979777553,0.9281470106859008,0.2904217161081133,1.0068048379847858,0.113678418274181
Endo,ADAM15,ITGA5,Endo,0.6811594202898551,1.0847471643966808,0.391425337600659,0.7028985507246377,1.1332590433671341,0.3546022692315736,1.2292995338193942,0.1388003129479285
Endo,ADAM15,ITGA5,TAM,0.6811594202898551,1.0847471643966808,0.391425337600659,0.2340425531914894,0.4213090937582428,0.1318296655729148,0.4570138447887891,0.05160147135266017
EMT,ADAM15,ITGAV,CAF,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.3529710763373627,0.03483038383239584
EMT,ADAM15,ITGAV,EMT,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.2755606536754237,0.02719169920723884
EMT,ADAM15,ITGAV,ETC,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.3162425523173428,0.03120609653245865
EMT,ADAM15,ITGAV,Endo,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.4202898550724637,0.643227026443107,0.1758988555131502,0.2897828791494259,0.028595116102896636
EMT,ADAM15,ITGAV,TAM,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.2894175707347628,0.02855906829854976
ETC,ADAM15,ITGAV,CAF,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.4452938602714007,0.04394058638571907
ETC,ADAM15,ITGAV,EMT,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.3476360400044805,0.034303934568727386
ETC,ADAM15,ITGAV,ETC,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.3989586579294565,0.03936833389617192
ETC,ADAM15,ITGAV,Endo,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4202898550724637,0.643227026443107,0.1758988555131502,0.3655782174448655,0.03607442787237776
ETC,ADAM15,ITGAV,TAM,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.3651173593036182,0.03602895143810871
Endo,ADAM15,ITGAV,CAF,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4660581859669138,0.7834849888969178,0.2142542324764872,0.8498831200532964,0.0838645352794791
Endo,ADAM15,ITGAV,EMT,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4256825075834176,0.6116581503663095,0.1672659328537099,0.6634944441899728,0.06547212423635254
Endo,ADAM15,ITGAV,ETC,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4688796680497925,0.7019591949632479,0.1919599362821375,0.7614482462585601,0.07513798286503666
Endo,ADAM15,ITGAV,Endo,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4202898550724637,0.643227026443107,0.1758988555131502,0.697738692997469,0.06885126890280438
Endo,ADAM15,ITGAV,TAM,0.6811594202898551,1.0847471643966808,0.391425337600659,0.3643617021276596,0.6424161564359209,0.1756771124887274,0.6968591040564796,0.06876447306460907
EMT,ADAM15,ITGB1,CAF,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.8813462635482031,1.56105546480237,0.1948860641933811,0.7032775808626375,0.03168178449023324
EMT,ADAM15,ITGB1,DC,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.3826139644426512,0.01723628549278817
EMT,ADAM15,ITGB1,EMT,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.7977755308392316,1.249247260359719,0.1559591489638018,0.5628035716695611,0.02535360425693878
EMT,ADAM15,ITGB1,ETC,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.6669432918395574,1.032654568561931,0.1289191762086603,0.4652254985295657,0.02095783284559706
EMT,ADAM15,ITGB1,Endo,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.8260869565217391,1.306931501856276,0.1631605937841289,0.5887911388818063,0.0265243119920466
EMT,ADAM15,ITGB1,TAM,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.6347517730496454,1.122036816485873,0.14007787934215804,0.5054934662663637,0.022771854947840182
EMT,ADAM15,ITGB1,TIL,0.3255813953488372,0.4505141532249608,0.1625656745717647,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.4004549663825973,0.01804000054632065
ETC,ADAM15,ITGB1,CAF,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.8813462635482031,1.56105546480237,0.1948860641933811,0.8872262058246919,0.03996844235038309
ETC,ADAM15,ITGB1,DC,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.4826901144091787,0.02174459217300789
ETC,ADAM15,ITGB1,EMT,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.7977755308392316,1.249247260359719,0.1559591489638018,0.7100099464346475,0.03198506922582834
ETC,ADAM15,ITGB1,ETC,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.6669432918395574,1.032654568561931,0.1289191762086603,0.5869094439310822,0.02643954396370696
ETC,ADAM15,ITGB1,Endo,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.8260869565217391,1.306931501856276,0.1631605937841289,0.7427947973722432,0.03346198617898258
ETC,ADAM15,ITGB1,TAM,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.6347517730496454,1.122036816485873,0.14007787934215804,0.637709863571316,0.028728039986971564
ETC,ADAM15,ITGB1,TIL,0.3897648686030429,0.5683502129355888,0.2050862000616077,0.4508670520231214,0.8888843192072439,0.11097053909961099,0.5051975920965429,0.022758526182727282
Endo,ADAM15,ITGB1,CAF,0.6811594202898551,1.0847471643966808,0.391425337600659,0.8813462635482031,1.56105546480237,0.1948860641933811,1.693350488910314,0.07628334347055793
Endo,ADAM15,ITGB1,DC,0.6811594202898551,1.0847471643966808,0.391425337600659,0.4705882352941176,0.8492828953402398,0.1060265984082587,0.921257212490928,0.04150149707660216
Endo,ADAM15,ITGB1,EMT,0.6811594202898551,1.0847471643966808,0.391425337600659,0.7977755308392316,1.249247260359719,0.1559591489638018,1.355117423305527,0.0610463625350676
Endo,ADAM15,ITGB1,ETC,0.6811594202898551,1.0847471643966808,0.391425337600659,0.6669432918395574,1.032654568561931,0.1289191762086603,1.120169115048833,0.0504622320706737
Endo,ADAM15,ITGB1,Endo,0.6811594202898551,1.0847471643966808,0.391425337600659,0.8260869565217391,1.306931501856276,0.1631605937841289,1.41769024069929,0.06386519050507666
Endo,ADAM15,ITGB1,TAM,0.6811594202898551,1.0847471643966808,0.391425337600659,0.6347517730496454,1.122036816485873,0.14007787934215804,1.217126255031729,0.05483003121188857
