ENSG00000000971 CFH
ENSG00000001617 SEMA3F
ENSG00000001626 CFTR
ENSG00000002586 CD99
ENSG00000002745 WNT16
ENSG00000003436 TFPI
ENSG00000004399 PLXND1
ENSG00000004468 CD38
ENSG00000004948 CALCR
ENSG00000005483 KMT2E
ENSG00000005844 ITGAL
ENSG00000005884 ITGA3
ENSG00000005893 LAMP2
ENSG00000005961 ITGA2B
ENSG00000006016 CRLF1
ENSG00000006128 TAC1
ENSG00000006210 CX3CL1
ENSG00000006327 TNFRSF12A
ENSG00000006606 CCL26
ENSG00000006638 TBXA2R
ENSG00000006831 ADIPOR2
ENSG00000007908 SELE
ENSG00000008277 ADAM22
ENSG00000008438 PGLYRP1
ENSG00000008517 IL32
ENSG00000010278 CD9
ENSG00000010310 GIPR
ENSG00000010319 SEMA3G
ENSG00000010610 CD4
ENSG00000011201 ANOS1
ENSG00000011422 PLAUR
ENSG00000011465 DCN
ENSG00000011600 TYROBP
ENSG00000012124 CD22
ENSG00000012171 SEMA3B
ENSG00000012223 LTF
ENSG00000013583 HEBP1
ENSG00000013725 CD6
ENSG00000016402 IL20RA
ENSG00000017427 IGF1
ENSG00000018236 CNTN1
ENSG00000019169 MARCO
ENSG00000019582 CD74
ENSG00000019991 HGF
ENSG00000021645 NRXN3
ENSG00000026025 VIM
ENSG00000026103 FAS
ENSG00000026508 CD44
ENSG00000026751 SLAMF7
ENSG00000027697 IFNGR1
ENSG00000028137 TNFRSF1B
ENSG00000030304 MUSK
ENSG00000030582 GRN
ENSG00000034971 MYOC
ENSG00000035862 TIMP2
ENSG00000037280 FLT4
ENSG00000038427 VCAN
ENSG00000039068 CDH1
ENSG00000040608 RTN4R
ENSG00000041982 TNC
ENSG00000042832 TG
ENSG00000042980 ADAM28
ENSG00000044012 GUCA2B
ENSG00000044524 EPHA3
ENSG00000046604 DSG2
ENSG00000047457 CP
ENSG00000048462 TNFRSF17
ENSG00000049089 COL9A2
ENSG00000049130 KITLG
ENSG00000049247 UTS2
ENSG00000049249 TNFRSF9
ENSG00000049323 LTBP1
ENSG00000053747 LAMA3
ENSG00000056291 NPFFR2
ENSG00000056736 IL17RB
ENSG00000057019 DCBLD2
ENSG00000057593 F7
ENSG00000058085 LAMC2
ENSG00000060491 OGFR
ENSG00000060718 COL11A1
ENSG00000061492 WNT8A
ENSG00000062524 LTK
ENSG00000063660 GPC1
ENSG00000064300 NGFR
ENSG00000064309 CDON
ENSG00000064547 LPAR2
ENSG00000064989 CALCRL
ENSG00000065320 NTN1
ENSG00000065325 GLP2R
ENSG00000065361 ERBB3
ENSG00000065978 YBX1
ENSG00000066056 TIE1
ENSG00000066294 CD84
ENSG00000066468 FGFR2
ENSG00000067141 NEO1
ENSG00000067182 TNFRSF1A
ENSG00000068078 FGFR3
ENSG00000069206 ADAM7
ENSG00000069482 GAL
ENSG00000069493 CLEC2D
ENSG00000069702 TGFBR3
ENSG00000069764 PLA2G10
ENSG00000070018 LRP6
ENSG00000070019 GUCY2C
ENSG00000070031 SCT
ENSG00000070193 FGF10
ENSG00000070388 FGF22
ENSG00000070495 JMJD6
ENSG00000070886 EPHA8
ENSG00000071677 PRLH
ENSG00000072071 ADGRL1
ENSG00000072274 TFRC
ENSG00000072571 HMMR
ENSG00000073008 PVR
ENSG00000073060 SCARB1
ENSG00000073670 ADAM11
ENSG00000073754 CD5L
ENSG00000073756 PTGS2
ENSG00000073849 ST6GAL1
ENSG00000074181 NOTCH3
ENSG00000074527 NTN4
ENSG00000074660 SCARF1
ENSG00000074800 ENO1
ENSG00000075073 TACR2
ENSG00000075213 SEMA3A
ENSG00000075223 SEMA3C
ENSG00000075388 FGF4
ENSG00000076356 PLXNA2
ENSG00000076662 ICAM3
ENSG00000076706 MCAM
ENSG00000076716 GPC4
ENSG00000077238 IL4R
ENSG00000077782 FGFR1
ENSG00000077942 FBLN1
ENSG00000077943 ITGA8
ENSG00000078098 FAP
ENSG00000078401 EDN1
ENSG00000078549 ADCYAP1R1
ENSG00000078579 FGF20
ENSG00000079385 CEACAM1
ENSG00000080224 EPHA6
ENSG00000080293 SCTR
ENSG00000080573 COL5A3
ENSG00000080815 PSEN1
ENSG00000080824 HSP90AA1
ENSG00000081041 CXCL2
ENSG00000081138 CDH7
ENSG00000081237 PTPRC
ENSG00000081479 LRP2
ENSG00000081985 IL12RB2
ENSG00000082556 OPRK1
ENSG00000082781 ITGB5
ENSG00000083457 ITGAE
ENSG00000084234 APLP2
ENSG00000084674 APOB
ENSG00000085063 CD59
ENSG00000085117 CD82
ENSG00000085514 PILRA
ENSG00000085741 WNT11
ENSG00000086548 CEACAM6
ENSG00000087245 MMP2
ENSG00000087303 NID2
ENSG00000087460 GNAS
ENSG00000087494 PTHLH
ENSG00000088053 GP6
ENSG00000088812 ATRN
ENSG00000088827 SIGLEC1
ENSG00000088926 F11
ENSG00000089012 SIRPG
ENSG00000089169 RPH3A
ENSG00000089692 LAG3
ENSG00000090339 ICAM1
ENSG00000090520 DNAJB11
ENSG00000090534 THPO
ENSG00000090554 FLT3LG
ENSG00000090659 CD209
ENSG00000090776 EFNB1
ENSG00000090863 GLG1
ENSG00000090932 DLL3
ENSG00000091129 NRCAM
ENSG00000091136 LAMB1
ENSG00000091181 IL5RA
ENSG00000091409 ITGA6
ENSG00000091513 TF
ENSG00000091622 PITPNM3
ENSG00000091879 ANGPT2
ENSG00000091972 CD200
ENSG00000092421 SEMA6A
ENSG00000092445 TYRO3
