LR,Pval_PAAD-US,Pval_PACA-AU,Pval_PACA-CA,HR_PAAD-US,HR_PACA-AU,HR_PACA-CA,meta_Pval,adjPval
ICOSLG->CTLA4,1.76194962649312e-4,0.0903920076028778,0.0012503799178182895,0.3143092788971972,0.6284593744642132,0.5531747208197839,1.290150873742121e-4,0.004378880297591773
ICAM4->ITGAL,2.2873388973643216e-4,0.4766673290729704,0.3118497288174733,0.3510392542072886,1.179549227491197,0.8128522435648646,0.08178241201296445,0.18982081641901263
ICOSLG->CD28,2.53420855117481e-4,0.05566003035286382,0.005986328998197399,0.32079126756430637,0.6076001650250876,0.6053206554156617,3.952902208606002e-5,0.002226908838712128
SHH->SMO,2.819635565262102e-4,0.07933385649118707,0.002378124517908531,0.30368279566030015,0.524763317691432,0.5999171243802325,9.187430979964996e-5,0.003790785045769184
CSF2->CSF2RB,3.8049029721998195e-4,0.3923244646831452,0.9806849373249067,0.353603640328196,1.1877144615717965,0.9312709286149982,0.40571894427557215,0.3615527100047982
TNFSF13->TNFRSF17,5.325274869196761e-4,0.6120368436443192,0.269474941379666,0.27894197218573485,0.8316271492459325,0.7887183208337346,0.11437206474882809,0.21349858404256322
ICAM5->ITGAL,5.866221607705446e-4,0.2609553480248089,0.3345171423692619,0.3868500421349679,1.290980439286082,0.8373141402519697,0.035295289237307674,0.1328075277720009
ICOS->ICOSLG,6.467525804163543e-4,0.0903920076028778,0.22000217197058902,0.3289128223411562,0.6284593744642132,0.8186067834658972,0.005015351593303744,0.049596277438711686
ICOSLG->ICOS,6.467525804163543e-4,0.0903920076028778,0.22000217197058902,0.3289128223411562,0.6284593744642132,0.8186067834658972,0.005015351593303744,0.049596277438711686
NXPH3->NRXN2,6.667249153795574e-4,0.7152729565325522,0.46991535961322084,0.36640814780692804,0.9287284295634424,1.1698858239267413,0.2747252944331926,0.3068795834435197
TNFSF13->TNFRSF13B,6.851302845860552e-4,0.8088556000918157,0.2528793017817905,0.2832104392136145,0.9269593642121272,0.7853748382344542,0.1997437447196184,0.26436252211519795
ALKAL1->LTK,7.126675774107305e-4,0.5701980989757932,0.2669101379925751,0.26796986932873407,0.8458004954193414,0.7980433954718392,0.0980172077511334,0.20398565187796838
