Cohort,LR,Pval,HR
PAAD-US,ICOSLG->CTLA4,1.76194962649312e-4,3.1815796323565597
PAAD-US,ICAM4->ITGAL,2.2873388973643216e-4,2.848684265405544
PAAD-US,ICOSLG->CD28,2.53420855117481e-4,3.1172918377509706
PAAD-US,SHH->SMO,2.819635565262102e-4,3.2929096224423624
PAAD-US,CSF2->CSF2RB,3.8049029721998195e-4,2.828025183993732
PAAD-US,TNFSF13->TNFRSF17,5.325274869196761e-4,3.5849750116993695
PAAD-US,ICAM5->ITGAL,5.866221607705446e-4,2.5849809773346504
PAAD-US,ICOS->ICOSLG,6.467525804163543e-4,3.0403192945843145
PAAD-US,ICOSLG->ICOS,6.467525804163543e-4,3.0403192945843145
PAAD-US,NXPH3->NRXN2,6.667249153795574e-4,2.729196951501557
PAAD-US,TNFSF13->TNFRSF13B,6.851302845860552e-4,3.5309432900025954
PAAD-US,ALKAL1->LTK,7.126675774107305e-4,3.731762837758608
PAAD-US,ALKAL2->LTK,7.126675774107305e-4,3.731762837758608
PAAD-US,GDNF->GFRA2,8.825004360798472e-4,2.55356164260581
PAAD-US,QRFP->P2RY14,0.0012625712067714234,2.5539092771327145
PAAD-US,CCL22->ACKR2,0.0015885075561111739,2.2494310376514286
PAAD-US,IL20->IL20RB,0.0016927963156737613,0.35320363700549334
PAAD-US,IL26->IL20RB,0.0016927963156737613,0.35320363700549334
PAAD-US,TNFSF13->FAS,0.0017947395215340833,2.7986888847591063
PAAD-US,DHH->PTCH2,0.001956439772643037,2.35308182115905
PAAD-US,DKK4->KREMEN2,0.001986500191439755,3.0063663450190288
PAAD-US,GHRL->GHSR,0.002004713308797923,2.104190171854239
PAAD-US,IL3->CSF2RB,0.0020307239977160885,2.3979322367389293
PAAD-US,IL5->CSF2RB,0.0020307239977160885,2.3979322367389293
PAAD-US,GRN->TNFRSF1B,0.002126488489775813,2.3288644263194334
PAAD-US,IL19->IL20RB,0.0022049641700547795,0.37576348543105786
PAAD-US,CORT->SSTR5,0.002307434173199341,2.8569106340478183
PAAD-US,IL24->IL20RB,0.002342005459372354,0.39345926109190626
PAAD-US,CCL21->CCR7,0.002480475357360956,2.235917543559073
PAAD-US,TNFSF13->TNFRSF14,0.002504927842269411,2.5176792051876573
PAAD-US,ANGPT1->TIE1,0.0027457436581026506,2.3029467189083843
PAAD-US,RELN->LRP8,0.0027599376884970273,2.895138600015584
PAAD-US,MMRN2->CLEC14A,0.002874232506110741,1.9780480073356497
PAAD-US,CCL26->CCR2,0.002909229920840195,2.161623550387987
PAAD-US,CCL16->CCR2,0.0031408020390955027,2.147454830525507
PAAD-US,DEFB103B->CCR2,0.0031408020390955027,2.147454830525507
PAAD-US,DEFB106A->CCR2,0.0031408020390955027,2.147454830525507
PAAD-US,CXCL16->CXCR6,0.003141628796545559,2.8253586332665406
PAAD-US,CD34->SELP,0.003178844273641346,2.2343409674719497
PAAD-US,SEMA6B->PLXNA2,0.003201635008905024,2.823088318697311
PAAD-US,LAMA1->ITGA7,0.0032117110285131423,2.7186470666541305
PAAD-US,CSF2->CSF2RA,0.003297268086556837,2.0876736630702224
PAAD-US,GDF3->TDGF1,0.003437375667842968,2.2876323013464632
PAAD-US,DSC3->DSG3,0.00344095406464473,0.46685840971270154
PAAD-US,CCL16->CCR5,0.003474069207266006,2.226796743913751
PAAD-US,CCL4L1->CCR5,0.003474069207266006,2.226796743913751
PAAD-US,IL16->CD4,0.0035659836304200443,2.3300942626598578
PAAD-US,WNT3A->FZD8,0.003636482573472044,2.3548140275850993
PAAD-US,ICAM3->ITGAL,0.003688403038140331,2.256333950956753
PAAD-US,DHH->PTCH1,0.0040558651106400445,2.4239625571226076
PAAD-US,CSF2->CSF3R,0.004105775746884643,2.3577034173835623
PAAD-US,PNOC->OPRL1,0.004448694249813534,2.095796718491651
PAAD-US,GHRL->MLNR,0.00464554464161171,1.9752463092426962
PAAD-US,APLN->APLNR,0.004870004907936654,1.775050105391457
PAAD-US,SHH->BOC,0.004876827860276989,2.0352988334053492
PAAD-US,NPY->NPFFR2,0.004877229183545717,2.7656357835126135
PAAD-US,CSF3->CSF3R,0.0049132356887260364,2.0884827743263763
PAAD-US,ANGPTL1->TEK,0.005276880516633553,2.0118148390630597
PAAD-US,FGF7->FGFR2,0.005323952337377813,2.6619291317887694
PAAD-US,NMS->NMUR1,0.005507417639065149,2.198043242151748
PAAD-US,SELPLG->SIGLEC5,0.005526436980074156,2.0359251039450803
PAAD-US,DLL4->NOTCH4,0.005628614223523454,2.0252889369521436
PAAD-US,CCL21->CXCR3,0.005750460959138781,1.9983021812265214
PAAD-US,IHH->PTCH2,0.005767337810301698,2.461846706880947
PAAD-US,SEMA4B->DCBLD2,0.005879323481788212,0.5069181557671725
PAAD-US,CCL21->ACKR2,0.0059101427601099266,2.0634104911570827
PAAD-US,CCL21->ACKR4,0.0059101427601099266,2.0634104911570827
PAAD-US,CCL21->CCR10,0.0059101427601099266,2.0634104911570827
PAAD-US,NTN1->NEO1,0.005921319113206369,2.4401400529558286
PAAD-US,IL12B->IL23R,0.005957368177181288,2.1371149697755887
PAAD-US,DLL3->NOTCH1,0.0060519620393348905,2.7253375687747567
PAAD-US,MUC7->SELL,0.006341264202724406,2.220002052991403
PAAD-US,SHH->PTCH2,0.006406630921387935,2.532036245750295
PAAD-US,CSF2->IL3RA,0.006461395947836013,2.451535379998501
PAAD-US,DEFB103A->CCR6,0.006479741217012891,2.029356920963187
PAAD-US,DEFB103B->CCR6,0.006479741217012891,2.029356920963187
PAAD-US,DEFB4A->CCR6,0.006479741217012891,2.029356920963187
PAAD-US,DEFB4B->CCR6,0.006479741217012891,2.029356920963187
PAAD-US,SEMA3C->NRP1,0.006657002496848863,0.4307676575899459
PAAD-US,SEMA4A->LILRB2,0.00670093905942426,2.113787193512483
PAAD-US,THPO->MPL,0.0067100749339488175,1.985639615099796
PAAD-US,NXPH2->NRXN1,0.006908715894766715,2.238418441501721
PAAD-US,IL3->IL3RA,0.006978105305106785,2.431377548595966
PAAD-US,CCL17->CCR8,0.007193864482339829,1.9166726520023682
PAAD-US,APOE->LRP1,0.007229722494163204,1.8670415933980045
PAAD-US,CCL24->CCR2,0.007231338005910248,2.0815207783438927
PAAD-US,GRN->SORT1,0.007254205406138414,2.0416109101793327
PAAD-US,HGF->MET,0.007296467019084041,0.4171745571166944
PAAD-US,CCL22->CCR4,0.007301337152127885,1.9034462553605564
PAAD-US,RPH3A->NRXN1,0.007386689814580905,2.3109708576648784
PAAD-US,CFP->NCR1,0.007811424117634469,1.9096206836725047
PAAD-US,CCL3L1->CCR5,0.007840655875721803,1.9590161777371964
PAAD-US,NCAM1->GFRA1,0.0078754409870887,2.1406205268835428
PAAD-US,CCL7->CCR5,0.008368996323390276,2.013888254050721
PAAD-US,ZG16B->CXCR4,0.008434379138963388,2.1910048625347485
PAAD-US,DSC3->DSG4,0.008501736237178537,0.43514261573909735
PAAD-US,EDN3->EDNRB,0.008573989036163798,2.0031846242339397
PAAD-US,SHH->GPC5,0.008775632559003266,2.5200694272085196
PAAD-US,HSPG2->COL13A1,0.008775758162483105,2.2015818847006967
PAAD-US,MLN->MLNR,0.008851868823871789,2.4698534369111753
PAAD-US,CRH->CRHR2,0.009033709146969549,1.8364789173739497
PAAD-US,EDN2->EDNRB,0.009165757490323112,2.0485040183979843
PAAD-US,SHH->LRP2,0.009182305759992349,2.612733135161099
PAAD-US,NODAL->TDGF1,0.009593844972336396,2.29514237208
PAAD-US,GDNF->GFRA1,0.010009521174265568,1.9069556288039609
PAAD-US,PSPN->GFRA1,0.010009521174265568,1.9069556288039609
PAAD-US,TAC3->TACR1,0.01004888522076286,2.0409924017908296
PAAD-US,ZP3->EGFR,0.010478173433792315,0.4847052246066275
PAAD-US,NXPH1->NRXN1,0.01050946616868842,2.2450189673479595
PAAD-US,FCER2->CR2,0.010731390768969451,2.0663530542300896
PAAD-US,FGF18->FGFR4,0.011005699982087669,2.361463792221813
PAAD-US,PYY->NPY4R,0.011159592918353,2.2810002198613315
PAAD-US,WNT9B->FZD8,0.011161502760301811,2.0920463477919906
PAAD-US,PSAP->CD1B,0.011361871944893354,1.8514457927915537
PAAD-US,PSAP->GPR37,0.011361871944893354,1.8514457927915537
PAAD-US,PSAP->GPR37L1,0.011361871944893354,1.8514457927915537
PAAD-US,EDN1->EDNRB,0.011472114067412664,1.7751136649591288
PAAD-US,CD34->SELE,0.011745677503233853,1.977966498499449
PAAD-US,RSPO4->LGR5,0.01179820686901345,2.855489242012154
PAAD-US,TAC1->TACR1,0.011798546471988747,2.713015814690284
PAAD-US,PYY->NPY2R,0.012156145961399245,2.204403377130981
PAAD-US,NLGN1->NRXN1,0.01262657062254724,2.129504950743939
PAAD-US,MFNG->NOTCH1,0.012652536271478443,2.160122290021477
PAAD-US,IL10->IL10RA,0.012695952524089726,1.9648297393572678
PAAD-US,IL22->IL10RA,0.012695952524089726,1.9648297393572678
PAAD-US,FGF5->FGFR4,0.012787256563848493,2.3195928373487775
PAAD-US,FGF9->FGFR4,0.012787256563848493,2.3195928373487775
PAAD-US,NRTN->GFRA1,0.013276224591164731,1.8517291232134057
PAAD-US,DLL1->NOTCH1,0.013577341731754622,2.597284274414877
PAAD-US,WNT3->FZD8,0.013865624131243814,2.0779171680417554
PAAD-US,CCL19->CCR7,0.014026589420673807,1.9263231845307396
PAAD-US,NPY->PRLHR,0.014107161233413934,2.2426634011611206
PAAD-US,TFF2->CXCR4,0.014193950638784258,2.1382033699953182
PAAD-US,BMP8A->ACVR2A,0.014214775203468921,1.709336901473778
PAAD-US,UTS2->UTS2R,0.014492392053628733,2.030127018030078
PAAD-US,DSC3->DSG1,0.014697813458813047,0.4854230868562686
PAAD-US,DSG1->DSC3,0.014697813458813047,0.4854230868562686
PAAD-US,PVR->PVRIG,0.014701160395388269,2.20388506337622
PAAD-US,CCL3L3->CCR5,0.014934673764928963,1.9595329246585687
