CCI,LR,prognosis,candidate,mean_exp_weight_grade4,median_exp_weight_grade4
CAF->CAF,SEMA4B->DCBLD2,poor,TRUE,0.06301387195771263,0.028177239928266984
CAF->EMT,SEMA4B->DCBLD2,poor,TRUE,0.15700798722781192,0.01740667210351963
CAF->ETC,SEMA4B->DCBLD2,poor,TRUE,0.074203549961536,0.0592606160045817
CAF->Endo,SEMA4B->DCBLD2,poor,FALSE,0.045050738634421855,0.05266711378484012
CAF->TIL,SEMA4B->DCBLD2,poor,FALSE,0.03727413203788967,0.3922978331550644
EMT->CAF,SEMA4B->DCBLD2,poor,TRUE,0.1855797938804154,0.011830640879553139
EMT->EMT,SEMA4B->DCBLD2,poor,TRUE,0.4702036241918645,0.004683847708334013
EMT->ETC,SEMA4B->DCBLD2,poor,TRUE,0.21983209197846712,0.01706733071222171
EMT->Endo,SEMA4B->DCBLD2,poor,TRUE,0.1361475573673116,0.019149491878077407
EMT->TIL,SEMA4B->DCBLD2,poor,TRUE,0.1238287606180371,0.1114111517524963
ETC->CAF,SEMA4B->DCBLD2,poor,TRUE,0.08415503314766502,0.04925404848517488
ETC->EMT,SEMA4B->DCBLD2,poor,TRUE,0.31975998099425457,0.025569671372670265
ETC->ETC,SEMA4B->DCBLD2,poor,TRUE,0.11740414557617491,0.06361535094062563
ETC->Endo,SEMA4B->DCBLD2,poor,TRUE,0.10910617889242996,0.08530348665864518
ETC->TIL,SEMA4B->DCBLD2,poor,FALSE,0.2479809471506997,0.4734132554454386
CAF->TAM,SEMA4B->DCBLD2,poor,FALSE,0.06592103581843388,0.10163732010772808
EMT->TAM,SEMA4B->DCBLD2,poor,TRUE,0.1910090477282017,0.049078768086383256
ETC->TAM,SEMA4B->DCBLD2,poor,FALSE,0.04386038613398232,0.1717468529753465
Endo->CAF,SEMA4B->DCBLD2,poor,TRUE,0.182824602933908,0.05086646049584458
Endo->EMT,SEMA4B->DCBLD2,poor,TRUE,0.395472572680759,0.03088922227600811
Endo->ETC,SEMA4B->DCBLD2,poor,TRUE,0.2053017058616146,0.1031375104561416
Endo->Endo,SEMA4B->DCBLD2,poor,TRUE,0.1040037611280205,0.09514554400382422
Endo->TAM,SEMA4B->DCBLD2,poor,FALSE,0.1076818614697826,0.1496906331039295
EMT->EMT,IL20->IL20RB,poor,FALSE,3.250900630645729e-4,0.004683847708334013
CAF->EMT,IL26->IL20RB,poor,FALSE,0.0039729983768466,0.01740667210351963
EMT->EMT,IL26->IL20RB,poor,FALSE,0.001109752020279417,0.004683847708334013
TIL->EMT,IL26->IL20RB,poor,FALSE,0.02455998640629278,0.1385716167483181
CAF->EMT,IL24->IL20RB,poor,FALSE,0.008695960864296842,0.01740667210351963
EMT->EMT,IL24->IL20RB,poor,FALSE,5.555227294977265e-4,0.004683847708334013
CAF->CAF,APOE->LRP1,good,TRUE,0.6747125054791557,0.028177239928266984
CAF->EMT,APOE->LRP1,good,TRUE,0.7888362411667672,0.01740667210351963
CAF->ETC,APOE->LRP1,good,TRUE,0.3490759264485487,0.0592606160045817
CAF->Endo,APOE->LRP1,good,TRUE,0.2927130208161535,0.05266711378484012
CAF->TAM,APOE->LRP1,good,TRUE,0.8308740235434293,0.10163732010772808
DC->CAF,APOE->LRP1,good,TRUE,0.190376973184218,0.1261354276289414
DC->EMT,APOE->LRP1,good,TRUE,0.308813437765963,0.04596678201286626
DC->ETC,APOE->LRP1,good,FALSE,0.09958371656093734,0.1255733334327429
DC->Endo,APOE->LRP1,good,FALSE,0.0976324914766427,0.1796159043596034
DC->TAM,APOE->LRP1,good,FALSE,0.3414228185295395,0.7852263385137609
EMT->CAF,APOE->LRP1,good,TRUE,0.29988246730191614,0.011830640879553139
EMT->EMT,APOE->LRP1,good,TRUE,0.2600066343208478,0.004683847708334013
EMT->ETC,APOE->LRP1,good,TRUE,0.0493835291160518,0.01706733071222171
EMT->Endo,APOE->LRP1,good,TRUE,0.11429744861618099,0.019149491878077407
EMT->TAM,APOE->LRP1,good,TRUE,0.25689278643949554,0.049078768086383256
ETC->CAF,APOE->LRP1,good,TRUE,0.3256193736764867,0.04925404848517488
ETC->EMT,APOE->LRP1,good,TRUE,0.2470044610432306,0.025569671372670265
ETC->ETC,APOE->LRP1,good,FALSE,0.01239252560956684,0.06361535094062563
ETC->Endo,APOE->LRP1,good,TRUE,0.11794712909341488,0.08530348665864518
ETC->TAM,APOE->LRP1,good,TRUE,0.23512623867917995,0.1717468529753465
Endo->CAF,APOE->LRP1,good,TRUE,0.5479311627691024,0.05086646049584458
Endo->EMT,APOE->LRP1,good,TRUE,0.3977802089804381,0.03088922227600811
Endo->Endo,APOE->LRP1,good,TRUE,0.1953582631939712,0.09514554400382422
Endo->TAM,APOE->LRP1,good,TRUE,0.3734945435435776,0.1496906331039295
TAM->CAF,APOE->LRP1,good,TRUE,0.6799950363083261,0.07835824106641753
TAM->EMT,APOE->LRP1,good,TRUE,0.4936542873039149,0.04512993439069284
TAM->Endo,APOE->LRP1,good,TRUE,0.2424440482676028,0.1228309267215977
TAM->TAM,APOE->LRP1,good,TRUE,0.4635152240919382,0.1746874259693969
DC->ETC,GDF3->TDGF1,good,FALSE,0.006364379147108783,0.1255733334327429
EMT->CAF,WNT3A->FZD8,good,FALSE,9.858698687115689e-5,0.011830640879553139
EMT->EMT,WNT3A->FZD8,good,FALSE,5.922884514429191e-5,0.004683847708334013
EMT->Endo,WNT3A->FZD8,good,FALSE,8.648218595928061e-5,0.019149491878077407
CAF->CAF,DKK1->KREMEN1,poor,FALSE,0.005239447501304591,0.028177239928266984
CAF->EMT,DKK1->KREMEN1,poor,FALSE,0.0013274339625173116,0.01740667210351963
EMT->CAF,DKK1->KREMEN1,poor,TRUE,0.06229511035563754,0.011830640879553139
EMT->EMT,DKK1->KREMEN1,poor,TRUE,0.014839836128443537,0.004683847708334013
ETC->CAF,DKK1->KREMEN1,poor,FALSE,0.047822238725745626,0.04925404848517488
ETC->EMT,DKK1->KREMEN1,poor,FALSE,0.0117837071954595,0.025569671372670265
CAF->ETC,DKK1->KREMEN1,poor,FALSE,0.004142155237150162,0.0592606160045817
CAF->Endo,DKK1->KREMEN1,poor,FALSE,0.002778367166695868,0.05266711378484012
EMT->ETC,DKK1->KREMEN1,poor,TRUE,0.03033276421442355,0.01706733071222171
EMT->Endo,DKK1->KREMEN1,poor,TRUE,0.0203458227283785,0.019149491878077407
ETC->ETC,DKK1->KREMEN1,poor,FALSE,0.03114144648102878,0.06361535094062563
ETC->Endo,DKK1->KREMEN1,poor,FALSE,0.02088824958811419,0.08530348665864518
Endo->CAF,DKK1->KREMEN1,poor,FALSE,0.00616038131788686,0.05086646049584458
Endo->EMT,DKK1->KREMEN1,poor,FALSE,0.002206130291510744,0.03088922227600811
Endo->ETC,DKK1->KREMEN1,poor,FALSE,0.00890890730404141,0.1031375104561416
Endo->Endo,DKK1->KREMEN1,poor,FALSE,0.005975685151219825,0.09514554400382422
CAF->CAF,NGF->SORT1,good,FALSE,0.01696883002877069,0.028177239928266984
CAF->DC,NGF->SORT1,good,FALSE,0.008647300456481951,0.0992002763472319
CAF->EMT,NGF->SORT1,good,FALSE,0.008780463290726,0.01740667210351963
CAF->ETC,NGF->SORT1,good,FALSE,0.018150056309899458,0.0592606160045817
CAF->Endo,NGF->SORT1,good,FALSE,0.02067973894646611,0.05266711378484012
