_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.8,R-HSA-380108,Chemokine receptors bind chemokines,M1,1,0
1,-7.1,R-HSA-1500931,Cell-Cell communication,M1,1,0
1,-3.2,GO:0010952,positive regulation of peptidase activity,M1,1,0
1,-6.1,GO:0042330,taxis,M1,1,0
1,-6.7,GO:0051806,entry into cell of other organism involved in symbiotic interaction,M1,1,0
1,-2.5,GO:0010631,epithelial cell migration,M1,1,0
1,-6.8,GO:0034332,adherens junction organization,M1,1,0
1,-5.1,hsa04514,Cell adhesion molecules,M1,1,0
1,-5.2,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,M1,1,0
1,-4.8,GO:0031638,zymogen activation,M1,1,0
1,-4.7,GO:0019933,cAMP-mediated signaling,M1,1,0
1,-3.7,GO:2000146,negative regulation of cell motility,M1,1,0
1,-2.5,GO:0016485,protein processing,M1,1,0
1,-3.8,GO:0030336,negative regulation of cell migration,M1,1,0
1,-3.1,GO:0050807,regulation of synapse organization,M1,1,0
1,-4.4,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,M1,1,0
1,-2.1,GO:0036230,granulocyte activation,M1,1,0
1,-3.9,GO:0040017,positive regulation of locomotion,M1,1,0
1,-3.1,GO:0010810,regulation of cell-substrate adhesion,M1,1,0
1,-5.5,GO:0072358,cardiovascular system development,M1,1,0
1,-2.8,GO:0043542,endothelial cell migration,M1,1,0
1,-2.2,GO:0052547,regulation of peptidase activity,M1,1,0
1,-2.2,GO:0043062,extracellular structure organization,M1,1,0
1,-5.6,GO:0001568,blood vessel development,M1,1,0
1,-3.3,WP3888,VEGFA-VEGFR2 Signaling Pathway,M1,1,0
1,-2.4,GO:0030198,extracellular matrix organization,M1,1,0
1,-2.5,GO:0090150,establishment of protein localization to membrane,M1,1,0
1,-3.5,GO:0040013,negative regulation of locomotion,M1,1,0
1,-3.2,R-HSA-500792,GPCR ligand binding,M1,1,0
1,-2.1,GO:0001667,ameboidal-type cell migration,M1,1,0
1,-8.1,hsa04520,Adherens junction,M1,1,0
1,-4.1,GO:1990868,response to chemokine,M1,1,0
1,-2.4,GO:0090130,tissue migration,M1,1,0
1,-3.6,GO:0051271,negative regulation of cellular component movement,M1,1,0
1,-6.7,GO:0044409,entry into host,M1,1,0
1,-2.5,GO:0055080,cation homeostasis,M1,1,0
1,-5,GO:0019058,viral life cycle,M1,1,0
1,-5.2,GO:0034330,cell junction organization,M1,1,0
1,-6.1,GO:0006935,chemotaxis,M1,1,0
1,-2.5,GO:0090132,epithelium migration,M1,1,0
1,-3.2,R-HSA-375276,Peptide ligand-binding receptors,M1,1,0
1,-6,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-2.6,hsa04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1,1,0
1,-5.5,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M1,1,0
1,-6.4,GO:0001525,angiogenesis,M1,1,0
1,-2.7,GO:0002274,myeloid leukocyte activation,M1,1,0
1,-3.3,GO:0010950,positive regulation of endopeptidase activity,M1,1,0
1,-6.7,GO:0051828,entry into other organism involved in symbiotic interaction,M1,1,0
1,-7,GO:0030155,regulation of cell adhesion,M1,1,0
1,-4.5,GO:0019722,calcium-mediated signaling,M1,1,0
1,-8.4,ko04520,Adherens junction,M1,1,0
1,-4.2,GO:0070098,chemokine-mediated signaling pathway,M1,1,0
1,-7.2,GO:0019932,second-messenger-mediated signaling,M1,1,0
1,-5.9,GO:0051701,interaction with host,M1,1,0
1,-8.7,R-HSA-421270,Cell-cell junction organization,M1,1,0
1,-4.9,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,M1,1,0
1,-6.2,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-2.5,GO:0098771,inorganic ion homeostasis,M1,1,0
1,-2.7,GO:0003006,developmental process involved in reproduction,M1,1,0
1,-5.2,GO:0046718,viral entry into host cell,M1,1,0
1,-2.1,GO:0002683,negative regulation of immune system process,M1,1,0
1,-4,GO:2000147,positive regulation of cell motility,M1,1,0
1,-8,M72,PID NECTIN PATHWAY,M1,1,0
1,-7.1,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,M1,1,0
1,-2.2,GO:0043900,regulation of multi-organism process,M1,1,0
1,-2.3,GO:0051604,protein maturation,M1,1,0
1,-3.1,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-3.4,GO:0045785,positive regulation of cell adhesion,M1,1,0
1,-6.7,GO:0030260,entry into host cell,M1,1,0
1,-3.9,GO:0051272,positive regulation of cellular component movement,M1,1,0
1,-3.9,GO:0060326,cell chemotaxis,M1,1,0
1,-2.5,GO:0031589,cell-substrate adhesion,M1,1,0
1,-7.9,R-HSA-446728,Cell junction organization,M1,1,0
1,-2.9,GO:0048872,homeostasis of number of cells,M1,1,0
1,-4,GO:0030335,positive regulation of cell migration,M1,1,0
1,-3.6,ko04514,Cell adhesion molecules (CAMs),M1,1,0
1,-4,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-2.3,GO:0050808,synapse organization,M1,1,0
