Gene,_SCORE_GRP1_,_SCORE_GRP8_,_SCORE_GRP10_,_SCORE_GRP4_,_SCORE_GRP9_,_SCORE_GRP2_,_SCORE_GRP6_,_SCORE_GRP3_,_SCORE_GRP5_,_SCORE_GRP7_,_SCORE_GRP11_,GRP1|19_GO:0044409|-6.745|entry into host,GRP1|19_GO:0030260|-6.745|entry into host cell,GRP1|19_GO:0051806|-6.745|entry into cell of other organism involved in symbiotic interaction,GRP1|19_GO:0051828|-6.731|entry into other organism involved in symbiotic interaction,GRP1|19_GO:0051701|-5.939|interaction with host,GRP1|19_GO:0019058|-5.000|viral life cycle,GRP1|19_GO:0046718|-5.226|viral entry into host cell,GRP1|6_R-HSA-421270|-8.671|Cell-cell junction organization,GRP1|6_R-HSA-418990|-10.170|Adherens junctions interactions,GRP1|24_ko04520|-8.409|Adherens junction,GRP1|24_hsa04520|-8.148|Adherens junction,GRP1|6_R-HSA-446728|-7.892|Cell junction organization,GRP1|6_R-HSA-1500931|-7.129|Cell-Cell communication,GRP1|19_GO:0034332|-6.802|adherens junction organization,GRP1|19_GO:0034330|-5.202|cell junction organization,GRP1|11_M72|-7.959|PID NECTIN PATHWAY,GRP1|19_GO:0007156|-4.915|homophilic cell adhesion via plasma membrane adhesion molecules,GRP1|6_R-HSA-420597|-10.847|Nectin/Necl  trans heterodimerization,GRP1|24_ko04514|-3.610|Cell adhesion molecules (CAMs),GRP1|19_GO:0098742|-5.503|cell-cell adhesion via plasma-membrane adhesion molecules,GRP1|19_GO:0007157|-7.150|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GRP1|24_hsa04514|-5.086|Cell adhesion molecules,GRP2|19_GO:0019932|-7.195|second-messenger-mediated signaling,GRP2|19_GO:0019933|-4.671|cAMP-mediated signaling,GRP2|19_GO:0007189|-5.202|adenylate cyclase-activating G protein-coupled receptor signaling pathway,GRP2|19_GO:0019935|-4.451|cyclic-nucleotide-mediated signaling,GRP2|19_GO:0007188|-4.391|adenylate cyclase-modulating G protein-coupled receptor signaling pathway,"GRP2|19_GO:0007187|-4.184|G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",GRP2|19_GO:0050803|-3.056|regulation of synapse structure or activity,GRP2|19_GO:0050807|-3.113|regulation of synapse organization,GRP2|19_GO:0050808|-2.302|synapse organization,GRP3|19_GO:0030155|-6.979|regulation of cell adhesion,GRP3|19_GO:0007162|-3.972|negative regulation of cell adhesion,GRP3|19_GO:0031589|-2.463|cell-substrate adhesion,GRP3|19_GO:0010810|-3.084|regulation of cell-substrate adhesion,GRP3|19_GO:0030198|-2.350|extracellular matrix organization,GRP3|19_GO:0043062|-2.175|extracellular structure organization,GRP4|19_GO:0048514|-5.959|blood vessel morphogenesis,GRP4|19_GO:0001525|-6.369|angiogenesis,GRP4|19_GO:0001568|-5.649|blood vessel development,GRP4|19_GO:0001944|-5.529|vasculature development,GRP4|19_GO:0072358|-5.529|cardiovascular system development,GRP4|19_GO:0008285|-4.493|negative regulation of cell proliferation,GRP4|19_GO:0042330|-6.095|taxis,GRP4|19_GO:0006935|-6.104|chemotaxis,GRP4|19_GO:2000147|-3.953|positive regulation of cell motility,GRP4|19_GO:0030335|-4.039|positive regulation of cell migration,GRP4|19_GO:0051272|-3.890|positive regulation of cellular component movement,GRP4|19_GO:0040017|-3.857|positive regulation of locomotion,GRP4|27_WP3888|-3.329|VEGFA-VEGFR2 Signaling Pathway,GRP4|19_GO:0098771|-2.483|inorganic ion homeostasis,GRP4|19_GO:0055080|-2.505|cation homeostasis,GRP4|6_R-HSA-500792|-3.213|GPCR ligand binding,GRP4|19_GO:0019722|-4.529|calcium-mediated signaling,GRP4|19_GO:0060326|-3.905|cell chemotaxis,GRP4|19_GO:0070098|-4.244|chemokine-mediated signaling pathway,GRP4|6_R-HSA-380108|-4.765|Chemokine receptors bind chemokines,GRP4|19_GO:1990868|-4.117|response to chemokine,GRP4|19_GO:1990869|-4.117|cellular response to chemokine,GRP4|6_R-HSA-375276|-3.186|Peptide ligand-binding receptors,GRP4|24_hsa04060|-2.577|Cytokine-cytokine receptor interaction,GRP4|6_R-HSA-373076|-2.551|Class A/1 (Rhodopsin-like receptors),GRP4|19_GO:0006898|-2.547|receptor-mediated endocytosis,GRP5|19_GO:0045862|-6.207|positive regulation of proteolysis,GRP5|19_GO:0016485|-2.540|protein processing,GRP5|19_GO:0031638|-4.765|zymogen activation,GRP5|19_GO:0051604|-2.311|protein maturation,GRP6|19_GO:2000146|-3.711|negative regulation of cell motility,GRP6|19_GO:0030336|-3.785|negative regulation of cell migration,GRP6|19_GO:0051271|-3.560|negative regulation of cellular component movement,GRP6|19_GO:0040013|-3.504|negative regulation of locomotion,GRP6|19_GO:0048872|-2.913|homeostasis of number of cells,GRP6|19_GO:0010631|-2.470|epithelial cell migration,GRP6|19_GO:0043542|-2.776|endothelial cell migration,GRP6|19_GO:0090132|-2.459|epithelium migration,GRP6|19_GO:0090130|-2.443|tissue migration,GRP6|19_GO:0001667|-2.131|ameboidal-type cell migration,GRP7|19_GO:0045785|-3.367|positive regulation of cell adhesion,GRP7|19_GO:0051345|-2.390|positive regulation of hydrolase activity,GRP7|19_GO:0010952|-3.174|positive regulation of peptidase activity,GRP7|19_GO:0010950|-3.291|positive regulation of endopeptidase activity,GRP7|19_GO:0052548|-2.250|regulation of endopeptidase activity,GRP7|19_GO:0052547|-2.172|regulation of peptidase activity,GRP8|19_GO:0003006|-2.666|developmental process involved in reproduction,GRP9|19_GO:0002274|-2.659|myeloid leukocyte activation,GRP9|19_GO:0036230|-2.054|granulocyte activation,GRP9|19_GO:0042119|-2.065|neutrophil activation,GRP9|19_GO:0043900|-2.228|regulation of multi-organism process,GRP10|19_GO:0090150|-2.476|establishment of protein localization to membrane,GRP11|19_GO:0002683|-2.106|negative regulation of immune system process,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_
9289,0.0,1.0,0.0,0.23076923076923078,0.0,0.6666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9,0,4,7,8,0,4,5,2,0,0,0
5819,0.9545454545454546,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.5,0.2,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,8,2,0,0,0,0,0,0,1,4,0,0
3491,0.0,1.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.8333333333333334,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.2,0.1,0.1,0.3,0.4,0.3,0.3,0.3,0.0,0.4,0.4,0.2,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,4,5,0,2,3,0,0,0
51554,0.0,0.0,0.0,0.5384615384615384,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,7,0,3,0,0,0,0,0,0,0
22859,0.09090909090909091,0.0,0.0,0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,8,2,0,14,0,0,0,0,0,0,0
506,0.0,0.0,0.0,0.4230769230769231,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.3,0.4,0.3,0.3,0.3,0.0,0.0,0.0,0.2,0.3,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,5,5,0,3,0,0,0,0,0
55904,0.0,0.0,0.0,0.0,0.75,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,16,0,0,0,0,0,6,0,0,3,0,0
976,0.0,0.0,0.0,0.038461538461538464,0.75,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,15,0,3,0,13,0,0,0,0,2,0,0
27018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,4,0,3,0,0,0,0
3576,0.2727272727272727,0.0,0.0,0.9230769230769231,1.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.2,0.2,0.2,0.0,0.0,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,14,7,6,6,2,0,0,0,0,1,0,0
