_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-10.84686376592509,R-HSA-420597,M1,1,0,Reactome Gene Sets,6,Nectin/Necl  trans heterodimerization,,-10.84686376592509,669.8333333333334,51.712575814833585,28133,7,24,4,16.666666666666668,7.607257743127308,5818|5819|25945|81607,NECTIN1|NECTIN2|NECTIN3|NECTIN4,-6.488986066695217,0,1,1,1,-10.84686376592509,669.8333333333334,
1,-10.169799475732448,R-HSA-418990,M1,1,0,Reactome Gene Sets,6,Adherens junctions interactions,,-10.169799475732448,177.6073232323232,29.66168002253581,28133,33,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-6.112951772166556,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-8.67053628074547,R-HSA-421270,M1,1,0,Reactome Gene Sets,6,Cell-cell junction organization,,-8.67053628074547,91.57877604166666,21.197575565678846,28133,64,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-4.789779836235259,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-8.408840715224699,ko04520,M1,1,0,KEGG Pathway,24,Adherens junction,,-8.408840715224699,81.40335648148147,19.960530649015055,28133,72,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-4.653023007322788,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-8.148303222589636,hsa04520,M1,1,0,KEGG Pathway,24,Adherens junction,,-8.148303222589636,72.3585390946502,18.792725580708446,28133,81,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-4.489395527695782,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-7.95878578155387,M72,M1,1,0,Canonical Pathways,11,PID NECTIN PATHWAY,,-7.95878578155387,156.29444444444445,24.867002186715418,28133,30,24,4,16.666666666666668,7.607257743127308,4301|5818|5819|25945,AFDN|NECTIN1|NECTIN2|NECTIN3,-4.3790833113526215,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-7.891862970568238,R-HSA-446728,M1,1,0,Reactome Gene Sets,6,Cell junction organization,,-7.891862970568238,64.40705128205127,17.70259721905217,28133,91,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-4.3790833113526215,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-7.149507490284422,GO:0007157,M1,1,0,GO Biological Processes,19,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,19_GO:0022610 biological adhesion,-7.149507490284422,99.76241134751774,19.800624854779542,28133,47,24,4,16.666666666666668,7.607257743127308,5818|22859|25945|81607,NECTIN1|ADGRL1|NECTIN3|NECTIN4,-3.7710832929964035,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-7.128960992226276,R-HSA-1500931,M1,1,0,Reactome Gene Sets,6,Cell-Cell communication,,-7.128960992226276,45.4344315245478,14.780450676013606,28133,129,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-3.7710832929964035,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-6.801780522399627,GO:0034332,M1,1,0,GO Biological Processes,19,adherens junction organization,19_GO:0071840 cellular component organization or biogenesis,-6.801780522399627,39.073611111111106,13.661732906459186,28133,150,24,5,20.833333333333332,8.289816934939807,4301|5818|5819|25945|81607,AFDN|NECTIN1|NECTIN2|NECTIN3|NECTIN4,-3.5770930782108334,0,1,0,0,-10.84686376592509,669.8333333333334,
1,-6.744846182209229,GO:0030260,M1,1,0,GO Biological Processes,19,entry into host cell,19_GO:0051704 multi-organism process,-6.744846182209229,38.05871212121212,13.4746600181625,28133,154,24,5,20.833333333333332,8.289816934939807,3576|4360|5818|5819|81607,CXCL8|MRC1|NECTIN1|NECTIN2|NECTIN4,-3.5770930782108334,0,1,0,0,-10.84686376592509,669.8333333333334,
