_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.3,C3714636,M1,1,0,DisGeNET,35,Pneumonitis,,-7.3,18,11,28133,696,16,7,44,12,4360|5175|6352|6362|7432|8771|9370,MRC1|PECAM1|CCL5|CCL18|VIP|TNFRSF6B|ADIPOQ,-2.8,0
1,-6.9,C0021368,M1,1,0,DisGeNET,35,Inflammation,,-6.9,23,11,28133,467,16,6,38,12,116|5175|6352|6362|7432|9370,ADCYAP1|PECAM1|CCL5|CCL18|VIP|ADIPOQ,-2.6,0
1,-6.3,C0015674,M1,1,0,DisGeNET,35,Chronic Fatigue Syndrome,,-6.3,60,15,28133,118,16,4,25,11,116|7432|9370|100133941,ADCYAP1|VIP|ADIPOQ|CD24,-2.3,0
1,-6.1,C4048329,M1,1,0,DisGeNET,35,Immunosuppression,,-6.1,17,9.5,28133,632,16,6,38,12,116|4360|6352|6362|7432|8771,ADCYAP1|MRC1|CCL5|CCL18|VIP|TNFRSF6B,-2.2,0
1,-5.8,C2363741,M1,1,0,DisGeNET,35,HIV-1 infection,,-5.8,15,9,28133,695,16,6,38,12,116|4360|6352|6362|7432|9370,ADCYAP1|MRC1|CCL5|CCL18|VIP|ADIPOQ,-2.2,0
1,-5.7,C1739135,M1,1,0,DisGeNET,35,Progression of prostate cancer,,-5.7,22,10,28133,398,16,5,31,12,4360|6362|7432|9370|100133941,MRC1|CCL18|VIP|ADIPOQ|CD24,-2.2,0
1,-5.6,C0011615,M1,1,0,DisGeNET,35,"Dermatitis, Atopic",,-5.6,14,8.6,28133,751,16,6,38,12,2208|4360|6352|6362|7432|8771,FCER2|MRC1|CCL5|CCL18|VIP|TNFRSF6B,-2.2,0
1,-5.6,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-5.6,14,8.6,28133,756,16,6,38,12,4360|5179|6352|6362|7432|8771,MRC1|PENK|CCL5|CCL18|VIP|TNFRSF6B,-2.2,0
1,-5.6,C0036202,M1,1,0,DisGeNET,35,Sarcoidosis,,-5.6,21,9.9,28133,413,16,5,31,12,4360|6352|6359|6362|100133941,MRC1|CCL5|CCL15|CCL18|CD24,-2.2,0
1,-5.6,C0027796,M1,1,0,DisGeNET,35,Neuralgia,,-5.6,14,8.5,28133,767,16,6,38,12,116|4360|5179|6352|7432|9370,ADCYAP1|MRC1|PENK|CCL5|VIP|ADIPOQ,-2.2,0
1,-5.6,C0524909,M1,1,0,DisGeNET,35,"Hepatitis B, Chronic",,-5.6,21,9.9,28133,415,16,5,31,12,116|6352|8771|9370|100133941,ADCYAP1|CCL5|TNFRSF6B|ADIPOQ|CD24,-2.2,0
1,-5.6,C4551683,M1,1,0,DisGeNET,35,Adrenal Gland Pheochromocytoma,,-5.6,21,9.9,28133,416,16,5,31,12,116|5179|6352|7432|9370,ADCYAP1|PENK|CCL5|VIP|ADIPOQ,-2.2,0
1,-5.6,C3203102,M1,1,0,DisGeNET,35,Idiopathic pulmonary arterial hypertension,,-5.6,14,8.5,28133,776,16,6,38,12,116|4360|5175|6352|7432|9370,ADCYAP1|MRC1|PECAM1|CCL5|VIP|ADIPOQ,-2.2,0
