Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
57007,3.0,1,1,1
2250,3.0,1,1,1
1235,3.0,1,1,1
3576,3.0,1,1,1
2798,3.0,1,1,1
27006,3.0,1,1,1
25945,3.0,1,1,1
1490,3.0,1,1,1
4856,3.0,1,1,1
2532,3.0,1,1,1
5819,3.0,1,1,1
56832,2.0,1,0,1
3973,2.0,1,1,0
3491,2.0,1,1,0
27202,2.0,1,1,0
1238,2.0,1,1,0
3273,2.0,1,1,0
3730,2.0,1,1,0
506,2.0,1,0,1
257313,2.0,1,0,1
8840,2.0,1,1,0
256933,2.0,1,0,1
1005,2.0,1,1,0
163702,2.0,1,0,1
51554,2.0,1,1,0
374383,1.0,1,0,0
55848,1.0,1,0,0
7484,1.0,1,0,0
55997,1.0,1,0,0
120425,1.0,1,0,0
8771,1.0,1,0,0
27018,1.0,1,0,0
64115,1.0,1,0,0
721,1.0,1,0,0
27329,1.0,1,0,0
117156,1.0,1,0,0
