Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,SLAMF7,SLAMF7,DC,0.28125,0.5133400843546183,0.7411779628550481,0.28125,0.5133400843546183,0.7411779628550481,0.2635180422052066,0.5493447726219591
DC,C1QA,CD33,DC,0.515625,0.9394635513001128,0.2159641572015848,0.203125,0.3973211932996975,0.4349527115248962,0.3732687792641324,0.09393419576701824
DC,C1QB,CD33,DC,0.5,0.9341002391453928,0.1978561184168894,0.203125,0.3973211932996975,0.4349527115248962,0.3711378216787803,0.08605805519721701
DC,SELPLG,SELL,DC,0.28125,0.4910922426637913,0.2478101224638198,0.296875,0.5612678507636576,0.2921232628599396,0.2756342875666107,0.07239110154385224
DC,PTDSS1,JMJD6,DC,0.203125,0.3882870855392416,0.1765520696676016,0.296875,0.5824870502288847,0.1780262765971185,0.2261721990977235,0.03143090758843817
DC,GAS6,AXL,DC,0.40625,0.7336005335522329,0.1733216876336135,0.296875,0.5276850960693132,0.1277612471341566,0.3871100680240094,0.02214379496746719
DC,COL1A1,CD44,DC,0.453125,0.8502124870662885,0.123794542344456,0.703125,1.351989963275176,0.1701624352938857,1.149478749164847,0.02106518080142469
DC,THBS1,CD47,DC,0.203125,0.3925218010141975,0.1171672259065374,0.546875,1.015933155027756,0.16387567679509302,0.3987759117215307,0.019200858443637368
DC,FN1,PLAUR,DC,0.359375,0.6871192575508789,0.09275401974712852,0.65625,1.253848141338427,0.1906396280239175,0.8615432039580098,0.017682591822315682
DC,FN1,CD44,DC,0.359375,0.6871192575508789,0.09275401974712852,0.703125,1.351989963275176,0.1701624352938857,0.9289783397818786,0.01578324988346855
DC,SLPI,PLSCR1,DC,0.21875,0.3875476866315591,0.08811161229365028,0.484375,0.8877129044226426,0.1560228449627043,0.3440310825019774,0.013747424424306107
DC,TGFB1,TGFBR2,DC,0.4375,0.8040440460447941,0.1482253283200791,0.21875,0.3918699937388086,0.09076590129074873,0.3150807352892998,0.01345380551908912
DC,APP,NCSTN,DC,0.234375,0.4485849176312958,0.07515002702581676,0.21875,0.4006292261028558,0.1516551414077992,0.1797162283920393,0.01139688797540017
DC,COL1A1,ITGB1,DC,0.453125,0.8502124870662885,0.123794542344456,0.3125,0.5570635223662425,0.06995898339435787,0.4736223628049099,0.008660540332187931
DC,THBS1,ITGB1,DC,0.203125,0.3925218010141975,0.1171672259065374,0.3125,0.5570635223662425,0.06995898339435787,0.2186595770785102,0.00819690001155843
DC,FN1,ITGB1,DC,0.359375,0.6871192575508789,0.09275401974712852,0.3125,0.5570635223662425,0.06995898339435787,0.3827690738969699,0.0064889769272493064
