Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,CD9,L1CAM,EMT,0.484375,0.9683967077980328,0.1346036264020929,0.361336032388664,0.5009136942121529,0.7590937666581481,0.4850831723659996,0.1021767737714108
DC,OSM,OSMR,EMT,0.234375,0.4416736881657231,0.2561648833582058,0.3836032388663967,0.540542038250715,0.3571261053531263,0.2387431956428107,0.09148316712195392
DC,AREG,EGFR,EMT,0.21875,0.4235163568862102,0.1899566644184366,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.1349912674665256,0.07223507548962849
DC,INS,IGF1R,EMT,0.359375,0.6591842268543464,0.1956321718875595,0.3087044534412955,0.4462784402065,0.35724409340653496,0.2941797085692854,0.06988843788712261
DC,VEGFA,GPC1,EMT,0.265625,0.4871360882874706,0.1546616763808687,0.5678137651821862,0.8383604746068776,0.4241059569927814,0.4083956421748217,0.06559293827161618
DC,GNAI2,EGFR,EMT,0.609375,1.1310453015726,0.1682766975123004,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.36050848175945693,0.06399080540375407
DC,APOE,LDLR,EMT,0.703125,1.319509691741999,0.1692808065090901,0.4888663967611336,0.7007487128722888,0.3598843554885713,0.9246447181107162,0.060921513947109436
DC,ANXA1,EGFR,EMT,0.71875,1.403544907957137,0.1599484262332579,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.4473647900268171,0.06082380251716653
DC,HSP90AA1,EGFR,EMT,0.984375,1.9078905496903933,0.1591296730639535,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.6081195195946357,0.06051245415161614
DC,GNAI2,IGF1R,EMT,0.609375,1.1310453015726,0.1682766975123004,0.3087044534412955,0.4462784402065,0.35724409340653496,0.5047611329887104,0.060115856244227474
DC,CALR,ITGA3,EMT,0.8125,1.546076375063397,0.1535567800043463,0.7267206477732794,1.1307193987790471,0.358238222144802,1.7481785492781732,0.05500990786703752
DC,FN1,COL13A1,EMT,0.359375,0.6871192575508789,0.09275401974712852,0.3168016194331984,0.4386658426676678,0.5854529328517295,0.3014157481267385,0.054303112894743634
DC,LTB,TNFRSF1A,EMT,0.359375,0.6623058393288923,0.2547016874651792,0.7236842105263158,1.086140792471154,0.210124956089608,0.7193573891869557,0.053519180894569834
DC,TGFB1,ITGB8,EMT,0.4375,0.8040440460447941,0.1482253283200791,0.2257085020242915,0.325079338500718,0.3365360960775383,0.2613781066136825,0.04988317333265081
