Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,FN1,ITGB6,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.4190687361419069,0.7200957543175737,0.7718985886623885,0.4947916600722313,0.07159669693557183
DC,COL1A1,DDR1,ETC,0.453125,0.8502124870662885,0.123794542344456,0.4257206208425721,0.6170851952095769,0.4756872750552166,0.5246535385509206,0.058887488514541925
DC,INS,INSR,ETC,0.359375,0.6591842268543464,0.1956321718875595,0.3813747228381374,0.5951736043264122,0.2420607363699688,0.3923290522120207,0.04735486758475895
DC,FN1,ITGB8,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.3414634146341464,0.4838913258304479,0.500945087657127,0.3324910485399278,0.04646467055277618
DC,THBS1,SDC4,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.6230598669623061,1.079418186206374,0.3355455234436757,0.4236951704972042,0.0393149381472525
DC,THBS1,ITGA3,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.5920177383592018,0.9610081902346876,0.3044697613820116,0.3772166656203141,0.03567387731355569
DC,THBS1,SDC1,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.4611973392461197,0.7185698386537468,0.3033941702022891,0.28205432722285,0.035547853278818084
DC,COL1A1,ITGA2,ETC,0.453125,0.8502124870662885,0.123794542344456,0.3325942350332594,0.513438400330123,0.2569603647791525,0.4365317393000105,0.031810290758499664
DC,THBS1,ITGA6,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.4390243902439024,0.6901850776324615,0.2388380288515908,0.2709126897054175,0.027983989281526442
DC,FN1,ITGA2,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.3325942350332594,0.513438400330123,0.2569603647791525,0.352793412432945,0.02383410674895485
DC,C1QB,LRP1,ETC,0.5,0.9341002391453928,0.1978561184168894,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.283945291309334,0.02025715846320576
DC,GNAI2,CAV1,ETC,0.609375,1.1310453015726,0.1682766975123004,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.6017214856923565,0.01934742008017151
DC,COL1A1,ITGB1,ETC,0.453125,0.8502124870662885,0.123794542344456,0.6851441241685144,1.239740618484833,0.1556931837386939,1.054042954559089,0.01927396642708291
DC,THBS1,ITGB1,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.6851441241685144,1.239740618484833,0.1556931837386939,0.4866252203581218,0.01824213843121959
DC,FN1,ITGAV,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.3858093126385809,0.6468343235309157,0.1945419640274072,0.4444523201429878,0.01804454917304329
DC,C3,LRP1,ETC,0.359375,0.6639800881324824,0.1700777401109687,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2018348905689871,0.017413116966302114
DC,APOE,LRP1,ETC,0.703125,1.319509691741999,0.1692808065090901,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4011010254637717,0.01733152428983056
DC,VEGFA,NRP2,ETC,0.265625,0.4871360882874706,0.1546616763808687,0.237250554323725,0.3198668901608556,0.1098131008074763,0.1558187056456372,0.01698387825946561
DC,PSAP,LRP1,ETC,0.859375,1.66353870726202,0.1638470036414346,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.5056780450779279,0.01677519372685049
DC,CALR,LRP1,ETC,0.8125,1.546076375063397,0.1535567800043463,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4699721596319224,0.01572164687418703
DC,COL1A1,CD44,ETC,0.453125,0.8502124870662885,0.123794542344456,0.5498891352549891,0.9419366853648524,0.1185528329559877,0.8008463319230271,0.01467619369942524
DC,THBS1,CD47,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.4966740576496674,0.7648102030194766,0.1233681458463524,0.3002046783232389,0.014454703414050231
DC,FN1,ITGB1,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.6851441241685144,1.239740618484833,0.1556931837386939,0.8518496533289659,0.014441168638992119
DC,SLPI,PLSCR1,ETC,0.21875,0.3875476866315591,0.08811161229365028,0.5365853658536586,0.8853820079669918,0.1556131707374989,0.3431277489728123,0.01371132736780811
DC,SERPINA1,LRP1,ETC,0.4375,0.8008802246324567,0.1298905419804441,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2434494277564916,0.01329861978908068
DC,FN1,PLAUR,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.5277161862527716,0.887737556549515,0.1349748442285897,0.6099815707563341,0.0125194593669442
DC,THBS1,LRP1,ETC,0.203125,0.3925218010141975,0.1171672259065374,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1193177267957993,0.01199596495106593
DC,FN1,CD44,ETC,0.359375,0.6871192575508789,0.09275401974712852,0.5498891352549891,0.9419366853648524,0.1185528329559877,0.6472228359078331,0.01099625180907771
DC,LRPAP1,LRP1,ETC,0.328125,0.5981821773122905,0.1057410481850339,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1818338176943264,0.01082611539278465
DC,APP,CAV1,ETC,0.234375,0.4485849176312958,0.07515002702581676,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.2386493120310802,0.008640288069585153
DC,APP,LRP1,ETC,0.234375,0.4485849176312958,0.07515002702581676,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1363596429761391,0.007694106293789581
