Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,SPN,SIGLEC1,TAM,0.375,0.7002602290965804,0.3727441409708236,0.5615514333895447,0.9424039361420234,0.8675667548717939,0.6599279962243324,0.3233804247795319
DC,HLA-B,LILRB1,TAM,1.0,1.9370807483657968,0.1659833351668968,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.9305424208163934,0.1298256716283577
DC,HLA-C,LILRB1,TAM,1.0,1.9370807483657968,0.1633780723241025,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.9305424208163934,0.1277879369485835
DC,HLA-A,LILRB1,TAM,1.0,1.9370807483657968,0.1609125524742826,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.9305424208163934,0.1258595037712765
DC,B2M,LILRB1,TAM,1.0,1.9370807483657968,0.1529202315212191,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.9305424208163934,0.11960822297518
DC,C1QA,CD33,TAM,0.515625,0.9394635513001128,0.2159641572015848,0.2900505902192243,0.4652512802412094,0.5093166669533846,0.4370866199823306,0.109994144727308
DC,HLA-F,LILRB1,TAM,0.375,0.6846972309537748,0.1329392405749486,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.3289175318868481,0.1039798734978582
DC,HLA-B,LILRB2,TAM,1.0,1.9370807483657968,0.1659833351668968,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.8787444394474441,0.1010142181423336
DC,C1QB,CD33,TAM,0.5,0.9341002391453928,0.1978561184168894,0.2900505902192243,0.4652512802412094,0.5093166669533846,0.4345913321360139,0.1007714187684243
DC,HLA-C,LILRB2,TAM,1.0,1.9370807483657968,0.1633780723241025,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.8787444394474441,0.09942870602537608
DC,HLA-A,LILRB2,TAM,1.0,1.9370807483657968,0.1609125524742826,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.8787444394474441,0.09792823876645797
DC,S100A9,TLR4,TAM,0.296875,0.5394867778874946,0.1512493913111752,0.2006745362563238,0.3348318838376452,0.5372678302514005,0.1806373741455711,0.0812614322966001
DC,HLA-F,LILRB2,TAM,0.375,0.6846972309537748,0.1329392405749486,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.3106085716422969,0.08090422712383366
DC,PTDSS1,SCARB1,TAM,0.203125,0.3882870855392416,0.1765520696676016,0.2225969645868466,0.3575895638509162,0.3526636558951821,0.1388474095669208,0.06226349834483725
DC,APOE,SCARB1,TAM,0.703125,1.319509691741999,0.1692808065090901,0.2225969645868466,0.3575895638509162,0.3526636558951821,0.4718428951670782,0.05969918809638064
DC,DCN,TLR4,TAM,0.203125,0.3872354196717318,0.1032258427828826,0.2006745362563238,0.3348318838376452,0.5372678302514005,0.1296587650573471,0.05545992457783151
DC,GRN,SORT1,TAM,0.765625,1.435075609904835,0.167673663703762,0.2630691399662732,0.4278643980019118,0.3033039423180923,0.6140177619191588,0.05085608322426904
DC,GAS6,AXL,TAM,0.40625,0.7336005335522329,0.1733216876336135,0.6711635750421585,1.120759776993132,0.2713543890343898,0.8221899703860431,0.04703160065422855
DC,LGALS1,CD69,TAM,0.890625,1.7159015817123031,0.154960126137153,0.3237774030354131,0.5505190882836701,0.2638475283445065,0.9446365743487644,0.04088584627324077
DC,COL1A1,CD36,TAM,0.453125,0.8502124870662885,0.123794542344456,0.2141652613827993,0.3842647382760553,0.3104809785677664,0.3267066788215615,0.03843585064845551
DC,THBS1,CD36,TAM,0.203125,0.3925218010141975,0.1171672259065374,0.2141652613827993,0.3842647382760553,0.3104809785677664,0.1508322871343665,0.03637819495553229
DC,LRPAP1,SORT1,TAM,0.328125,0.5981821773122905,0.1057410481850339,0.2630691399662732,0.4278643980019118,0.3033039423180923,0.2559408571911961,0.03207167677936815
DC,COL1A1,CD93,TAM,0.453125,0.8502124870662885,0.123794542344456,0.2445193929173693,0.4204743772295742,0.2364041704390626,0.3574925660120051,0.029265546087824525
DC,THBS1,LRP1,TAM,0.203125,0.3925218010141975,0.1171672259065374,0.418212478920742,0.6945433988483685,0.2339307110006463,0.2726234257984837,0.02740901246228964
DC,FN1,PLAUR,TAM,0.359375,0.6871192575508789,0.09275401974712852,0.9510961214165259,1.641791686887961,0.2496239745165449,1.12810668494766,0.02315362706166431
DC,COL1A1,CD44,TAM,0.453125,0.8502124870662885,0.123794542344456,0.8465430016863407,1.445896736385788,0.1819816097235407,1.2293194602835902,0.02252833009083313
DC,THBS1,CD47,TAM,0.203125,0.3925218010141975,0.1171672259065374,0.7082630691399663,1.191051074867518,0.1921231726964407,0.4675135130068939,0.02251053917720457
DC,PTDSS1,JMJD6,TAM,0.203125,0.3882870855392416,0.1765520696676016,0.2512647554806071,0.4124513357986928,0.1260580395064514,0.1601495271040415,0.02225580777310428
DC,SLPI,PLSCR1,TAM,0.21875,0.3875476866315591,0.08811161229365028,0.8212478920741991,1.40185391479853,0.2463873566772409,0.543285241675565,0.021709587245602367
DC,FN1,ITGAV,TAM,0.359375,0.6871192575508789,0.09275401974712852,0.4013490725126476,0.6809681141291579,0.2048080467337695,0.4679063049962491,0.01899676961111488
DC,FN1,CD44,TAM,0.359375,0.6871192575508789,0.09275401974712852,0.8465430016863407,1.445896736385788,0.1819816097235407,0.9935034920006416,0.01687952582191153
DC,COL1A1,ITGB1,TAM,0.453125,0.8502124870662885,0.123794542344456,0.6374367622259697,1.072474393807762,0.1346870065887084,0.9118311216742072,0.0166735163403939
DC,THBS1,ITGB1,TAM,0.203125,0.3925218010141975,0.1171672259065374,0.6374367622259697,1.072474393807762,0.1346870065887084,0.4209695805990324,0.0157809029276545
DC,COL1A1,ITGA5,TAM,0.453125,0.8502124870662885,0.123794542344456,0.2209106239460371,0.3696206565514932,0.123292439102689,0.3142560976777195,0.015262931073249109
DC,THBS1,SDC4,TAM,0.203125,0.3925218010141975,0.1171672259065374,0.2344013490725126,0.3889928995663685,0.1209214628480562,0.1526881935195258,0.014168032354467168
DC,FN1,ITGB1,TAM,0.359375,0.6871192575508789,0.09275401974712852,0.6374367622259697,1.072474393807762,0.1346870065887084,0.7369178092155182,0.01249276126881069
DC,APP,TNFRSF21,TAM,0.234375,0.4485849176312958,0.07515002702581676,0.2124789207419899,0.3463580313056682,0.1563454342734757,0.1553709889441909,0.01174936361101476
DC,FN1,ITGA5,TAM,0.359375,0.6871192575508789,0.09275401974712852,0.2209106239460371,0.3696206565514932,0.123292439102689,0.2539734711051304,0.011435869331202459
