Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,PDGFC,PDGFRB,CAF,0.3431174089068826,0.4695299820606646,0.2778825635232745,0.6570605187319885,1.0999119091464409,0.6225627284070814,0.5164416189698401,0.1729993269238039
EMT,MFGE8,PDGFRB,CAF,0.7014170040485831,1.063786405945192,0.27544198515699697,0.6570605187319885,1.0999119091464409,0.6225627284070814,1.170071336687207,0.1714799137972029
EMT,L1CAM,ITGAV,CAF,0.361336032388664,0.5009136942121529,0.7590937666581481,0.4409221902017291,0.6819832637446425,0.2051133632465049,0.34161475603319,0.1557002754987104
EMT,SERPINE2,LRP1,CAF,0.8704453441295547,1.3693206125655812,0.4390785246751033,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.3505060569496408,0.1458550396653534
EMT,TNC,ITGAV,CAF,0.2692307692307692,0.3651850958655014,0.5908756603336365,0.4409221902017291,0.6819832637446425,0.2051133632465049,0.2490501235492548,0.1211964939515316
EMT,SERPINF1,PLXDC1,CAF,0.8238866396761133,1.276948237075595,0.2164138149705966,0.4582132564841498,0.7698286449187571,0.5526663412493674,0.9830313309793012,0.1196046313156172
EMT,SERPINE1,LRP1,CAF,0.7995951417004049,1.2305675638796898,0.35641009497567,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.21365948431284,0.1183938763078301
EMT,COL1A2,ITGA11,CAF,0.4534412955465587,0.7195787922933513,0.1252545658406199,0.2449567723342939,0.3730145633327295,0.9240019644890308,0.2684133689907973,0.1157354648979535
EMT,TNC,ITGB1,CAF,0.2692307692307692,0.3651850958655014,0.5908756603336365,0.8876080691642652,1.549443807201967,0.1945873481682883,0.5658337852712579,0.1149769278415086
EMT,DAG1,LAMA4,CAF,0.3218623481781376,0.4382391197464263,0.2834920168902631,0.5014409221902018,0.8128997074860963,0.392017557401835,0.3562444522508342,0.1111338480042407
EMT,PLAT,LRP1,CAF,0.7692307692307693,1.198958694063376,0.3307527581355721,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.1824849224545448,0.1098709090657203
EMT,ITGAV,THY1,CAF,0.4261133603238866,0.6122772375630366,0.184148570957978,0.8530259365994236,1.472305086036564,0.5479627067998218,0.9014588909284764,0.1009065493954527
EMT,VEGFA,GPC1,CAF,0.6285425101214575,0.9682195657286422,0.3074016989108381,0.4121037463976945,0.6462900404207071,0.3269422454774668,0.6257506622708837,0.1005026017054976
EMT,PDGFC,PDGFRA,CAF,0.3431174089068826,0.4695299820606646,0.2778825635232745,0.2564841498559078,0.405225360539654,0.3607160172313818,0.1902654562647101,0.100236691572162
EMT,L1CAM,CD9,CAF,0.361336032388664,0.5009136942121529,0.7590937666581481,0.5734870317002881,0.9497029431257124,0.1320052609845532,0.4757192096452548,0.1002043707794564
