Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,L1CAM,EGFR,EMT,0.361336032388664,0.5009136942121529,0.7590937666581481,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.1596608333387368,0.2886616045092852
EMT,SEMA4B,DCBLD2,EMT,0.3562753036437247,0.5025581493766256,0.4426524145344838,0.7085020242914979,1.05441308570535,0.5481457670524237,0.5299038890305777,0.242638047302612
EMT,L1CAM,ITGA5,EMT,0.361336032388664,0.5009136942121529,0.7590937666581481,0.6204453441295547,0.9290864307372022,0.3099105262447445,0.4653921162629556,0.2352511486941319
EMT,TNC,EGFR,EMT,0.2692307692307692,0.3651850958655014,0.5908756603336365,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.1163988076238899,0.224693079655076
EMT,ALCAM,L1CAM,EMT,0.4129554655870445,0.5835899953396939,0.2774377877933759,0.361336032388664,0.5009136942121529,0.7590937666581481,0.2923282204708593,0.2106012953493777
EMT,L1CAM,ALCAM,EMT,0.361336032388664,0.5009136942121529,0.7590937666581481,0.4129554655870445,0.5835899953396939,0.2774377877933759,0.2923282204708593,0.2106012953493777
EMT,EFNA5,EPHA4,EMT,0.2803643724696356,0.3991057024663527,0.3481177191989986,0.2307692307692308,0.3149983555261034,0.5401706883848895,0.1257176399579914,0.1880429880187008
EMT,EFNB2,EPHA4,EMT,0.5182186234817814,0.7529552990996721,0.3379314745850952,0.2307692307692308,0.3149983555261034,0.5401706883848895,0.2371796810010621,0.1825406772535517
EMT,EFNA5,EPHB6,EMT,0.2803643724696356,0.3991057024663527,0.3481177191989986,0.2368421052631579,0.3119367792936852,0.4557528021340068,0.1244957474250978,0.15865562599744298
EMT,IGF2,IGF1R,EMT,0.3704453441295547,0.5524837408164236,0.4364528223710724,0.3087044534412955,0.4462784402065,0.35724409340653496,0.2465615820910057,0.1559201928426772
EMT,EFNB2,EPHB6,EMT,0.5182186234817814,0.7529552990996721,0.3379314745850952,0.2368421052631579,0.3119367792936852,0.4557528021340068,0.2348744509532651,0.15401321647143398
EMT,L1CAM,ITGAV,EMT,0.361336032388664,0.5009136942121529,0.7590937666581481,0.4261133603238866,0.6122772375630366,0.184148570957978,0.3066980529497127,0.1397860323532068
EMT,EREG,EGFR,EMT,0.611336032388664,0.926295501088506,0.3576894462704309,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.2952466928545901,0.1360190453559062
EMT,VEGFA,GPC1,EMT,0.6285425101214575,0.9682195657286422,0.3074016989108381,0.5678137651821862,0.8383604746068776,0.4241059569927814,0.8117170146479293,0.1303708916977878
EMT,PDGFC,PDGFRA,EMT,0.3431174089068826,0.4695299820606646,0.2778825635232745,0.3674089068825911,0.5216134396688034,0.4643202050363289,0.2449131489702948,0.1290264888711475
EMT,FN1,COL13A1,EMT,0.9827935222672064,1.583268091918657,0.2137248785403858,0.3168016194331984,0.4386658426676678,0.5854529328517295,0.6945256317103283,0.1251258569648485
EMT,BMP4,RGMB,EMT,0.2054655870445344,0.2948750114346085,0.3046017249838786,0.2368421052631579,0.3239134103216154,0.4083107492810841,0.0955139705724094,0.1243721585604782
EMT,LAMC2,ITGB4,EMT,0.4838056680161943,0.7165855535376657,0.3343951401449693,0.5718623481781376,0.8392291656154359,0.36831369949038295,0.6013794961874905,0.1231623111583987
EMT,L1CAM,CD9,EMT,0.361336032388664,0.5009136942121529,0.7590937666581481,0.7641700404858299,1.165767522470947,0.1620374530425387,0.5839489162734713,0.1230016205697535
