Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,L1CAM,ERBB3,ETC,0.361336032388664,0.5009136942121529,0.7590937666581481,0.4545454545454545,0.6808672582760108,0.8121947761327984,0.3410557336111367,0.6165319918747173
EMT,L1CAM,ERBB2,ETC,0.361336032388664,0.5009136942121529,0.7590937666581481,0.3658536585365854,0.5274950562290288,0.4850342966691777,0.2642294972943302,0.3681865112169918
EMT,AREG,ERBB3,ETC,0.458502024291498,0.6544344092110318,0.2935286333882456,0.4545454545454545,0.6808672582760108,0.8121947761327984,0.4455829619209961,0.2384024226833324
EMT,FN1,ITGB6,ETC,0.9827935222672064,1.583268091918657,0.2137248785403858,0.4190687361419069,0.7200957543175737,0.7718985886623885,1.1401046309371108,0.1649739321073642
EMT,L1CAM,ITGAV,ETC,0.361336032388664,0.5009136942121529,0.7590937666581481,0.3858093126385809,0.6468343235309157,0.1945419640274072,0.3240081705430901,0.1476755922466385
EMT,LAMC2,ITGB4,ETC,0.4838056680161943,0.7165855535376657,0.3343951401449693,0.5121951219512195,0.7962138323394096,0.3494354988953325,0.570555329781282,0.116849532624732
EMT,EPHA4,EFNB1,ETC,0.2307692307692308,0.3149983555261034,0.5401706883848895,0.2239467849223947,0.2972063282408679,0.2163018884732127,0.0936195046478247,0.1168399399955269
EMT,TGFB1,ITGB6,ETC,0.5647773279352226,0.8210681387724121,0.1513637157583241,0.4190687361419069,0.7200957543175737,0.7718985886623885,0.5912476807354464,0.1168374385685453
EMT,L1CAM,CD9,ETC,0.361336032388664,0.5009136942121529,0.7590937666581481,0.6518847006651884,1.102382448799477,0.15322715793595598,0.5521984648627855,0.1163137804719278
EMT,TNC,ITGAV,ETC,0.2692307692307692,0.3651850958655014,0.5908756603336365,0.3858093126385809,0.6468343235309157,0.1945419640274072,0.2362142544477342,0.1149501114572968
EMT,EFNA5,EPHA2,ETC,0.2803643724696356,0.3991057024663527,0.3481177191989986,0.4368070953436807,0.6454942293498873,0.3257828069797224,0.2576204278426638,0.1134107677200286
EMT,FN1,ITGB8,ETC,0.9827935222672064,1.583268091918657,0.2137248785403858,0.3414634146341464,0.4838913258304479,0.500945087657127,0.7661296961435625,0.1070644280149224
EMT,IGF2,INSR,ETC,0.3704453441295547,0.5524837408164236,0.4364528223710724,0.3813747228381374,0.5951736043264122,0.2420607363699688,0.3288237393534502,0.105648091573893
EMT,LAMC2,ITGA3,ETC,0.4838056680161943,0.7165855535376657,0.3343951401449693,0.5920177383592018,0.9610081902346876,0.3044697613820116,0.6886445859535539,0.1018132085272431
EMT,EFNB1,ERBB2,ETC,0.2095141700404858,0.2830162221733319,0.20597456213998705,0.3658536585365854,0.5274950562290288,0.4850342966691777,0.14928965802904906,0.09990472687931044
EMT,PLAU,ST14,ETC,0.5141700404858299,0.7458941015944177,0.2126033821929316,0.4456762749445676,0.6896827941674734,0.4615541778190435,0.5144303281406752,0.09812797926960642
EMT,TNC,ITGB1,ETC,0.2692307692307692,0.3651850958655014,0.5908756603336365,0.6851441241685144,1.239740618484833,0.1556931837386939,0.4527347966097398,0.09199531275104693
EMT,TGM2,SDC4,ETC,0.8502024291497976,1.32327996844886,0.2635739495536606,0.6230598669623061,1.079418186206374,0.3355455234436757,1.428372463386296,0.0884410588691
