Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,ALCAM,CD6,TIL,0.4129554655870445,0.5835899953396939,0.2774377877933759,0.3173076923076923,0.6487558758637971,0.8128377984305305,0.3786074385719525,0.2255119206314044
EMT,CD58,CD2,TIL,0.6194331983805668,0.9250982472231452,0.279984943750729,0.8076923076923077,1.57507797933291,0.7186372554440424,1.4571018779206482,0.2012076115426785
EMT,CD47,SIRPG,TIL,0.6366396761133604,0.9470130272814972,0.1527584762949145,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.4596020805423609,0.1464038304914572
EMT,CD59,CD2,TIL,0.9504048582995952,1.5226544572674352,0.1773309097216682,0.8076923076923077,1.57507797933291,0.7186372554440424,2.39829950577504,0.1274365982677749
EMT,THBS2,ITGA4,TIL,0.4018218623481781,0.5988908609086108,0.2527766447791187,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.257005329514837,0.1172618552012529
EMT,CCL20,CXCR3,TIL,0.2368421052631579,0.3390266739081506,0.1732225626423025,0.2884615384615384,0.5518570831916274,0.6754394777363603,0.18709427138711104,0.1170013572432708
EMT,TFF2,CXCR4,TIL,0.5293522267206477,0.8060571434408481,0.3775542818847952,0.8942307692307693,1.7361499414680257,0.3098429037315941,1.3994360624047115,0.1169825150154817
EMT,CCL20,CCR6,TIL,0.2368421052631579,0.3390266739081506,0.1732225626423025,0.2403846153846154,0.4540722689716497,0.6502577763891273,0.1539426110633855,0.11263931840421
EMT,PODXL,SELL,TIL,0.4311740890688259,0.6152554121070676,0.291173535779932,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.4466755199228964,0.1100232793268116
EMT,FN1,ITGA4,TIL,0.9827935222672064,1.583268091918657,0.2137248785403858,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.6794365455110443,0.0991459309154434
EMT,ZG16B,CXCR4,TIL,0.2348178137651822,0.3452615672972255,0.2980245554492849,0.8942307692307693,1.7361499414680257,0.3098429037315941,0.5994258498542367,0.09234079364372393
EMT,THBS1,ITGA4,TIL,0.4423076923076923,0.6565494262820076,0.19597911440646104,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2817486668412082,0.09091375730570896
EMT,TFF3,CXCR4,TIL,0.319838056680162,0.4795596880000806,0.2783559424715618,0.8942307692307693,1.7361499414680257,0.3098429037315941,0.8325875242517646,0.08624661348633328
EMT,TNC,ITGB1,TIL,0.2692307692307692,0.3651850958655014,0.5908756603336365,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.409743626937866,0.08325954485974747
EMT,LGALS3,LAG3,TIL,0.9058704453441296,1.427649358398752,0.1761995907701459,0.2884615384615384,0.5352052981292018,0.4494342940570259,0.7640855004857678,0.07919013869091737
EMT,MYL9,CD69,TIL,0.5951417004048583,0.90580676161229,0.2071947630561017,0.3942307692307692,0.7601678343168239,0.3643259761197271,0.6885651642843501,0.07548643429730979
EMT,CD14,ITGA4,TIL,0.2236842105263158,0.3113594897809882,0.1186778804218097,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.1336154105730216,0.05505409109996803
EMT,GRN,TNFRSF1B,TIL,0.7904858299595142,1.215417814561834,0.1420089342274563,0.6730769230769231,1.274262885745982,0.3766910076219122,1.5487618117706383,0.05349348852545435
EMT,MDK,ITGA4,TIL,0.3542510121457489,0.5148385727138468,0.1115120920712087,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2209355087277942,0.0517299167613726
EMT,CFH,SELL,TIL,0.2257085020242915,0.321733658434998,0.130256429575365,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.2335786834706293,0.04921889448811394
EMT,LAMC2,ITGB1,TIL,0.4838056680161943,0.7165855535376657,0.3343951401449693,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.8040206652517417,0.04711919789700075
EMT,LIF,IL6ST,TIL,0.3552631578947368,0.539706613945247,0.435246438324224,0.2115384615384615,0.3908466316365509,0.1047598851042048,0.2109425121324681,0.045596366870860085
EMT,SPP1,ITGA4,TIL,0.2803643724696356,0.4233086390663546,0.0962659209064374,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.1816567648146615,0.04465729216403632
EMT,CLCF1,IL6ST,TIL,0.3248987854251012,0.4765790234068022,0.4244158874642007,0.2115384615384615,0.3908466316365509,0.1047598851042048,0.1862693060071856,0.04446175960714878
EMT,VCAN,CD44,TIL,0.5384615384615384,0.7830904958087078,0.2651806686205647,0.6730769230769231,1.288969801734865,0.1622306721509586,1.0093800011230072,0.043020438111754836
