Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,CDH1,ITGAE,DC,0.3858093126385809,0.5891424365738659,0.8027933683834789,0.21875,0.4225839585949869,0.1833730379964016,0.2489621430236803,0.1472106588438429
ETC,CFH,SELL,DC,0.3569844789356985,0.5285305301040146,0.2139797872184175,0.296875,0.5612678507636576,0.2921232628599396,0.2966471946944569,0.06250847362831972
ETC,ICAM1,SPN,DC,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.375,0.7002602290965804,0.3727441409708236,0.2641124087644531,0.04189748252579903
ETC,C1QB,CD33,DC,0.3237250554323725,0.4274947092577802,0.09054964368158758,0.203125,0.3973211932996975,0.4349527115248962,0.1698527080116085,0.0393848130469197
ETC,C1QA,CD33,DC,0.2882483370288249,0.3701259765178906,0.08508466823058768,0.203125,0.3973211932996975,0.4349527115248962,0.1470588946613041,0.0370078071560903
ETC,PSEN1,NCSTN,DC,0.2838137472283814,0.4103276986516109,0.1765284495269532,0.21875,0.4006292261028558,0.1516551414077992,0.1643892683593607,0.026771446975509632
ETC,ICAM1,ITGB2,DC,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.453125,0.8099426048034799,0.2265275389182483,0.3054805676906422,0.025462328069651586
ETC,APP,NCSTN,DC,0.5986696230598669,0.982230970430167,0.164550079755672,0.21875,0.4006292261028558,0.1516551414077992,0.3935104335376948,0.02495486561401108
ETC,PLAU,PLAUR,DC,0.2483370288248337,0.4519593943146946,0.1288227050458982,0.65625,1.253848141338427,0.1906396280239175,0.5666884465219213,0.02455871257098487
ETC,VCAN,CD44,DC,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.703125,1.351989963275176,0.1701624352938857,0.4564373561832104,0.0194536596838913
ETC,TGM2,ITGB1,DC,0.6319290465631929,1.070483333137387,0.2132213339382174,0.3125,0.5570635223662425,0.06995898339435787,0.5963272161918686,0.014916747760306591
ETC,COL18A1,ITGB1,DC,0.3215077605321508,0.4812336923078317,0.1462300199216782,0.3125,0.5570635223662425,0.06995898339435787,0.2680777357183132,0.0102301035354573
ETC,SERPINF1,PLXDC2,DC,0.2017738359201774,0.2998440362226772,0.05081677541114758,0.234375,0.4212352132700424,0.1608384629020417,0.1263048665460098,0.008173292046767245
ETC,VCAN,ITGB1,DC,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.3125,0.5570635223662425,0.06995898339435787,0.1880669296974677,0.007997994695094395
