Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,COL18A1,KDR,Endo,0.3215077605321508,0.4812336923078317,0.1462300199216782,0.4909090909090909,0.7638953485310771,0.9911696598104652,0.3676121791103882,0.1449387590998473
ETC,SAA1,CD36,Endo,0.3547671840354767,0.5244516032527993,0.3145172270406168,0.3454545454545455,0.5192459493724865,0.4195440653800014,0.2723193706309224,0.1319538360646653
ETC,SEMA3C,PLXND1,Endo,0.246119733924612,0.3778585033590388,0.2420559453625606,0.5818181818181818,0.8899417439999372,0.4231832110743227,0.3362720554645491,0.1024340122181592
ETC,VCAN,SELP,Endo,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.2727272727272727,0.5063144764694949,0.8681582700094193,0.1709338436782357,0.09925137417873987
ETC,SERPING1,SELP,Endo,0.3569844789356985,0.5413431555028825,0.1091741539635851,0.2727272727272727,0.5063144764694949,0.8681582700094193,0.2740898763687863,0.094780444634768
ETC,LAMC2,ITGA3,Endo,0.5631929046563193,0.9965338451030894,0.4650332024519901,0.3636363636363636,0.5436032599780096,0.1722261647026846,0.5417190468764603,0.08009088491771335
ETC,SEMA3C,NRP1,Endo,0.246119733924612,0.3778585033590388,0.2420559453625606,0.6727272727272727,1.0364869542010309,0.3249599845270486,0.3916454092655701,0.07865849625969783
ETC,MDK,SDC3,Endo,0.647450110864745,1.137209900689979,0.2463153731500125,0.2545454545454545,0.3547745687032289,0.2502393338103932,0.4034531520423288,0.061637794884317525
ETC,INS,INSR,Endo,0.3215077605321508,0.4501644794840702,0.133599457087071,0.7090909090909091,1.099684081139991,0.4472482255935052,0.4950387119833023,0.05975212012244816
ETC,C1QA,CD93,Endo,0.2882483370288249,0.3701259765178906,0.08508466823058768,0.7090909090909091,1.1265277388596178,0.6333699982776728,0.4169571794199075,0.05389007617066368
ETC,COL18A1,ITGA5,Endo,0.3215077605321508,0.4812336923078317,0.1462300199216782,0.6727272727272727,1.05955833805485,0.3534313614644389,0.5098951712376854,0.05168227502789075
ETC,SEMA3C,NRP2,Endo,0.246119733924612,0.3778585033590388,0.2420559453625606,0.3636363636363636,0.5482624711738129,0.1882233012166067,0.2071656368056651,0.04556056911524774
ETC,ADAM9,ITGA3,Endo,0.4545454545454545,0.7273129695186791,0.2447855076792491,0.3636363636363636,0.5436032599780096,0.1722261647026846,0.3953697012546407,0.04215846916239663
ETC,TNFSF10,TNFRSF10B,Endo,0.4878048780487805,0.7229865367426341,0.1720474778938006,0.3090909090909091,0.4539818928883058,0.2002400076093881,0.3282227964831817,0.03445078828263068
ETC,TGM2,ITGB1,Endo,0.6319290465631929,1.070483333137387,0.2132213339382174,0.7636363636363637,1.171465771099528,0.1471188673049199,1.254034583302982,0.03136888113423462
ETC,PLAU,IGF2R,Endo,0.2483370288248337,0.4519593943146946,0.1288227050458982,0.2363636363636364,0.3370949920014992,0.2271797102512607,0.1523532484115144,0.029265904806110767
ETC,CALR,ITGA3,Endo,0.7649667405764967,1.3730823550776592,0.1363749608539644,0.3636363636363636,0.5436032599780096,0.1722261647026846,0.7464120444384984,0.02348733646935704
ETC,COL18A1,ITGB1,Endo,0.3215077605321508,0.4812336923078317,0.1462300199216782,0.7636363636363637,1.171465771099528,0.1471188673049199,0.5637487984384669,0.02151319489685316
ETC,TIMP2,ITGA3,Endo,0.3813747228381374,0.6154241823659005,0.1054683092017301,0.3636363636363636,0.5436032599780096,0.1722261647026846,0.3345465918034046,0.018164402391490832
ETC,MFGE8,PDGFRB,Endo,0.2150776053215078,0.2986903276082842,0.07733869912590177,0.2727272727272727,0.3894618674291521,0.2204398741217087,0.1163284927733476,0.01704853310005049
ETC,VCAN,ITGB1,Endo,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.7636363636363637,1.171465771099528,0.1471188673049199,0.3954916485655632,0.016819225539917458
ETC,SERPINF1,PLXDC1,Endo,0.2017738359201774,0.2998440362226772,0.05081677541114758,0.2909090909090909,0.4005242054609621,0.2875396345342286,0.1200947943702957,0.01461183702992935
ETC,FN1,NT5E,Endo,0.3259423503325942,0.4846864213361038,0.06542767270999553,0.3090909090909091,0.463938788177318,0.2116204198831566,0.22486483096067306,0.013845831570867
ETC,MFGE8,ITGAV,Endo,0.2150776053215078,0.2986903276082842,0.07733869912590177,0.3636363636363636,0.5118900670127351,0.1539561142321151,0.1528966118154604,0.01190676559719052
ETC,PLAU,PLAUR,Endo,0.2483370288248337,0.4519593943146946,0.1288227050458982,0.3818181818181818,0.5799747651216477,0.08818147097783734,0.2621250435621872,0.01135977562629137
ETC,VCAN,CD44,Endo,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.4727272727272727,0.6773351101845003,0.08524988719578849,0.2286711109849801,0.009746112828796493
ETC,GAS6,AXL,Endo,0.2150776053215078,0.340579978487604,0.08046599470130886,0.2727272727272727,0.3862922284326752,0.09352770663871164,0.1315633988495291,0.007525799946816141
