Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,MUC1,SIGLEC9,TAM,0.6452328159645233,1.064968184831498,0.3701174498766551,0.2074198988195615,0.3384440873369491,0.7173620687041438,0.3604321853581838,0.2655082195070195
ETC,SCGB3A1,MARCO,TAM,0.2261640798226164,0.3247775267369871,0.3516442896451242,0.3912310286677909,0.6614478578092755,0.6951455848975681,0.2148233993247748,0.2444439754012497
ETC,ZG16B,TLR4,TAM,0.3104212860310421,0.4626691521814899,0.3993690044287016,0.2006745362563238,0.3348318838376452,0.5372678302514005,0.1549163838184944,0.2145681184790705
ETC,CGN,F11R,TAM,0.2971175166297118,0.460888623132728,0.9782461861234474,0.2057335581787521,0.3382833622558098,0.2027322508799597,0.15591095305879002,0.1983220512275425
ETC,CP,SLC40A1,TAM,0.2505543237250554,0.3506854450686572,0.5786122696452077,0.2411467116357504,0.4036821027526165,0.2724552454333247,0.1415654378700527,0.1576459479369181
ETC,CFH,ITGAM,TAM,0.3569844789356985,0.5285305301040146,0.2139797872184175,0.3794266441821248,0.6302294860067464,0.6713675470693031,0.3330955243263264,0.1436590848672404
ETC,B2M,LILRB1,TAM,0.9977827050997784,2.008965895167385,0.1585951076465997,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.9650748885939621,0.1240468890837051
ETC,HLA-A,LILRB1,TAM,0.8758314855875832,1.6361536236801542,0.1359146520084578,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.7859818725116641,0.1063071239253642
ETC,HLA-B,LILRB1,TAM,0.8070953436807096,1.4602045993504182,0.1251210769766298,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.7014587925222506,0.0978648117717426
ETC,SAA1,CD36,TAM,0.3547671840354767,0.5244516032527993,0.3145172270406168,0.2141652613827993,0.3842647382760553,0.3104809785677664,0.2015282580623945,0.09765161642799107
ETC,HLA-F,LILRB1,TAM,0.4323725055432373,0.6414053710031126,0.1245337925539289,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.3081208190011723,0.09740546087041653
ETC,HLA-C,LILRB1,TAM,0.811529933481153,1.457034186197234,0.122889784977755,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.6999357770604323,0.09611958245663313
ETC,HLA-A,LILRB2,TAM,0.8758314855875832,1.6361536236801542,0.1359146520084578,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.7422307511463715,0.08271500444859027
ETC,ICAM1,ITGAX,TAM,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.4249578414839797,0.7009015652060032,0.6967283593586813,0.2643542971620075,0.07831421356598572
ETC,HLA-B,LILRB2,TAM,0.8070953436807096,1.4602045993504182,0.1251210769766298,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.6624125882296229,0.07614624535175438
ETC,HLA-F,LILRB2,TAM,0.4323725055432373,0.6414053710031126,0.1245337925539289,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.2909694929734927,0.07578883551463635
ETC,ICAM1,ITGAM,TAM,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.3794266441821248,0.6302294860067464,0.6713675470693031,0.2376993876096137,0.07546358743148275
ETC,HLA-C,LILRB2,TAM,0.811529933481153,1.457034186197234,0.122889784977755,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.6609743503391985,0.07478832459129395
ETC,S100A9,TLR4,TAM,0.3303769401330377,0.4535360887529929,0.127152434819907,0.2006745362563238,0.3348318838376452,0.5372678302514005,0.1518583429855221,0.06831491276687404
ETC,MDK,SDC3,TAM,0.647450110864745,1.137209900689979,0.2463153731500125,0.2175379426644182,0.3571955722435119,0.2519469824597523,0.4062063412379442,0.06205841499859354
ETC,MDK,NOTCH2,TAM,0.647450110864745,1.137209900689979,0.2463153731500125,0.239460370994941,0.3953529297161988,0.2284026055711222,0.4495992659400506,0.05625907301968607
ETC,VCAN,TLR2,TAM,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.2529510961214165,0.4235277031609412,0.486485118457755,0.1429846894963832,0.05561695164628837
ETC,SEMA3C,PLXND1,TAM,0.246119733924612,0.3778585033590388,0.2420559453625606,0.2816188870151771,0.4627973538039054,0.2200684163652963,0.1748719154668672,0.0532688685677434
ETC,SEMA3C,NRP2,TAM,0.246119733924612,0.3778585033590388,0.2420559453625606,0.3743676222596964,0.6184809014427526,0.212329902427467,0.2336982677753076,0.05139571526082078
ETC,C1QB,CD33,TAM,0.3237250554323725,0.4274947092577802,0.09054964368158758,0.2900505902192243,0.4652512802412094,0.5093166669533846,0.1988924607785258,0.04611844271372278
ETC,ICAM1,ITGB2,TAM,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.8263069139966274,1.406900992754834,0.3934869180856597,0.5306313205434531,0.04422902860843327
ETC,PLAU,ST14,TAM,0.2483370288248337,0.4519593943146946,0.1288227050458982,0.3136593591905565,0.507812438590281,0.3398416700575341,0.2295106021707315,0.043779323224127184
ETC,C1QA,CD33,TAM,0.2882483370288249,0.3701259765178906,0.08508466823058768,0.2900505902192243,0.4652512802412094,0.5093166669533846,0.1722015844254764,0.04333503963203745
ETC,PSEN1,NOTCH2,TAM,0.2838137472283814,0.4103276986516109,0.1765284495269532,0.239460370994941,0.3953529297161988,0.2284026055711222,0.1622242578056199,0.04031955782938643
ETC,JAG1,NOTCH2,TAM,0.2305986696230599,0.3640105864980236,0.16913134680722006,0.239460370994941,0.3953529297161988,0.2284026055711222,0.1439126518197055,0.03863004029452215
ETC,LRPAP1,SORT1,TAM,0.4456762749445676,0.6717478153724767,0.1187452933362963,0.2630691399662732,0.4278643980019118,0.3033039423180923,0.2874169746334442,0.03601591560061697
ETC,SEMA3C,NRP1,TAM,0.246119733924612,0.3778585033590388,0.2420559453625606,0.2799325463743676,0.4602525466758415,0.1442986424866354,0.1739103384541196,0.03492834432163669
