Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,DEFB1,CCR6,TIL,0.5099778270509978,0.7991629850640116,0.5463615316302337,0.2403846153846154,0.4540722689716497,0.6502577763891273,0.3628777499061723,0.3552758346624336
ETC,ADAM28,ITGA4,TIL,0.3348115299334812,0.5010590768954538,0.4541550419839859,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2150222378891283,0.2106803135178111
ETC,CXCL16,CXCR6,TIL,0.3858093126385809,0.5410185668640124,0.1634092867204903,0.2980769230769231,0.5478212788324729,0.9532492378261144,0.296381483171555,0.1557697780200164
ETC,CDH1,ITGAE,TIL,0.3858093126385809,0.5891424365738659,0.8027933683834789,0.2403846153846154,0.4338322857825308,0.1882540560445436,0.25558900991033,0.1511291077638514
ETC,TCN1,CD320,TIL,0.3037694013303769,0.4615877350673794,0.6737197548461079,0.2884615384615384,0.5246091045534782,0.1957465359586614,0.2421531283665661,0.1318783082180442
ETC,CD47,SIRPG,TIL,0.4966740576496674,0.7648102030194766,0.1233681458463524,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.3711758448949952,0.1182361172395122
ETC,MDK,ITGA4,TIL,0.647450110864745,1.137209900689979,0.2463153731500125,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.4880171402364453,0.1142645027407427
ETC,CEACAM1,HAVCR2,TIL,0.212860310421286,0.3030699858893856,0.4814398939248261,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.1366776222313923,0.08662779333525948
ETC,CFH,SELL,TIL,0.3569844789356985,0.5285305301040146,0.2139797872184175,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.3837132427991573,0.0808547309643456
ETC,ICAM1,IL2RA,TIL,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.3173076923076923,0.5916742192707884,0.6684815043828067,0.22315775873355,0.07513918817275461
ETC,SPP1,ITGA4,TIL,0.4124168514412417,0.6660306445267778,0.1514640794685694,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2858173941807812,0.07026344926112274
ETC,LGALS3,LAG3,TIL,0.70509977827051,1.21026465447765,0.1493701065937595,0.2884615384615384,0.5352052981292018,0.4494342940570259,0.6477400552149462,0.06713204841018901
ETC,ICAM1,SPN,TIL,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.2980769230769231,0.5609301575979526,0.298579615192798,0.2115622291772146,0.03356118268557639
ETC,FN1,ITGA4,TIL,0.3259423503325942,0.4846864213361038,0.06542767270999553,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2079961501463972,0.030351578921298517
ETC,TGM2,ITGB1,TIL,0.6319290465631929,1.070483333137387,0.2132213339382174,0.5961538461538461,1.1220162914008291,0.1409087401107962,1.201099739453209,0.030044749529977568
ETC,LRPAP1,SORL1,TIL,0.4456762749445676,0.6717478153724767,0.1187452933362963,0.3269230769230769,0.5935042667956129,0.2373350855065985,0.3986851946341965,0.028182424347476
ETC,MMP7,CD151,TIL,0.8514412416851441,1.6508826128278682,0.5225282183211405,0.2019230769230769,0.3574844827579458,0.05311233700756559,0.5901649169408563,0.02775269482743522
ETC,ICAM1,ITGB2,TIL,0.2483370288248337,0.3771632284546414,0.1124027930168821,0.4423076923076923,0.8588302475068376,0.2402006033050678,0.3239191888441776,0.02699921869582975
ETC,SLPI,PLSCR1,TIL,0.7272727272727273,1.2462069331456842,0.2833336539443292,0.2884615384615384,0.5163662206825138,0.09075561072971426,0.6434991642567832,0.025714118803999108
ETC,LGALS9,HAVCR2,TIL,0.4035476718403548,0.5874797067772356,0.1406558967431416,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.2649398923350144,0.02530889132414322
ETC,HMGB1,HAVCR2,TIL,0.8181818181818182,1.50267794552291,0.1367859818202183,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.6776733366417402,0.02461255893790275
ETC,APOE,SORL1,TIL,0.4745011086474501,0.7105772950444825,0.091160450237676,0.3269230769230769,0.5935042667956129,0.2373350855065985,0.4217306564969855,0.02163557325197885
ETC,COL18A1,ITGB1,TIL,0.3215077605321508,0.4812336923078317,0.1462300199216782,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.5399520427403608,0.0206050878735403
ETC,HBEGF,CD82,TIL,0.3015521064301552,0.4193140761875169,0.111844504779037,0.2788461538461539,0.5149601911407883,0.1684915375212203,0.2159300568215468,0.018844852573519415
ETC,VCAN,CD44,TIL,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.6730769230769231,1.288969801734865,0.1622306721509586,0.4351614911982249,0.01854686835471667
ETC,VCAN,ITGB1,TIL,0.2195121951219512,0.3376041010522724,0.1143240554255885,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.3787973014243813,0.01610925861437651
ETC,HLA-B,CANX,TIL,0.8070953436807096,1.4602045993504182,0.1251210769766298,0.3269230769230769,0.5987025511764509,0.09161807760235398,0.8742282188706827,0.01146335254013498
ETC,HLA-A,APLP2,TIL,0.8758314855875832,1.6361536236801542,0.1359146520084578,0.2307692307692308,0.4093504373496742,0.060385073750376224,0.6697602014247254,0.008207216285287445
