Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,INHBB,ACVR1,CAF,0.3636363636363636,0.5517262374835603,0.8596019115147924,0.2161383285302594,0.3338555012451569,0.2988934553909664,0.1841968395651785,0.2569293855933361
Endo,ROBO1,ROBO1,CAF,0.3090909090909091,0.4673193605247226,0.523793731823846,0.2017291066282421,0.3204413876285793,0.3591659247079398,0.1497484643522424,0.1881288600467343
Endo,MCAM,MCAM,CAF,0.6727272727272727,1.071705100589591,0.6194326160488051,0.2247838616714697,0.3765226173002029,0.2176255293620397,0.4035212094479699,0.1348043509717343
Endo,PTPRK,PTPRK,CAF,0.4727272727272727,0.7077727661676779,0.322096497487878,0.270893371757925,0.4239882246008552,0.1929505183697413,0.3000873185482701,0.06214868615536415
Endo,HRAS,CAV1,CAF,0.2727272727272727,0.4537069083874433,0.2803358383688617,0.5792507204610949,0.9540347257894599,0.2061805742104357,0.4328521459321981,0.057799804126655786
Endo,ANGPTL2,ITGA5,CAF,0.4181818181818182,0.6287622927275549,0.4524995016497579,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.1954425573032349,0.0469170787326542
Endo,ADAM15,ITGA5,CAF,0.6,0.9240262375403664,0.3937745687308601,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.2872215032119105,0.04082822716203228
Endo,APP,TNFRSF21,CAF,0.9272727272727272,1.501348598290651,0.2515162309345622,0.2017291066282421,0.3368034663836114,0.152032519696609,0.5056594121544674,0.03823864633357567
Endo,SERPINE2,LRP1,CAF,0.2363636363636364,0.3555294256690514,0.1140020344898427,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.3506444278891518,0.03786969830681367
Endo,COL18A1,ITGA5,CAF,0.7454545454545455,1.184134174198601,0.3598167930690903,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.3680726625504058,0.03730734011464228
Endo,SLPI,PLSCR4,CAF,0.2363636363636364,0.3445231172104506,0.07832968271258685,0.2593659942363112,0.4079226029984732,0.4506740711011527,0.1405387667656351,0.03530115699614308
Endo,TNFSF10,TNFRSF10B,CAF,0.5272727272727272,0.8522504259219305,0.2028081144835777,0.2017291066282421,0.3087180204759956,0.1361677629386812,0.2631050644404425,0.02761592725504074
Endo,C1QB,LRP1,CAF,0.2181818181818182,0.3394055801981218,0.07189107533948527,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.3347421251194507,0.02388109428258743
Endo,PLTP,ABCA1,CAF,0.2727272727272727,0.3924973508544283,0.1235749320734622,0.2536023054755043,0.4131355741212551,0.1804131370521911,0.1621546183863159,0.02229454115638475
Endo,FBN1,ITGA5,CAF,0.2545454545454545,0.377285470254712,0.202790576695072,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.1172742672275439,0.02102619211370381
Endo,FN1,ITGA5,CAF,0.9090909090909092,1.484343052152558,0.2003710174877128,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.4613886764257474,0.02077532189303812
Endo,ADAM17,ITGA5,CAF,0.4727272727272727,0.6930629837297707,0.2003650290471397,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.2154295883818997,0.0207747009859723
Endo,LGALS9,CD44,CAF,0.4363636363636363,0.6368245865321417,0.1524701742944181,0.4524495677233429,0.7413415764496286,0.09330578736522886,0.4721045429016208,0.01422634966225435
Endo,COL1A1,ITGA5,CAF,0.5636363636363636,0.9213516548507108,0.1341527067475994,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.286390144069304,0.013909524942521359
Endo,SLPI,PLSCR1,CAF,0.2363636363636364,0.3445231172104506,0.07832968271258685,0.4236311239193083,0.660635289825353,0.1161120863375873,0.2276041293898601,0.009095022881919705
