Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,EFNB1,ERBB2,ETC,0.2181818181818182,0.346825292896803,0.2524137566917998,0.3658536585365854,0.5274950562290288,0.4850342966691777,0.1829486273782485,0.122429328946632
Endo,SEMA3F,NRP2,ETC,0.4181818181818182,0.6560645451986341,0.856562836311851,0.237250554323725,0.3198668901608556,0.1098131008074763,0.2098533258174832,0.09406182109185107
Endo,HRAS,INSR,ETC,0.2727272727272727,0.4537069083874433,0.2803358383688617,0.3813747228381374,0.5951736043264122,0.2420607363699688,0.2700343759727479,0.0678582994664592
Endo,VEGFC,NRP2,ETC,0.2181818181818182,0.3379583675858791,0.51271293383089,0.237250554323725,0.3198668901608556,0.1098131008074763,0.1081016920435344,0.05630259708806842
Endo,PGF,NRP2,ETC,0.4181818181818182,0.614600697924931,0.3906960287718781,0.237250554323725,0.3198668901608556,0.1098131008074763,0.1965904139359391,0.04290354239260689
Endo,A2M,LRP1,ETC,0.9272727272727272,1.532895543714301,0.3732084306987209,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4659654857865732,0.0382103034313999
Endo,HRAS,CAV1,ETC,0.2727272727272727,0.4537069083874433,0.2803358383688617,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.2413742355007293,0.03223129113318243
Endo,SERPINE1,LRP1,ETC,0.6363636363636364,0.9915106084604528,0.2871718713409254,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.3013967417599359,0.029401598244595338
Endo,APP,CAV1,ETC,0.9272727272727272,1.501348598290651,0.2515162309345622,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.7987246026746346,0.02891778985926855
Endo,TFPI,LRP1,ETC,0.509090909090909,0.7614029092163659,0.254301563499202,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2314492190463559,0.02603622829792955
Endo,APP,LRP1,ETC,0.9272727272727272,1.501348598290651,0.2515162309345622,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4563759297273293,0.02575105681278118
Endo,GNAI2,CAV1,ETC,0.8363636363636363,1.328824659529915,0.1977022714896515,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.7069410458142079,0.02273059166159835
Endo,THBS1,LRP1,ETC,0.4181818181818182,0.6566704817342305,0.1960152492949721,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1996129359744704,0.02006868424360074
Endo,PLAT,LRP1,ETC,0.4545454545454545,0.6641237683121073,0.1832096211489735,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2018785660855422,0.01875760202562351
Endo,LGALS9,CD44,ETC,0.4363636363636363,0.6368245865321417,0.1524701742944181,0.5498891352549891,0.9419366853648524,0.1185528329559877,0.5998484401969281,0.01807577110389647
Endo,MDK,LRP1,ETC,0.4909090909090909,0.7729891780329344,0.1674265390343357,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2349711820396624,0.01714167830290928
Endo,LRPAP1,LRP1,ETC,0.5818181818181818,0.914506709262208,0.1616579391317232,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2779893025221466,0.01655107012120102
Endo,CALR,LRP1,ETC,0.9636363636363636,1.5875812439182633,0.1576790563153045,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4825886986112217,0.01614369904587803
Endo,SERPING1,LRP1,ETC,0.509090909090909,0.7651095269275979,0.1543017297673297,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2325759467803634,0.01579791727470144
Endo,PLAU,LRP1,ETC,0.3636363636363636,0.5313817380362477,0.1514605820056402,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1615279989021366,0.015507031246579431
Endo,PSAP,LRP1,ETC,0.9090909090909092,1.4688231766988238,0.1446688768530648,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4464889391006062,0.014811674193121
Endo,SLPI,PLSCR1,ETC,0.2363636363636364,0.3445231172104506,0.07832968271258685,0.5365853658536586,0.8853820079669918,0.1556131707374989,0.3050345693068361,0.0121891302897679
Endo,SERPINE2,LRP1,ETC,0.2363636363636364,0.3555294256690514,0.1140020344898427,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1080728835194378,0.01167190227053125
Endo,APOE,LRP1,ETC,0.4909090909090909,0.7768771265695348,0.0996661012550329,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2361530302327757,0.01020414239745224
Endo,SERPINA1,LRP1,ETC,0.3818181818181818,0.6141570270969217,0.09960689083979728,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1866898097877123,0.010198080240902841
Endo,C1QB,LRP1,ETC,0.2181818181818182,0.3394055801981218,0.07189107533948527,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1031716001160009,0.007360444129272394
