Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,CD34,SELL,TIL,0.6727272727272727,1.088484114699342,0.9258590278904024,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.7902396277930395,0.3498465139353392
Endo,PODXL,SELL,TIL,0.7818181818181819,1.240086991984502,0.5868790538456765,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.9003033390592989,0.2217590204389997
Endo,ICAM1,IL2RA,TIL,0.6909090909090909,1.084345579518998,0.3231584166697285,0.3173076923076923,0.5916742192707884,0.6684815043828067,0.6415793241816337,0.216025424529346
Endo,CD47,SIRPG,TIL,0.4363636363636363,0.6477376089236319,0.1044836843080442,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.3143584556185248,0.1001372360969739
Endo,ICAM1,SPN,TIL,0.6909090909090909,1.084345579518998,0.3231584166697285,0.2980769230769231,0.5609301575979526,0.298579615192798,0.6082421368102346,0.09648851569556142
Endo,FN1,ITGA4,TIL,0.9090909090909092,1.484343052152558,0.2003710174877128,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.6369842990303046,0.09295113976887802
Endo,CD58,CD2,TIL,0.2909090909090909,0.4258535880648555,0.1288864109928687,0.8076923076923077,1.57507797933291,0.7186372554440424,0.6707526089808619,0.092622576659948
Endo,THBS1,ITGA4,TIL,0.4181818181818182,0.6566704817342305,0.1960152492949721,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2818006160333213,0.09093052010461393
Endo,MDK,ITGA4,TIL,0.4909090909090909,0.7729891780329344,0.1674265390343357,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.3317170980207572,0.07766835656136932
Endo,CFH,SELL,TIL,0.3272727272727273,0.4934190002042551,0.1997646051826985,0.3846153846153846,0.7260001474723563,0.3778615355001452,0.3582222669139518,0.07548336045291472
Endo,SPP1,ITGA4,TIL,0.3454545454545455,0.5791168108277965,0.131698736953956,0.2307692307692308,0.4291355007904443,0.4638951328107021,0.2485195826307514,0.061094403070257125
Endo,LGALS3,LAG3,TIL,0.6363636363636364,1.036626549396306,0.1279398002811845,0.2884615384615384,0.5352052981292018,0.4494342940570259,0.5548080214182957,0.05750053382117104
Endo,LRPAP1,SORL1,TIL,0.5818181818181818,0.914506709262208,0.1616579391317232,0.3269230769230769,0.5935042667956129,0.2373350855065985,0.5427636339603354,0.038367100806648034
Endo,HBEGF,CD82,TIL,0.5272727272727272,0.7968282110254341,0.2125396253481624,0.2788461538461539,0.5149601911407883,0.1684915375212203,0.4103348078560299,0.03581112825909602
Endo,LGALS9,HAVCR2,TIL,0.4363636363636363,0.6368245865321417,0.1524701742944181,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.2871933029272994,0.02743469104915973
Endo,HMGB1,HAVCR2,TIL,0.9636363636363636,1.58569541725538,0.1443429080484837,0.2403846153846154,0.4509770963637321,0.1799348047978464,0.7151123149911076,0.02597231298365741
Endo,LGALS9,CD44,TIL,0.4363636363636363,0.6368245865321417,0.1524701742944181,0.6730769230769231,1.288969801734865,0.1622306721509586,0.8208476610422221,0.02473533885875726
Endo,APOE,SORL1,TIL,0.4909090909090909,0.7768771265695348,0.0996661012550329,0.3269230769230769,0.5935042667956129,0.2373350855065985,0.4610798893949343,0.023654262663472533
Endo,HLA-B,CANX,TIL,0.9818181818181818,1.616982038898087,0.1385549218573878,0.3269230769230769,0.5987025511764509,0.09161807760235398,0.9680912718947842,0.01269413558291824
Endo,HLA-A,APLP2,TIL,1.0,1.6557050581179666,0.137538782144786,0.2307692307692308,0.4093504373496742,0.060385073750376224,0.6777635896626575,0.008305289503349831
Endo,SLPI,PLSCR1,TIL,0.2363636363636364,0.3445231172104506,0.07832968271258685,0.2884615384615384,0.5163662206825138,0.09075561072971426,0.1779000999717191,0.007108858192845561
