Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,TNF,TNFRSF1A,CAF,0.2107925801011804,0.3638007932001906,0.4908656578403064,0.6109510086455331,1.016393901434898,0.1966317123794293,0.3697649075458522,0.09651975484939447
TAM,INHBA,ACVR1,CAF,0.3608768971332209,0.6054459756111437,0.2691001612361715,0.2161383285302594,0.3338555012451569,0.2988934553909664,0.2021314696645214,0.0804322770381455
TAM,TNF,TNFRSF21,CAF,0.2107925801011804,0.3638007932001906,0.4908656578403064,0.2017291066282421,0.3368034663836114,0.152032519696609,0.1225293682229316,0.0746275427939953
TAM,IL10,IL10RB,CAF,0.3119730185497471,0.5334737811694358,0.6831048749268797,0.2046109510086455,0.3054443959461952,0.1063451944339242,0.1629465768424311,0.07264492074286052
TAM,CCL5,SDC1,CAF,0.2866779089376054,0.4734737738749434,0.2329144777618091,0.3342939481268011,0.5322372438844363,0.2247209224111093,0.2520003764587627,0.05234075628553553
TAM,GAS6,AXL,CAF,0.3946037099494098,0.6561969387858825,0.1550341850211894,0.5302593659942363,0.8731185126236648,0.2113963629059304,0.5729376951809317,0.03277366283956451
TAM,TNFSF10,TNFRSF10B,CAF,0.4974704890387858,0.8266284278444487,0.1967109053049789,0.2017291066282421,0.3087180204759956,0.1361677629386812,0.2551950919133225,0.02678568392102174
TAM,MMP7,CD151,CAF,0.2462057335581788,0.3975657613066627,0.1258353121577873,0.7002881844380403,1.139708167794219,0.1693292078894191,0.4531089453965302,0.021307593732195918
TAM,FN1,ITGA5,CAF,0.7200674536256324,1.236078288667072,0.1668578325175712,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.38421881298912,0.017300531905218082
TAM,ADAM17,ITGA5,CAF,0.3288364249578415,0.5480881967598978,0.158452709266334,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.1703660668609598,0.01642905286955455
TAM,APP,TNFRSF21,CAF,0.3237774030354131,0.5301217124462344,0.08880963102297447,0.2017291066282421,0.3368034663836114,0.152032519696609,0.1785468303571078,0.01350195197774894
TAM,MMP7,CD44,CAF,0.2462057335581788,0.3975657613066627,0.1258353121577873,0.4524495677233429,0.7413415764496286,0.09330578736522886,0.2947320282294781,0.0117411628792317
TAM,COL1A1,ITGA5,CAF,0.4013490725126476,0.6690788236975802,0.0974207130946914,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.2079744250782496,0.01010099513875873
