Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,ALCAM,L1CAM,EMT,0.4435075885328836,0.7387727718217302,0.3512114414793846,0.361336032388664,0.5009136942121529,0.7590937666581481,0.3700613983165749,0.2666024160060238
TAM,OSM,OSMR,EMT,0.5801011804384486,0.9867986374932596,0.5723301266174791,0.3836032388663967,0.540542038250715,0.3571261053531263,0.533406146853635,0.2043940290951619
TAM,IL1B,IL1RAP,EMT,0.4721753794266442,0.8134227987275839,0.4977119605485673,0.2783400809716599,0.3878032468761804,0.3171877147356871,0.3154480024296668,0.1578681193630185
TAM,CXCL10,SDC4,EMT,0.2259696458684654,0.3814741063343113,0.4789405683741413,0.6852226720647774,1.038304147874873,0.3227649054319376,0.3960861469137757,0.1545852072587982
TAM,CD9,L1CAM,EMT,0.7959527824620574,1.365668310689853,0.1898229368202399,0.361336032388664,0.5009136942121529,0.7590937666581481,0.6840819585761247,0.1440934081089876
TAM,HBEGF,EGFR,EMT,0.7942664418212478,1.3578427232927743,0.3621801784841212,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.4327977119588283,0.1377267421163898
TAM,EREG,EGFR,EMT,0.4317032040472175,0.761958268060496,0.2942305459364357,0.2388663967611336,0.3187392063414327,0.3802713408912521,0.2428659736268952,0.1118874442344135
TAM,OSM,IL6ST,EMT,0.5801011804384486,0.9867986374932596,0.5723301266174791,0.4969635627530364,0.711599385850489,0.1907322818410302,0.7022053043983028,0.1091618310161175
TAM,VEGFA,GPC1,EMT,0.4671163575042159,0.8007138773623348,0.2542200291701715,0.5678137651821862,0.8383604746068776,0.4241059569927814,0.6712868662498002,0.1078162287579484
TAM,TNFSF12,TNFRSF12A,EMT,0.4519392917369309,0.7461400963515474,0.3806984308524159,0.9008097165991904,1.4167283001702269,0.2791753562075494,1.057077790392977,0.1062816200408783
TAM,TNF,TNFRSF1A,EMT,0.2107925801011804,0.3638007932001906,0.4908656578403064,0.7236842105263158,1.086140792471154,0.210124956089608,0.3951388818280893,0.1031431247995909
TAM,SPP1,ITGB5,EMT,0.7369308600337268,1.26821501736358,0.2884086817201509,0.6255060728744939,0.9290468975876888,0.3537020909841506,1.17823122735575,0.1020107537823998
