Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,AREG,ERBB3,ETC,0.2883642495784148,0.4967276216526993,0.2227935724310209,0.4545454545454545,0.6808672582760108,0.8121947761327984,0.3382055738646369,0.1809517756844394
TAM,CXCL10,SDC4,ETC,0.2259696458684654,0.3814741063343113,0.4789405683741413,0.6230598669623061,1.079418186206374,0.3355455234436757,0.4117700879440797,0.1607063637135128
TAM,TNF,TNFRSF21,ETC,0.2107925801011804,0.3638007932001906,0.4908656578403064,0.3813747228381374,0.5581864391706983,0.2519644222157227,0.20306866932389006,0.1236806818632734
TAM,IL10,IL10RB,ETC,0.3119730185497471,0.5334737811694358,0.6831048749268797,0.2483370288248337,0.3565560608158615,0.1241405117176753,0.1902133099623169,0.08480098873026144
TAM,CCL5,SDC4,ETC,0.2866779089376054,0.4734737738749434,0.2329144777618091,0.6230598669623061,1.079418186206374,0.3355455234436757,0.5110762022123783,0.07815341035819658
TAM,CCL5,SDC1,ETC,0.2866779089376054,0.4734737738749434,0.2329144777618091,0.4611973392461197,0.7185698386537468,0.3033941702022891,0.3402239733000987,0.0706648947086436
TAM,TNF,TNFRSF1A,ETC,0.2107925801011804,0.3638007932001906,0.4908656578403064,0.4722838137472284,0.716323808802138,0.138580108503279,0.2605991698303995,0.06802421612404311
TAM,INS,INSR,ETC,0.4806070826306914,0.8083064623262313,0.2398885506260316,0.3813747228381374,0.5951736043264122,0.2420607363699688,0.4810826705830344,0.058067599211261735
TAM,PTGS2,CAV1,ETC,0.2833052276559865,0.4969389532093705,0.4419339622207014,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.2643738891871019,0.05081084987512047
TAM,MMP9,LRP1,ETC,0.2225969645868466,0.3688113867766673,0.4401306367412925,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1121102985181874,0.045062018421862166
TAM,TNFSF10,TNFRSF10B,ETC,0.4974704890387858,0.8266284278444487,0.1967109053049789,0.2971175166297118,0.4239517621946347,0.18699447140450895,0.3504505786648344,0.03678385175700695
TAM,C1QB,LRP1,ETC,0.8920741989881956,1.5308991996220631,0.3242668833934407,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4653586424510627,0.03319950726734803
TAM,VEGFA,NRP2,ETC,0.4671163575042159,0.8007138773623348,0.2542200291701715,0.237250554323725,0.3198668901608556,0.1098131008074763,0.2561218578605307,0.0279166896905436
TAM,C3,LRP1,ETC,0.5902192242833052,1.00093931119968,0.25638945968377297,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.3042628535900841,0.0262499939585722
TAM,GNAI2,CAV1,ETC,0.7993254637436762,1.346898983925918,0.200391365918404,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.7165566724503182,0.02303976720590994
TAM,SERPINA1,LRP1,ETC,0.7976391231028668,1.359770570438117,0.2205340211069895,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4133394196431781,0.02257899653463991
TAM,MMP7,CD151,ETC,0.2462057335581788,0.3975657613066627,0.1258353121577873,0.6895787139689579,1.204821864074903,0.1790033077384177,0.4789959216298513,0.02252493710654026
TAM,APOE,LRP1,ETC,0.9848229342327148,1.709639963291118,0.2193308875541623,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.5196917815318279,0.0224558157746663
TAM,PLAU,LRP1,ETC,0.4586846543001686,0.7649042317912719,0.2180218698403602,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2325135417141342,0.02232179424694301
TAM,SERPING1,LRP1,ETC,0.6391231028667791,1.079044777676765,0.2176139099463654,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.3280051443018152,0.02228002597469847
TAM,A2M,LRP1,ETC,0.5193929173693086,0.8697115104958725,0.2117454573625366,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2643725778603441,0.02167919454792424
TAM,LRPAP1,LRP1,ETC,0.6644182124789207,1.111618155388509,0.1965014562293275,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.3379067125015536,0.020118463704523918
TAM,PSAP,LRP1,ETC,1.0,1.738308627245481,0.17121132122438,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.5284064052914992,0.017529176719364114
TAM,CALR,LRP1,ETC,0.8988195615514334,1.5454871391477434,0.1534982569123891,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4697930452749093,0.015715655088049608
TAM,MMP7,CD44,ETC,0.2462057335581788,0.3975657613066627,0.1258353121577873,0.5498891352549891,0.9419366853648524,0.1185528329559877,0.3744817754197519,0.01491813274220673
TAM,MDK,LRP1,ETC,0.315345699831366,0.5160442414164527,0.1117732353625197,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1568657477184221,0.011443710504382759
TAM,APP,CAV1,ETC,0.3237774030354131,0.5301217124462344,0.08880963102297447,0.3481152993348116,0.5320047613086104,0.1149738517940506,0.2820272750944707,0.010210785355119793
TAM,APP,LRP1,ETC,0.3237774030354131,0.5301217124462344,0.08880963102297447,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.1611449796947539,0.009092621360844709
