Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,SIRPG,CD47,CAF,0.2596153846153846,0.4853175904683151,0.9584006992110274,0.4005763688760807,0.6478877445965551,0.1045079020283634,0.3144313191015512,0.100160446377061
TIL,COL1A1,ITGA11,CAF,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.2449567723342939,0.3730145633327295,0.9240019644890308,0.2776656026986687,0.1001482139807983
TIL,COL1A2,ITGA11,CAF,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.2449567723342939,0.3730145633327295,0.9240019644890308,0.1950619101122102,0.0841075127353045
TIL,COL3A1,DDR2,CAF,0.3365384615384616,0.6289127694941397,0.124088928715495,0.4985590778097982,0.8144618770626862,0.6225394867498398,0.5122254747508895,0.07725025799388169
TIL,LTB,CD40,CAF,0.7596153846153846,1.489056656063015,0.5726436647679453,0.2247838616714697,0.3539770898777352,0.1256250779491591,0.5270919417762576,0.07193840502356524
TIL,COL1A1,DDR2,CAF,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.4985590778097982,0.8144618770626862,0.6225394867498398,0.6062713636410366,0.06747411815839212
TIL,APOE,LRP1,CAF,0.8269230769230769,1.5812359289192155,0.2028578456102259,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.5595096428664317,0.06738621329704338
TIL,SLPI,PLSCR4,CAF,0.3173076923076923,0.5970857653186109,0.1357515249725315,0.2593659942363112,0.4079226029984732,0.4506740711011527,0.2435647796021032,0.06117969241756056
TIL,C1QB,LRP1,CAF,0.4423076923076923,0.8453562788960366,0.1790588472332907,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.8337410278155947,0.059480557116677726
TIL,SERPINE2,LRP1,CAF,0.2019230769230769,0.3936347560493796,0.1262206720332475,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.3882261885144311,0.04192853918241465
TIL,SPP1,ITGB5,CAF,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.5158501440922191,0.8292989374667531,0.315726546199719,0.4565273938382824,0.03952594574519479
TIL,PSAP,LRP1,CAF,0.5865384615384616,1.1056374538299227,0.1088976067301358,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.090445922222746,0.036174086994664234
TIL,LRPAP1,LRP1,CAF,0.3365384615384616,0.6113380546488596,0.1080666210825967,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.6029382294189003,0.035898046519505865
TIL,SPP1,ITGAV,CAF,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.4409221902017291,0.6819832637446425,0.2051133632465049,0.3754304123308364,0.02567823252393657
TIL,SPP1,ITGB1,CAF,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.8876080691642652,1.549443807201967,0.1945873481682883,0.8529656933620982,0.024360476047952717
TIL,PTDSS1,JMJD6,CAF,0.2019230769230769,0.3810896939072643,0.1732794540278897,0.2593659942363112,0.4061067256282926,0.1241189280280885,0.1547630877633674,0.021507260083234118
TIL,COL1A1,ITGB1,CAF,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.8876080691642652,1.549443807201967,0.1945873481682883,1.1533792266193392,0.02109040470827395
TIL,SERPINA1,LRP1,CAF,0.2019230769230769,0.3692286895934421,0.0598832548625246,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.3641554630228286,0.01989228354934218
TIL,COL1A2,ITGB1,CAF,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.8876080691642652,1.549443807201967,0.1945873481682883,0.8102564842079765,0.01771236262819409
TIL,TNFSF10,TNFRSF10B,CAF,0.2884615384615384,0.5359332618155728,0.1275348313264516,0.2017291066282421,0.3087180204759956,0.1361677629386812,0.1654522556949471,0.01736613267848496
TIL,SLPI,PLSCR1,CAF,0.3173076923076923,0.5970857653186109,0.1357515249725315,0.4236311239193083,0.660635289825353,0.1161120863375873,0.3944559276218532,0.01576239278806971
TIL,LGALS3BP,ITGB1,CAF,0.2980769230769231,0.5512684792569382,0.07905756719695686,0.8876080691642652,1.549443807201967,0.1945873481682883,0.8541595312903092,0.015383602353492091
TIL,GRN,TNFRSF1A,CAF,0.3557692307692308,0.647677889534678,0.07567442710938517,0.6109510086455331,1.016393901434898,0.1966317123794293,0.6582958570172722,0.01487999218585071
TIL,SPP1,CD44,CAF,0.2980769230769231,0.5504979847590662,0.1251904416050967,0.4524495677233429,0.7413415764496286,0.09330578736522886,0.4081070438536298,0.011680992724564259
TIL,LGALS9,CD44,CAF,0.2884615384615384,0.5196996240390115,0.1244278156555947,0.4524495677233429,0.7413415764496286,0.09330578736522886,0.3852749385653601,0.01160983530988081
TIL,COL1A1,ITGA5,CAF,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.2313816652062594,0.0112378484737581
TIL,COL1A1,CD44,CAF,0.3942307692307692,0.7443827399601837,0.1083852825314932,0.4524495677233429,0.7413415764496286,0.09330578736522886,0.5518418739239765,0.010112974125403759
TIL,COL1A2,CD44,CAF,0.2884615384615384,0.5229337652916644,0.09102525315713544,0.4524495677233429,0.7413415764496286,0.09330578736522886,0.3876725419400625,0.008493182915945805
